,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,GAD,2014-01-01 00:15,35.60,74.80,0.0,M,0.0,10.00,M,CLR,M,M
1,CMD,2014-01-01 00:15,32.18,85.13,0.0,M,0.0,10.00,M,CLR,M,M
2,4A9,2014-01-01 00:15,33.80,80.36,0.0,M,0.0,10.00,M,CLR,M,M
3,DYA,2014-01-01 00:15,39.20,84.95,0.0,M,0.0,10.00,M,CLR,M,M
4,AUO,2014-01-01 00:15,39.20,64.93,5.8,M,0.0,10.00,M,CLR,M,M
5,JFX,2014-01-01 00:15,35.60,93.08,0.0,M,0.0,10.00,M,CLR,M,M
6,CQF,2014-01-01 00:15,M,M,M,M,0.0,M,M,M,M,M
7,4A6,2014-01-01 00:15,32.00,86.39,0.0,M,0.0,10.00,M,CLR,M,M
8,8A0,2014-01-01 00:15,35.60,86.59,3.5,M,0.0,10.00,M,CLR,M,M
9,MDQ,2014-01-01 00:15,32.00,80.22,0.0,M,0.0,10.00,M,CLR,M,M
10,ALX,2014-01-01 00:15,43.88,59.18,4.6,M,0.0,10.00,M,CLR,M,M
11,ALX,2014-01-01 00:35,42.98,61.71,3.5,M,0.0,10.00,M,CLR,M,M
12,MDQ,2014-01-01 00:35,32.00,86.39,0.0,M,0.0,10.00,M,CLR,M,M
13,DYA,2014-01-01 00:35,38.30,100.00,0.0,M,0.0,10.00,M,CLR,M,M
14,CMD,2014-01-01 00:35,31.46,85.72,0.0,M,0.0,10.00,M,CLR,M,M
15,8A0,2014-01-01 00:35,35.60,86.59,3.5,M,0.0,10.00,M,CLR,M,M
16,4A6,2014-01-01 00:35,32.00,86.39,0.0,M,0.0,10.00,M,CLR,M,M
17,JFX,2014-01-01 00:35,35.60,93.08,0.0,M,0.0,10.00,M,CLR,M,M
18,GAD,2014-01-01 00:35,35.60,74.80,0.0,M,0.0,10.00,M,CLR,M,M
19,AUO,2014-01-01 00:35,39.20,64.93,6.9,M,0.0,10.00,M,CLR,M,M
20,4A9,2014-01-01 00:35,32.00,86.39,0.0,M,0.0,10.00,M,CLR,M,M
21,CQF,2014-01-01 00:35,M,M,M,M,0.0,M,M,M,M,M
22,GZH,2014-01-01 00:53,42.98,82.24,0.0,1028.50,0.0,10.00,M,CLR,M,M
23,MSL,2014-01-01 00:53,33.98,75.20,4.6,1029.20,0.0,10.00,M,CLR,M,M
24,TOI,2014-01-01 00:53,39.92,89.34,0.0,1028.30,0.0,10.00,M,CLR,M,M
25,DCU,2014-01-01 00:53,30.02,88.22,0.0,1029.30,0.0,10.00,M,CLR,M,M
26,BFM,2014-01-01 00:53,44.06,76.16,9.2,1028.70,0.0,10.00,M,FEW,FEW,SCT
27,TCL,2014-01-01 00:53,39.02,75.69,8.1,1029.00,0.0,10.00,M,CLR,M,M
28,BHM,2014-01-01 00:53,37.94,72.87,0.0,1029.50,0.0,10.00,M,BKN,M,M
29,HEY,2014-01-01 00:53,44.06,85.25,4.6,1027.20,0.0,10.00,M,CLR,M,M
30,DHN,2014-01-01 00:53,44.96,85.90,0.0,1029.20,0.0,10.00,M,CLR,M,M
31,ANB,2014-01-01 00:53,35.96,85.37,0.0,1029.90,0.0,10.00,M,M,M,M
32,EET,2014-01-01 00:53,39.92,79.12,0.0,1028.70,0.0,10.00,M,CLR,M,M
33,LOR,2014-01-01 00:53,44.06,85.25,0.0,1028.00,0.0,10.00,M,CLR,M,M
34,MGM,2014-01-01 00:53,44.06,70.42,4.6,1028.60,0.0,10.00,M,CLR,M,M
35,HSV,2014-01-01 00:53,33.98,75.20,3.5,1028.90,0.0,10.00,M,BKN,M,M
36,CMD,2014-01-01 00:55,31.28,87.63,0.0,M,0.0,10.00,M,CLR,M,M
37,GAD,2014-01-01 00:55,35.60,74.80,0.0,M,0.0,10.00,M,CLR,M,M
38,CQF,2014-01-01 00:55,M,M,M,M,0.0,M,M,M,M,M
39,4A9,2014-01-01 00:55,32.00,86.39,0.0,M,0.0,10.00,M,CLR,M,M
40,4A6,2014-01-01 00:55,32.00,86.39,0.0,M,0.0,10.00,M,CLR,M,M
41,DYA,2014-01-01 00:55,38.30,100.00,0.0,M,0.0,10.00,M,CLR,M,M
42,ALX,2014-01-01 00:55,42.80,60.79,0.0,M,0.0,10.00,M,CLR,M,M
43,MDQ,2014-01-01 00:55,32.00,86.39,0.0,M,0.0,10.00,M,CLR,M,M
44,AUO,2014-01-01 00:55,39.20,64.93,6.9,M,0.0,10.00,M,CLR,M,M
45,JFX,2014-01-01 00:55,35.60,93.08,0.0,M,0.0,9.00,M,CLR,M,M
46,8A0,2014-01-01 00:55,35.60,86.59,3.5,M,0.0,10.00,M,CLR,M,M
47,1M4,2014-01-01 00:56,30.02,92.23,0.0,1029.60,0.0,10.00,M,CLR,M,M
48,79J,2014-01-01 00:56,44.96,82.38,0.0,1027.90,0.0,10.00,M,CLR,M,M
