,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,BVX,2014-01-01 00:15,41.00,60.54,4.6,M,0.0,10.00,M,CLR,M,M
1,SLG,2014-01-01 00:15,41.00,44.85,9.2,M,0.0,10.00,M,CLR,M,M
2,FLP,2014-01-01 00:15,44.60,36.18,4.6,M,0.0,10.00,M,CLR,M,M
3,MEZ,2014-01-01 00:15,42.80,52.45,5.8,M,0.0,10.00,M,CLR,M,M
4,SGT,2014-01-01 00:15,37.40,74.98,9.2,M,0.0,10.00,M,CLR,M,M
5,VBT,2014-01-01 00:15,41.00,44.85,6.9,M,0.0,10.00,M,CLR,M,M
6,CDH,2014-01-01 00:15,41.00,60.54,4.6,M,0.0,10.00,M,CLR,M,M
7,CCA,2014-01-01 00:15,33.80,86.49,0.0,M,0.0,7.00,M,CLR,M,M
8,4M9,2014-01-01 00:15,32.00,92.97,4.6,M,0.0,10.00,M,CLR,M,M
9,ARG,2014-01-01 00:15,33.80,69.25,8.1,M,0.0,10.00,M,CLR,M,M
10,BVX,2014-01-01 00:35,39.20,64.93,3.5,M,0.0,10.00,M,CLR,M,M
11,VBT,2014-01-01 00:35,41.00,44.85,6.9,M,0.0,10.00,M,CLR,M,M
12,SGT,2014-01-01 00:35,37.40,74.98,8.1,M,0.0,10.00,M,CLR,M,M
13,FLP,2014-01-01 00:35,44.60,36.18,5.8,M,0.0,10.00,M,CLR,M,M
14,SLG,2014-01-01 00:35,41.00,44.85,8.1,M,0.0,10.00,M,CLR,M,M
15,MEZ,2014-01-01 00:35,44.60,48.96,0.0,M,0.0,10.00,M,CLR,M,M
16,4M9,2014-01-01 00:35,33.80,80.36,5.8,M,0.0,10.00,M,CLR,M,M
17,CDH,2014-01-01 00:35,39.20,60.29,4.6,M,0.0,10.00,M,CLR,M,M
18,CCA,2014-01-01 00:35,32.00,86.39,0.0,M,0.0,7.00,M,CLR,M,M
19,ARG,2014-01-01 00:35,33.80,69.25,9.2,M,0.0,10.00,M,CLR,M,M
20,ASG,2014-01-01 00:48,41.00,48.39,9.2,M,0.0,10.00,M,CLR,M,M
21,ELD,2014-01-01 00:53,33.08,84.56,0.0,1028.00,0.0,10.00,M,CLR,M,M
22,FYV,2014-01-01 00:53,35.96,58.94,0.0,1024.50,0.0,10.00,M,CLR,M,M
23,HRO,2014-01-01 00:53,39.92,48.21,10.4,1024.60,0.0,10.00,M,CLR,M,M
24,RUE,2014-01-01 00:53,37.94,61.94,3.5,1026.00,0.0,10.00,M,CLR,M,M
25,LIT,2014-01-01 00:53,39.02,66.85,4.6,1027.90,0.0,10.00,M,CLR,M,M
26,BPK,2014-01-01 00:53,41.00,44.51,9.2,1025.10,0.0,10.00,M,CLR,M,M
27,MWT,2014-01-01 00:53,39.02,61.63,4.6,1026.40,0.0,10.00,M,CLR,M,M
28,PBF,2014-01-01 00:53,35.06,81.65,4.6,1028.30,0.0,10.00,M,CLR,M,M
29,AWM,2014-01-01 00:53,37.94,72.87,5.8,1028.30,0.0,10.00,M,CLR,M,M
30,HKA,2014-01-01 00:53,33.98,78.62,4.6,1027.90,0.0,10.00,M,CLR,M,M
31,HOT,2014-01-01 00:53,35.06,72.03,4.6,1027.10,0.0,10.00,M,CLR,M,M
32,LLQ,2014-01-01 00:53,35.96,72.66,3.5,1028.50,0.0,10.00,M,CLR,M,M
33,TXK,2014-01-01 00:53,42.98,57.35,9.2,1027.50,0.0,10.00,M,CLR,M,M
34,FSM,2014-01-01 00:53,39.92,62.21,4.6,1025.20,0.0,10.00,M,CLR,M,M
35,JBR,2014-01-01 00:53,35.96,75.39,5.8,1027.80,0.0,10.00,M,CLR,M,M
36,DEQ,2014-01-01 00:53,35.06,75.31,3.5,1026.60,0.0,10.00,M,CLR,M,M
37,XNA,2014-01-01 00:53,37.94,54.51,9.2,1023.70,0.0,10.00,M,CLR,M,M
38,CCA,2014-01-01 00:55,32.00,86.39,0.0,M,0.0,7.00,M,CLR,M,M
39,SGT,2014-01-01 00:55,39.20,69.88,8.1,M,0.0,10.00,M,CLR,M,M
40,ARG,2014-01-01 00:55,33.80,69.25,8.1,M,0.0,10.00,M,CLR,M,M
41,MEZ,2014-01-01 00:55,42.80,52.45,3.5,M,0.0,10.00,M,CLR,M,M
42,SLG,2014-01-01 00:55,42.80,41.84,8.1,M,0.0,10.00,M,CLR,M,M
43,BVX,2014-01-01 00:55,39.20,64.93,0.0,M,0.0,10.00,M,CLR,M,M
44,CDH,2014-01-01 00:55,37.40,64.70,3.5,M,0.0,10.00,M,CLR,M,M
45,FLP,2014-01-01 00:55,42.80,38.75,3.5,M,0.0,10.00,M,CLR,M,M
46,4M9,2014-01-01 00:55,32.00,86.39,5.8,M,0.0,10.00,M,CLR,M,M
47,VBT,2014-01-01 00:55,39.20,48.10,6.9,M,0.0,10.00,M,CLR,M,M
48,M19,2014-01-01 00:56,33.98,78.62,3.5,1028.00,0.0,10.00,M,CLR,M,M
49,ADF,2014-01-01 00:56,34.88,92.39,0.0,1029.30,0.0,10.00,M,CLR,M,M
50,SRC,2014-01-01 00:56,31.10,85.06,0.0,1028.30,0.0,10.00,M,CLR,M,M
51,ROG,2014-01-01 00:57,41.00,46.23,6.9,1024.20,0.0,10.00,M,CLR,M,M
52,LRF,2014-01-01 00:58,35.96,75.39,0.0,1028.10,0.0,10.00,M,CLR,M,M
53,MEZ,2014-01-01 01:15,41.00,56.22,0.0,M,0.0,10.00,M,CLR,M,M
54,SGT,2014-01-01 01:15,37.40,69.67,8.1,M,0.0,10.00,M,CLR,M,M
55,CCA,2014-01-01 01:15,30.20,92.92,0.0,M,0.0,7.00,M,CLR,M,M
56,ARG,2014-01-01 01:15,33.80,69.25,9.2,M,0.0,10.00,M,CLR,M,M
57,VBT,2014-01-01 01:15,39.20,51.89,6.9,M,0.0,10.00,M,CLR,M,M
58,CDH,2014-01-01 01:15,35.60,69.46,0.0,M,0.0,10.00,M,CLR,M,M
59,FLP,2014-01-01 01:15,42.80,41.84,6.9,M,0.0,10.00,M,CLR,M,M
60,4M9,2014-01-01 01:15,32.00,86.39,4.6,M,0.0,10.00,M,CLR,M,M
61,SLG,2014-01-01 01:15,41.00,44.85,10.4,M,0.0,10.00,M,CLR,M,M
62,BVX,2014-01-01 01:15,37.40,69.67,4.6,M,0.0,10.00,M,CLR,M,M
63,SLG,2014-01-01 01:35,41.00,44.85,8.1,M,0.0,10.00,M,CLR,M,M
64,4M9,2014-01-01 01:35,32.00,86.39,0.0,M,0.0,10.00,M,CLR,M,M
65,SGT,2014-01-01 01:35,37.40,69.67,8.1,M,0.0,10.00,M,CLR,M,M
66,BVX,2014-01-01 01:35,37.40,69.67,3.5,M,0.0,10.00,M,CLR,M,M
67,VBT,2014-01-01 01:35,39.20,51.89,5.8,M,0.0,10.00,M,CLR,M,M
68,CDH,2014-01-01 01:35,33.80,74.63,0.0,M,0.0,10.00,M,CLR,M,M
69,ARG,2014-01-01 01:35,33.80,69.25,9.2,M,0.0,10.00,M,CLR,M,M
70,MEZ,2014-01-01 01:35,42.80,52.45,0.0,M,0.0,10.00,M,CLR,M,M
71,FLP,2014-01-01 01:35,42.80,41.84,5.8,M,0.0,10.00,M,CLR,M,M
72,CCA,2014-01-01 01:35,30.20,92.92,0.0,M,0.0,7.00,M,CLR,M,M
73,ASG,2014-01-01 01:48,39.20,51.89,8.1,M,0.0,10.00,M,CLR,M,M
74,DEQ,2014-01-01 01:53,28.94,92.19,3.5,1026.50,0.0,10.00,M,CLR,M,M
75,XNA,2014-01-01 01:53,35.06,63.91,6.9,1023.70,0.0,10.00,M,CLR,M,M
76,MWT,2014-01-01 01:53,35.96,69.51,0.0,1026.80,0.0,10.00,M,CLR,M,M
77,LLQ,2014-01-01 01:53,33.08,77.96,0.0,1028.40,0.0,10.00,M,CLR,M,M
78,JBR,2014-01-01 01:53,35.96,78.79,3.5,1027.90,0.0,10.00,M,CLR,M,M
79,ELD,2014-01-01 01:53,30.92,88.92,0.0,1028.20,0.0,10.00,M,CLR,M,M
80,BPK,2014-01-01 01:53,39.92,50.46,5.8,M,0.0,10.00,M,CLR,M,M
81,FYV,2014-01-01 01:53,39.02,52.26,9.2,1024.10,0.0,10.00,M,CLR,M,M
82,LIT,2014-01-01 01:53,35.96,75.39,4.6,1028.30,0.0,10.00,M,CLR,M,M
83,HRO,2014-01-01 01:53,39.02,52.26,8.1,1024.40,0.0,10.00,M,CLR,M,M
84,AWM,2014-01-01 01:53,33.08,81.50,4.6,1027.90,0.0,10.00,M,CLR,M,M
85,HKA,2014-01-01 01:53,33.08,81.50,6.9,1028.10,0.0,10.00,M,CLR,M,M
86,FSM,2014-01-01 01:53,35.96,64.03,0.0,1024.80,0.0,10.00,M,CLR,M,M
87,PBF,2014-01-01 01:53,35.06,75.31,5.8,1027.80,0.0,10.00,M,CLR,M,M
88,RUE,2014-01-01 01:53,37.04,64.17,0.0,1026.10,0.0,10.00,M,CLR,M,M
89,TXK,2014-01-01 01:53,37.94,67.21,6.9,1027.20,0.0,10.00,M,CLR,M,M
90,HOT,2014-01-01 01:53,35.06,72.03,0.0,1027.50,0.0,10.00,M,CLR,M,M
91,ARG,2014-01-01 01:55,33.80,69.25,8.1,M,0.0,10.00,M,CLR,M,M
92,SLG,2014-01-01 01:55,39.20,48.10,6.9,M,0.0,10.00,M,CLR,M,M
93,VBT,2014-01-01 01:55,39.20,51.89,6.9,M,0.0,10.00,M,CLR,M,M
94,SGT,2014-01-01 01:55,35.60,69.46,4.6,M,0.0,10.00,M,CLR,M,M
95,4M9,2014-01-01 01:55,32.00,86.39,0.0,M,0.0,10.00,M,CLR,M,M
96,FLP,2014-01-01 01:55,41.00,44.85,3.5,M,0.0,10.00,M,CLR,M,M
97,BVX,2014-01-01 01:55,37.40,69.67,4.6,M,0.0,10.00,M,CLR,M,M
98,CDH,2014-01-01 01:55,32.00,80.22,0.0,M,0.0,10.00,M,CLR,M,M
99,MEZ,2014-01-01 01:55,42.80,56.48,0.0,M,0.0,10.00,M,CLR,M,M
100,CCA,2014-01-01 01:55,30.20,92.92,0.0,M,0.0,7.00,M,CLR,M,M
101,SRC,2014-01-01 01:56,26.06,92.09,0.0,1028.60,0.0,10.00,M,CLR,M,M
102,ADF,2014-01-01 01:56,33.98,92.36,0.0,1029.60,0.0,10.00,M,CLR,M,M
103,M19,2014-01-01 01:56,33.98,82.17,4.6,1028.00,0.0,10.00,M,CLR,M,M
104,ROG,2014-01-01 01:57,41.00,48.39,8.1,1023.90,0.0,10.00,M,CLR,M,M
105,LRF,2014-01-01 01:58,30.56,85.66,2.3,1028.10,0.0,10.00,M,CLR,M,M
106,SGT,2014-01-01 02:15,35.60,74.80,0.0,M,0.0,10.00,M,CLR,M,M
107,VBT,2014-01-01 02:15,39.20,48.10,6.9,M,0.0,10.00,M,CLR,M,M
108,4M9,2014-01-01 02:15,32.00,86.39,3.5,M,0.0,10.00,M,CLR,M,M
