,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,SEZ,2014-01-01 00:15,53.60,32.46,3.5,M,0.0,10.00,M,CLR,M,M
1,PAN,2014-01-01 00:15,50.00,27.33,4.6,M,0.0,10.00,M,CLR,M,M
2,BXK,2014-01-01 00:15,62.60,31.56,0.0,M,0.0,10.00,M,CLR,M,M
3,SOW,2014-01-01 00:15,46.40,22.81,0.0,M,0.0,10.00,M,CLR,M,M
4,CMR,2014-01-01 00:15,48.20,24.99,4.6,M,0.0,10.00,M,CLR,M,M
5,IFP,2014-01-01 00:15,64.40,15.04,9.2,M,0.0,10.00,M,CLR,M,M
6,HII,2014-01-01 00:15,62.60,17.32,3.5,M,0.0,10.00,M,CLR,M,M
7,CGZ,2014-01-01 00:15,62.60,33.93,4.6,M,0.0,10.00,M,CLR,M,M
8,SEZ,2014-01-01 00:35,51.80,34.69,0.0,M,0.0,10.00,M,CLR,M,M
9,CGZ,2014-01-01 00:35,60.80,38.85,0.0,M,0.0,10.00,M,CLR,M,M
10,SOW,2014-01-01 00:35,46.40,22.81,0.0,M,0.0,10.00,M,CLR,M,M
11,PAN,2014-01-01 00:35,48.20,31.57,4.6,M,0.0,10.00,M,CLR,M,M
12,BXK,2014-01-01 00:35,62.60,31.56,0.0,M,0.0,10.00,M,CLR,M,M
13,HII,2014-01-01 00:35,62.60,17.32,3.5,M,0.0,10.00,M,CLR,M,M
14,CMR,2014-01-01 00:35,46.40,28.93,5.8,M,0.0,10.00,M,CLR,M,M
15,IFP,2014-01-01 00:35,62.60,16.02,6.9,M,0.0,10.00,M,CLR,M,M
16,GYR,2014-01-01 00:47,64.40,27.55,4.6,M,0.0,10.00,M,CLR,M,M
17,GEU,2014-01-01 00:47,64.40,25.60,0.0,M,0.0,20.00,M,CLR,M,M
18,IWA,2014-01-01 00:47,62.60,27.27,5.8,M,0.0,20.00,M,CLR,M,M
19,RYN,2014-01-01 00:47,60.80,25.04,18.4,M,0.0,10.00,M,CLR,M,M
20,FFZ,2014-01-01 00:50,60.80,26.98,6.9,M,0.0,40.00,M,CLR,M,M
21,CHD,2014-01-01 00:50,60.80,33.64,5.8,M,0.0,15.00,M,CLR,M,M
22,SAD,2014-01-01 00:51,53.96,27.33,3.5,1020.00,0.0,10.00,M,CLR,M,M
23,IGM,2014-01-01 00:51,42.98,26.61,0.0,1019.50,0.0,10.00,M,CLR,M,M
24,PHX,2014-01-01 00:51,66.02,21.97,5.8,1017.70,0.0,10.00,M,FEW,M,M
25,SDL,2014-01-01 00:53,64.04,24.43,3.5,1018.40,0.0,10.00,M,CLR,M,M
26,PRC,2014-01-01 00:53,48.92,23.20,4.6,1020.70,0.0,10.00,M,CLR,M,M
27,DVT,2014-01-01 00:53,62.06,24.13,3.5,1018.10,0.0,10.00,M,CLR,M,M
28,TUS,2014-01-01 00:53,64.94,20.08,4.6,1017.80,0.0,10.00,M,CLR,M,M
29,RQE,2014-01-01 00:53,41.00,35.85,0.0,1022.40,0.0,10.00,M,CLR,M,M
30,PGA,2014-01-01 00:53,41.00,39.05,0.0,1023.00,0.0,10.00,M,CLR,M,M
31,OLS,2014-01-01 00:54,55.94,19.70,5.8,1017.90,0.0,10.00,M,CLR,M,M
32,SJN,2014-01-01 00:54,42.98,27.92,4.6,1022.50,0.0,10.00,M,CLR,M,M
33,GCN,2014-01-01 00:54,30.02,42.66,3.5,1026.30,0.0,10.00,M,CLR,M,M
34,HII,2014-01-01 00:55,59.00,19.68,0.0,M,0.0,10.00,M,CLR,M,M
35,IFP,2014-01-01 00:55,60.80,17.07,0.0,M,0.0,10.00,M,CLR,M,M
36,CGZ,2014-01-01 00:55,57.20,41.13,4.6,M,0.0,10.00,M,CLR,M,M
37,SOW,2014-01-01 00:55,42.80,28.34,0.0,M,0.0,10.00,M,CLR,M,M
38,SEZ,2014-01-01 00:55,51.80,32.17,0.0,M,0.0,10.00,M,CLR,M,M
39,BXK,2014-01-01 00:55,59.00,35.87,0.0,M,0.0,6.00,M,CLR,M,M
40,PAN,2014-01-01 00:55,46.40,31.28,3.5,M,0.0,10.00,M,CLR,M,M
41,CMR,2014-01-01 00:55,44.60,30.98,6.9,M,0.0,10.00,M,CLR,M,M
42,INW,2014-01-01 00:56,37.94,37.05,4.6,1024.00,0.0,10.00,M,CLR,M,M
43,DUG,2014-01-01 00:56,55.04,17.79,3.5,1020.60,0.0,10.00,M,CLR,M,M
44,FHU,2014-01-01 00:56,50.00,29.07,8.1,1020.90,0.0,10.00,M,CLR,M,M
45,NYL,2014-01-01 00:57,66.02,16.99,4.6,1018.40,0.0,10.00,M,CLR,M,M
46,FLG,2014-01-01 00:57,39.92,48.21,5.8,1023.80,0.0,10.00,M,CLR,M,M
47,LUF,2014-01-01 00:58,62.24,28.03,1.2,M,0.0,10.00,M,CLR,M,M
48,DMA,2014-01-01 00:58,61.88,24.28,6.9,1017.30,0.0,10.00,M,CLR,M,M
49,BXK,2014-01-01 01:15,57.20,38.26,0.0,M,0.0,10.00,M,CLR,M,M
50,CMR,2014-01-01 01:15,44.60,30.98,5.8,M,0.0,10.00,M,CLR,M,M
51,SEZ,2014-01-01 01:15,51.80,32.17,0.0,M,0.0,10.00,M,CLR,M,M
52,CGZ,2014-01-01 01:15,55.40,43.90,5.8,M,0.0,10.00,M,CLR,M,M
53,HII,2014-01-01 01:15,55.40,22.41,0.0,M,0.0,10.00,M,CLR,M,M
54,PAN,2014-01-01 01:15,46.40,31.28,3.5,M,0.0,10.00,M,CLR,M,M
55,SOW,2014-01-01 01:15,37.40,34.96,0.0,M,0.0,10.00,M,CLR,M,M
56,IFP,2014-01-01 01:15,59.00,18.20,0.0,M,0.0,10.00,M,CLR,M,M
57,HII,2014-01-01 01:35,55.40,22.41,0.0,M,0.0,10.00,M,CLR,M,M
