,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,SNC,2014-01-01 00:15,28.40,68.61,3.5,M,0.0,10.00,M,CLR,M,M
1,SNC,2014-01-01 00:35,26.60,73.89,5.8,M,0.0,10.00,M,CLR,M,M
2,OXC,2014-01-01 00:45,24.80,58.22,8.1,M,0.0,10.00,13.8,CLR,M,M
3,BDL,2014-01-01 00:51,21.02,80.55,5.8,1020.50,0.0,10.00,M,FEW,BKN,BKN
4,BDR,2014-01-01 00:52,28.94,71.91,10.4,1021.70,0.0,10.00,16.1,CLR,M,M
5,IJD,2014-01-01 00:52,19.04,73.67,0.0,1021.00,0.0,10.00,M,CLR,M,M
6,HFD,2014-01-01 00:53,24.98,74.29,3.5,1021.10,0.0,9.00,M,SCT,M,M
7,DXR,2014-01-01 00:53,26.96,54.95,12.7,1021.70,0.0,10.00,19.6,CLR,M,M
8,MMK,2014-01-01 00:53,26.06,71.04,5.8,1021.30,0.0,10.00,M,CLR,M,M
9,HVN,2014-01-01 00:53,30.02,65.72,9.2,1021.50,0.0,10.00,M,CLR,M,M
10,SNC,2014-01-01 00:55,28.40,68.61,5.8,M,0.0,10.00,M,CLR,M,M
11,GON,2014-01-01 00:56,28.04,65.47,6.9,1021.10,0.0,9.00,M,CLR,M,M
12,SNC,2014-01-01 01:15,28.40,68.61,6.9,M,0.0,10.00,M,CLR,M,M
13,SNC,2014-01-01 01:35,28.40,68.61,6.9,M,0.0,10.00,M,CLR,M,M
14,OXC,2014-01-01 01:45,24.80,49.59,8.1,M,0.0,10.00,17.3,CLR,M,M
15,BDL,2014-01-01 01:51,21.92,74.56,8.1,1021.10,0.0,10.00,M,FEW,M,M
16,IJD,2014-01-01 01:52,19.04,76.66,0.0,1021.70,0.0,10.00,M,SCT,BKN,M
17,BDR,2014-01-01 01:52,28.94,53.13,10.4,1022.70,0.0,10.00,23.0,CLR,M,M
18,MMK,2014-01-01 01:53,26.96,57.63,5.8,1022.10,0.0,10.00,M,FEW,M,M
19,HFD,2014-01-01 01:53,26.96,74.50,0.0,1021.60,0.0,8.00,M,FEW,OVC,M
20,HVN,2014-01-01 01:53,30.02,58.08,6.9,1022.20,0.0,10.00,16.1,CLR,M,M
21,DXR,2014-01-01 01:53,26.06,39.96,13.8,1022.60,0.0,10.00,23.0,CLR,M,M
22,SNC,2014-01-01 01:55,28.40,68.61,5.8,M,0.0,10.00,M,CLR,M,M
23,GON,2014-01-01 01:56,28.94,63.10,10.4,1021.60,0.0,9.00,M,CLR,M,M
24,SNC,2014-01-01 02:15,28.40,68.61,6.9,M,0.0,10.00,M,CLR,M,M
25,SNC,2014-01-01 02:35,26.60,68.40,5.8,M,0.0,10.00,M,CLR,M,M
26,BDL,2014-01-01 02:51,21.92,65.18,8.1,1021.90,0.0,10.00,M,CLR,M,M
27,BDR,2014-01-01 02:52,28.04,42.32,18.4,1023.10,0.0,10.00,25.3,CLR,M,M
28,IJD,2014-01-01 02:52,19.04,80.38,0.0,1022.30,0.0,10.00,M,OVC,M,M
29,HVN,2014-01-01 02:53,28.94,46.41,10.4,1022.80,0.0,10.00,20.7,CLR,M,M
