,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,ILG,2014-01-01 00:51,30.02,53.29,9.2,1025.20,0.0,10.00,M,CLR,M,M
1,GED,2014-01-01 00:54,37.04,43.85,4.6,1025.40,0.0,10.00,M,CLR,M,M
2,DOV,2014-01-01 00:58,32.90,57.17,4.6,1025.10,0.0,10.00,M,CLR,M,M
3,ILG,2014-01-01 01:51,26.96,60.41,8.1,1026.10,0.0,10.00,M,CLR,M,M
4,GED,2014-01-01 01:54,33.98,56.02,3.5,1026.30,0.0,10.00,M,CLR,M,M
5,DOV,2014-01-01 01:58,31.82,57.45,9.2,1026.10,0.0,10.00,M,CLR,M,M
6,ILG,2014-01-01 02:51,28.04,57.79,5.8,1026.60,0.0,10.00,M,CLR,M,M
7,GED,2014-01-01 02:54,33.98,51.47,0.0,1026.90,0.0,10.00,M,CLR,M,M
8,DOV,2014-01-01 02:58,30.74,58.18,5.8,1026.40,0.0,10.00,M,CLR,M,M
9,ILG,2014-01-01 03:51,24.98,65.58,6.9,1027.30,0.0,10.00,M,CLR,M,M
10,GED,2014-01-01 03:54,33.98,47.25,3.5,1027.30,0.0,10.00,M,CLR,M,M
11,DOV,2014-01-01 03:58,30.56,56.82,8.1,1027.10,0.0,10.00,M,CLR,M,M
12,ILG,2014-01-01 04:51,24.98,65.58,4.6,1027.40,0.0,10.00,M,CLR,M,M
13,GED,2014-01-01 04:54,33.08,48.98,6.9,1027.70,0.0,10.00,M,CLR,M,M
14,DOV,2014-01-01 04:58,29.66,56.68,3.5,1027.40,0.0,10.00,M,CLR,M,M
15,ILG,2014-01-01 05:51,26.06,62.70,0.0,1027.80,0.0,10.00,M,CLR,M,M
16,GED,2014-01-01 05:54,32.00,49.19,4.6,1028.20,0.0,10.00,M,CLR,M,M
17,DOV,2014-01-01 05:58,28.94,62.12,3.5,1028.10,0.0,10.00,M,CLR,M,M
18,ILG,2014-01-01 06:51,26.06,65.21,3.5,1028.40,0.0,10.00,M,CLR,M,M
19,GED,2014-01-01 06:54,32.00,51.15,3.5,1028.20,0.0,10.00,M,CLR,M,M
20,DOV,2014-01-01 06:58,27.50,65.90,0.0,1028.80,0.0,10.00,M,CLR,M,M
21,ILG,2014-01-01 07:51,26.06,62.70,0.0,1029.30,0.0,10.00,M,CLR,M,M
22,GED,2014-01-01 07:54,30.92,53.44,0.0,1028.60,0.0,10.00,M,CLR,M,M
23,DOV,2014-01-01 07:58,23.36,83.27,5.8,1028.10,0.0,10.00,M,CLR,M,M
