,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,PHSF,2014-01-01 00:21,59.00,82.25,9.2,M,0.0,12.00,M,FEW,SCT,BKN
1,PHNY,2014-01-01 00:31,80.60,57.84,10.4,M,0.0,10.00,M,SCT,M,M
2,PHSF,2014-01-01 00:31,62.60,72.38,8.1,M,0.0,12.00,M,FEW,SCT,BKN
3,PHJH,2014-01-01 00:50,78.80,65.33,17.3,M,0.0,15.00,M,FEW,FEW,M
4,PHTO,2014-01-01 00:53,78.98,76.74,9.2,1012.90,0.0,10.00,M,FEW,SCT,M
5,PHKO,2014-01-01 00:53,80.06,55.97,6.9,1012.50,0.0,10.00,M,OVC,M,M
6,PHLI,2014-01-01 00:53,78.08,64.03,6.9,1013.80,0.0,10.00,M,FEW,SCT,M
7,PHNL,2014-01-01 00:53,80.06,55.97,10.4,1012.90,0.0,10.00,M,FEW,SCT,SCT
8,PHJR,2014-01-01 00:53,78.08,66.48,9.2,1014.30,0.0,10.00,16.1,CLR,M,M
9,PHMK,2014-01-01 00:54,77.00,71.08,8.1,1014.00,0.0,10.00,M,CLR,M,M
10,PHOG,2014-01-01 00:54,80.06,64.26,16.1,1014.00,0.0,10.00,M,FEW,BKN,M
11,PMDY,2014-01-01 00:56,74.84,79.28,18.4,1040.90,0.0,7.00,M,SCT,M,M
12,PHNY,2014-01-01 00:56,78.98,59.86,4.6,1013.00,0.0,10.00,M,CLR,M,M
13,PHSF,2014-01-01 00:56,60.98,79.21,9.2,M,0.0,11.00,M,FEW,SCT,M
14,PHBK,2014-01-01 00:56,78.08,62.05,6.9,1013.50,0.0,10.00,M,CLR,M,M
15,PHNG,2014-01-01 00:57,80.78,52.97,6.9,1013.10,0.0,9.00,M,SCT,M,M
16,PHHI,2014-01-01 00:58,75.38,66.59,5.8,1012.80,0.0,10.00,M,FEW,M,M
17,PHSF,2014-01-01 01:01,60.80,82.37,9.2,M,0.0,9.00,M,FEW,SCT,BKN
18,PHSF,2014-01-01 01:06,60.80,82.37,8.1,M,0.0,10.00,M,FEW,SCT,BKN
19,PHSF,2014-01-01 01:19,59.00,87.83,12.7,M,0.0,8.00,M,FEW,SCT,BKN
20,PHJH,2014-01-01 01:50,78.80,65.33,6.9,M,0.0,15.00,M,FEW,M,M
21,PHNL,2014-01-01 01:53,80.06,58.14,10.4,1012.60,0.0,10.00,M,FEW,SCT,SCT
22,PHLI,2014-01-01 01:53,75.02,70.88,6.9,1013.80,0.0,10.00,M,SCT,M,M
23,PHKO,2014-01-01 01:53,80.06,55.97,6.9,1012.60,0.0,10.00,M,FEW,SCT,M
24,PHJR,2014-01-01 01:53,75.92,71.42,8.1,1013.90,0.0,10.00,M,CLR,M,M
25,PHTO,2014-01-01 01:53,77.00,78.96,6.9,1012.80,0.0,10.00,M,FEW,SCT,BKN
26,PHOG,2014-01-01 01:54,78.98,64.54,8.1,1013.80,0.0,10.00,M,FEW,SCT,M
27,PHMK,2014-01-01 01:54,77.00,73.78,5.8,1013.70,0.0,10.00,M,SCT,M,M
28,PHNY,2014-01-01 01:56,78.98,59.86,5.8,1012.90,0.0,10.00,M,BKN,M,M
29,PHBK,2014-01-01 01:56,78.08,57.87,8.1,1013.50,0.0,10.00,M,CLR,M,M
30,PMDY,2014-01-01 01:56,73.94,84.28,20.7,1040.00,0.0,2.50,31.1,FEW,SCT,BKN
31,PHSF,2014-01-01 01:56,57.56,90.69,8.1,M,0.0,8.00,M,FEW,BKN,M
32,PHNG,2014-01-01 01:57,80.78,49.37,5.8,1012.90,0.0,9.00,M,SCT,SCT,M
33,PHHI,2014-01-01 01:58,77.36,64.35,5.8,1012.80,0.0,10.00,M,OVC,M,M
34,PHTO,2014-01-01 02:01,77.00,78.96,6.9,M,0.0,10.00,M,SCT,BKN,BKN
35,PHHI,2014-01-01 02:03,77.00,69.33,2.3,M,0.0,10.00,M,OVC,M,M
36,PMDY,2014-01-01 02:03,73.40,83.21,19.6,M,0.0,5.00,M,FEW,SCT,BKN
37,PHMK,2014-01-01 02:04,75.20,78.34,6.9,M,0.0,10.00,M,BKN,M,M
38,PMDY,2014-01-01 02:11,73.40,88.51,18.4,M,0.0,2.50,M,FEW,BKN,OVC
39,PHMK,2014-01-01 02:14,77.00,73.78,8.1,M,0.0,10.00,M,SCT,M,M
40,PMDY,2014-01-01 02:18,73.40,88.51,23.0,M,0.0,1.25,29.9,SCT,BKN,OVC
41,PMDY,2014-01-01 02:26,73.40,88.51,21.9,M,0.0,0.75,29.9,FEW,SCT,BKN
42,PHSF,2014-01-01 02:28,57.20,93.69,5.8,M,0.0,7.00,M,FEW,BKN,M
43,PHSF,2014-01-01 02:30,57.20,87.74,6.9,M,0.0,7.00,M,FEW,BKN,M
44,PHNY,2014-01-01 02:33,77.00,65.12,5.8,M,0.0,10.00,M,FEW,M,M
45,PMDY,2014-01-01 02:35,71.60,94.06,16.1,M,0.0,1.25,M,SCT,BKN,OVC
46,PHTO,2014-01-01 02:35,78.08,73.88,4.6,M,0.0,10.00,M,FEW,SCT,BKN
47,PMDY,2014-01-01 02:37,71.60,94.06,17.3,M,0.0,2.00,M,SCT,BKN,OVC
48,PHJH,2014-01-01 02:50,77.00,69.33,5.8,M,0.0,15.00,M,FEW,M,M
49,PHJR,2014-01-01 02:53,75.02,73.59,5.8,1014.30,0.0,10.00,M,CLR,M,M
50,PHLI,2014-01-01 02:53,75.92,68.78,5.8,1013.90,0.0,10.00,M,FEW,M,M
51,PHNL,2014-01-01 02:53,80.96,52.66,8.1,1013.00,0.0,10.00,M,FEW,SCT,BKN
52,PHTO,2014-01-01 02:53,75.92,79.37,3.5,1013.10,0.0,10.00,M,FEW,SCT,M
53,PHKO,2014-01-01 02:53,80.06,54.23,5.8,1012.90,0.0,10.00,M,BKN,M,M
54,PHMK,2014-01-01 02:54,75.02,75.93,9.2,1013.90,0.0,10.00,M,FEW,M,M
55,PHOG,2014-01-01 02:54,78.08,62.05,8.1,1013.90,0.0,10.00,M,FEW,SCT,M
56,PHSF,2014-01-01 02:56,56.12,88.27,5.8,M,0.02,5.00,M,FEW,BKN,M
57,PMDY,2014-01-01 02:56,71.96,93.49,23.0,1040.10,0.0,1.75,28.8,SCT,BKN,OVC
58,PHBK,2014-01-01 02:56,78.08,57.87,6.9,1013.70,0.0,10.00,M,CLR,M,M
59,PHNY,2014-01-01 02:56,74.84,66.53,3.5,1013.20,0.0,10.00,M,CLR,M,M
60,PHNG,2014-01-01 02:57,80.24,53.91,5.8,1013.30,0.0,7.00,M,FEW,SCT,M
61,PHHI,2014-01-01 02:58,73.76,71.20,11.5,1013.20,0.0,10.00,M,SCT,M,M
62,PMDY,2014-01-01 02:59,71.60,94.06,27.6,M,0.0,1.00,34.5,BKN,BKN,OVC
63,PMDY,2014-01-01 03:08,71.60,94.06,33.4,M,0.0,0.75,39.1,BKN,BKN,OVC
64,PMDY,2014-01-01 03:13,71.60,94.06,25.3,M,0.0,1.25,39.1,FEW,BKN,OVC
65,PMDY,2014-01-01 03:17,71.60,94.06,20.7,M,0.0,2.50,39.1,SCT,BKN,OVC
66,PHLI,2014-01-01 03:19,75.20,69.14,5.8,M,0.0,10.00,M,BKN,M,M
67,PMDY,2014-01-01 03:24,71.60,94.06,34.5,M,0.0,6.00,40.3,FEW,BKN,OVC
68,PHLI,2014-01-01 03:31,73.40,73.44,5.8,M,0.0,10.00,M,SCT,BKN,M
69,PHSF,2014-01-01 03:46,55.40,93.65,4.6,M,0.0,2.50,M,SCT,BKN,M
70,PMDY,2014-01-01 03:48,71.60,94.06,19.6,M,0.0,5.00,M,FEW,SCT,SCT
71,PHJH,2014-01-01 03:50,75.20,73.61,0.0,M,0.0,15.00,M,FEW,FEW,M
72,PHJR,2014-01-01 03:53,73.94,76.31,0.0,1015.00,0.0,10.00,M,CLR,M,M
73,PHKO,2014-01-01 03:53,78.98,52.37,5.8,1013.10,0.0,10.00,M,CLR,M,M
74,PHNL,2014-01-01 03:53,77.00,61.91,9.2,1013.80,0.0,10.00,M,FEW,BKN,BKN
75,PHLI,2014-01-01 03:53,73.04,75.75,3.5,1014.10,0.0,10.00,M,FEW,M,M
76,PHTO,2014-01-01 03:53,73.04,90.14,0.0,1013.70,0.0,10.00,M,SCT,M,M
77,PHOG,2014-01-01 03:54,75.92,71.42,13.8,1014.30,0.0,10.00,M,FEW,M,M
78,PHMK,2014-01-01 03:54,73.04,84.22,3.5,1014.80,0.0,10.00,M,SCT,M,M
79,PHNY,2014-01-01 03:56,71.96,70.56,0.0,1014.00,0.0,10.00,M,CLR,M,M
80,PHSF,2014-01-01 03:56,55.04,94.88,3.5,M,0.02,2.75,M,SCT,BKN,M
81,PHBK,2014-01-01 03:56,75.02,64.07,0.0,1013.70,0.0,10.00,M,CLR,M,M
82,PMDY,2014-01-01 03:56,72.86,90.69,21.9,1039.80,0.0,5.00,26.5,FEW,SCT,M
83,PHNG,2014-01-01 03:57,78.26,57.53,3.5,1013.90,0.0,7.00,M,SCT,BKN,M
84,PHHI,2014-01-01 03:58,71.78,74.69,5.8,1014.00,0.0,10.00,M,CLR,M,M
85,PHSF,2014-01-01 04:01,55.40,93.65,4.6,M,0.0,2.75,M,BKN,M,M
86,PHSF,2014-01-01 04:06,55.40,93.65,4.6,M,0.0,1.88,M,FEW,BKN,M
87,PMDY,2014-01-01 04:13,71.60,94.06,21.9,M,0.0,5.00,33.4,FEW,BKN,M
88,PHTO,2014-01-01 04:14,73.04,90.14,3.5,M,0.0,10.00,M,BKN,M,M
89,PHLI,2014-01-01 04:15,73.40,73.44,5.8,M,0.0,10.00,M,BKN,M,M
90,PHSF,2014-01-01 04:21,55.40,93.65,1.2,M,0.0,1.62,M,SCT,BKN,BKN
91,PHSF,2014-01-01 04:26,53.60,100.00,1.2,M,0.0,1.88,M,SCT,BKN,BKN
92,PHTO,2014-01-01 04:27,71.96,93.49,0.0,M,0.0,10.00,M,SCT,M,M
93,PHSF,2014-01-01 04:29,53.60,100.00,1.2,M,0.0,2.00,M,SCT,BKN,BKN
94,PHKO,2014-01-01 04:29,78.80,57.60,4.6,M,0.0,10.00,M,BKN,M,M
95,PHHI,2014-01-01 04:38,69.80,82.98,3.5,M,0.0,10.00,M,BKN,M,M
96,PHHI,2014-01-01 04:43,69.80,82.98,2.3,M,0.0,10.00,M,SCT,M,M
97,PHSF,2014-01-01 04:44,55.40,93.65,3.5,M,0.0,1.88,M,FEW,SCT,BKN
98,PHKO,2014-01-01 04:53,78.08,62.05,4.6,1013.60,0.0,10.00,M,BKN,BKN,OVC
99,PHTO,2014-01-01 04:53,71.06,96.39,3.5,1014.20,0.0,10.00,M,SCT,M,M
100,PHLI,2014-01-01 04:53,73.94,76.31,6.9,1014.40,0.0,10.00,M,SCT,OVC,M
101,PHNL,2014-01-01 04:53,75.92,64.17,0.0,1014.20,0.0,10.00,M,FEW,SCT,M
102,PHJR,2014-01-01 04:53,73.04,75.75,5.8,1015.30,0.0,10.00,M,SCT,OVC,M
103,PHOG,2014-01-01 04:54,75.02,70.88,6.9,1014.80,0.0,10.00,M,FEW,M,M
104,PHSF,2014-01-01 04:54,55.40,93.65,3.5,M,0.0,1.62,M,FEW,SCT,BKN
105,PHMK,2014-01-01 04:54,71.96,87.35,4.6,1015.30,0.0,10.00,M,CLR,M,M
106,PHNY,2014-01-01 04:56,68.90,87.20,6.9,1014.90,0.0,10.00,M,FEW,M,M
107,PMDY,2014-01-01 04:56,71.96,96.40,18.4,1039.90,0.0,4.00,M,FEW,SCT,BKN
108,PHSF,2014-01-01 04:56,54.50,96.76,3.5,M,0.01,1.62,M,FEW,SCT,BKN
109,PHBK,2014-01-01 04:56,71.96,76.13,0.0,1014.30,0.0,10.00,M,CLR,M,M
110,PHNG,2014-01-01 04:57,78.26,57.53,3.5,1014.20,0.0,8.00,M,FEW,OVC,M
111,PHHI,2014-01-01 04:58,70.16,78.42,2.3,1014.30,0.0,10.00,M,SCT,M,M
112,PHTO,2014-01-01 05:01,71.96,96.99,0.0,M,0.0,10.00,M,BKN,M,M
113,PHKO,2014-01-01 05:06,78.80,61.36,3.5,M,0.0,10.00,M,SCT,BKN,M
114,PMDY,2014-01-01 05:07,71.60,100.00,19.6,M,0.0,5.00,M,FEW,SCT,M
115,PHSF,2014-01-01 05:12,55.40,93.65,1.2,M,0.0,1.75,M,FEW,SCT,BKN
116,PHSF,2014-01-01 05:19,55.40,93.65,1.2,M,0.0,1.62,M,FEW,SCT,BKN
117,PHSF,2014-01-01 05:24,53.60,100.00,0.0,M,0.0,2.00,M,FEW,SCT,BKN
118,PHLI,2014-01-01 05:33,73.40,73.44,6.9,M,0.0,10.00,M,BKN,OVC,M
119,PHMK,2014-01-01 05:36,71.60,88.43,5.8,M,0.01,10.00,M,FEW,M,M
120,PHSF,2014-01-01 05:39,55.40,93.65,3.5,M,0.0,2.25,M,FEW,SCT,BKN
121,PHNL,2014-01-01 05:53,73.94,68.57,4.6,1014.50,0.0,10.00,M,FEW,M,M
122,PHTO,2014-01-01 05:53,71.96,96.99,0.0,1014.40,0.0,7.00,M,BKN,BKN,M
123,PHLI,2014-01-01 05:53,73.94,73.49,6.9,1015.00,0.0,10.00,M,BKN,BKN,OVC
124,PHKO,2014-01-01 05:53,78.08,66.48,5.8,1013.90,0.0,10.00,M,CLR,M,M
125,PHJR,2014-01-01 05:53,71.06,78.49,0.0,1015.60,0.0,10.00,M,CLR,M,M
126,PHOG,2014-01-01 05:54,71.96,81.57,4.6,1015.30,0.0,10.00,M,FEW,M,M
127,PHMK,2014-01-01 05:54,71.06,90.06,4.6,1015.40,0.01,10.00,M,CLR,M,M
128,PHSF,2014-01-01 05:56,54.32,96.76,2.3,M,0.01,2.25,M,FEW,SCT,M
129,PHBK,2014-01-01 05:56,69.08,80.86,3.5,1014.70,0.0,10.00,M,CLR,M,M
130,PHNY,2014-01-01 05:56,68.00,92.80,6.9,1015.00,0.0,10.00,M,CLR,M,M
131,PMDY,2014-01-01 05:56,71.96,100.00,20.7,1040.30,0.0,6.00,M,SCT,SCT,M
132,PHNG,2014-01-01 05:57,75.74,62.55,4.6,1014.40,0.0,9.00,M,FEW,M,M
133,PHHI,2014-01-01 05:58,66.02,85.95,4.6,1014.80,0.0,10.00,M,CLR,M,M
134,PHTO,2014-01-01 06:02,71.96,96.99,3.5,M,0.0,7.00,M,FEW,SCT,M
135,PHLI,2014-01-01 06:02,73.40,73.44,5.8,M,0.0,10.00,M,SCT,BKN,OVC
136,PMDY,2014-01-01 06:03,71.60,100.00,20.7,M,0.0,6.00,M,BKN,BKN,M
137,PHSF,2014-01-01 06:04,53.60,100.00,1.2,M,0.0,2.25,M,FEW,SCT,M
138,PHSF,2014-01-01 06:14,53.60,100.00,1.2,M,0.0,1.88,M,FEW,SCT,M
139,PHSF,2014-01-01 06:34,51.80,100.00,3.5,M,0.0,2.00,M,FEW,M,M
140,PHSF,2014-01-01 06:44,51.80,100.00,2.3,M,0.0,3.00,M,CLR,M,M
141,PMDY,2014-01-01 06:47,71.60,100.00,19.6,M,0.0,5.00,M,SCT,M,M
142,PHLI,2014-01-01 06:53,73.04,75.75,6.9,1015.30,0.0,10.00,M,FEW,BKN,M
143,PHKO,2014-01-01 06:53,75.92,66.65,4.6,1014.20,0.0,10.00,M,CLR,M,M
144,PHJR,2014-01-01 06:53,69.08,83.98,0.0,1016.20,0.0,10.00,M,BKN,M,M
145,PHNL,2014-01-01 06:53,73.94,71.22,0.0,1015.10,0.0,10.00,M,SCT,BKN,M
146,PHTO,2014-01-01 06:53,71.06,96.39,3.5,1014.90,0.0,4.00,M,CLR,M,M
147,PHOG,2014-01-01 06:54,69.98,84.04,0.0,1015.70,0.0,10.00,M,FEW,M,M
148,PHMK,2014-01-01 06:54,69.98,90.02,4.6,1016.00,0.0,10.00,M,CLR,M,M
149,PHBK,2014-01-01 06:56,68.00,83.91,4.6,1014.80,0.0,10.00,M,CLR,M,M
150,PHNY,2014-01-01 06:56,65.84,93.33,4.6,1015.10,0.0,10.00,M,CLR,M,M
151,PMDY,2014-01-01 06:56,71.96,100.00,17.3,1040.00,0.0,5.00,M,SCT,M,M
152,PHSF,2014-01-01 06:56,52.52,96.10,4.6,M,0.0,3.00,M,FEW,M,M
153,PHNG,2014-01-01 06:57,75.74,62.55,3.5,1014.90,0.0,9.00,M,FEW,OVC,M
154,PHHI,2014-01-01 06:58,64.22,90.36,2.3,1014.90,0.0,10.00,M,CLR,M,M
155,PHTO,2014-01-01 07:10,69.98,100.00,0.0,M,0.0,2.50,M,CLR,M,M
156,PMDY,2014-01-01 07:16,71.60,100.00,17.3,M,0.0,5.00,M,BKN,M,M
157,PHTO,2014-01-01 07:31,69.08,100.00,0.0,M,0.0,1.50,M,BKN,M,M
158,PMDY,2014-01-01 07:34,71.60,100.00,21.9,M,0.0,6.00,M,SCT,M,M
159,PHNL,2014-01-01 07:53,73.94,71.22,3.5,1015.30,0.0,10.00,M,SCT,BKN,M
160,PHJR,2014-01-01 07:53,69.08,83.98,0.0,1016.40,0.0,10.00,M,OVC,M,M
161,PHKO,2014-01-01 07:53,75.92,66.65,0.0,1014.40,0.0,10.00,M,CLR,M,M
162,PHTO,2014-01-01 07:53,69.08,100.00,0.0,1015.20,0.0,1.25,M,SCT,M,M
163,PHLI,2014-01-01 07:53,69.08,86.66,4.6,1015.60,0.0,10.00,M,BKN,M,M
164,PHMK,2014-01-01 07:54,69.98,90.02,5.8,1016.20,0.0,10.00,M,CLR,M,M
165,PHOG,2014-01-01 07:54,69.98,84.04,4.6,1015.90,0.0,10.00,M,CLR,M,M
166,PMDY,2014-01-01 07:56,71.96,100.00,21.9,1040.30,0.0,5.00,26.5,FEW,M,M
167,PHNY,2014-01-01 07:56,68.00,92.80,10.4,1015.10,0.0,10.00,M,CLR,M,M
168,PHBK,2014-01-01 07:56,68.00,75.78,3.5,1015.10,0.0,10.00,M,CLR,M,M
169,PHSF,2014-01-01 07:56,50.54,94.15,2.3,M,0.0,5.00,M,FEW,SCT,M
170,PHNG,2014-01-01 07:57,75.74,64.56,4.6,1015.20,0.0,10.00,M,FEW,SCT,OVC
171,PHHI,2014-01-01 07:58,62.96,91.47,3.5,1015.30,0.0,10.00,M,SCT,M,M
172,PHLI,2014-01-01 08:00,69.80,82.98,0.0,M,0.0,10.00,M,SCT,M,M
173,PHSF,2014-01-01 08:06,51.80,93.55,2.3,M,0.0,6.00,M,FEW,BKN,M
174,PHTO,2014-01-01 08:26,69.08,100.00,5.8,M,0.0,3.00,M,FEW,M,M
175,PHSF,2014-01-01 08:31,50.00,93.50,3.5,M,0.0,6.00,M,BKN,BKN,M
176,PHSF,2014-01-01 08:41,50.00,93.50,2.3,M,0.0,6.00,M,SCT,BKN,M
177,PHSF,2014-01-01 08:46,50.00,93.50,3.5,M,0.0,5.00,M,FEW,BKN,M
178,PMDY,2014-01-01 08:47,73.40,100.00,18.4,M,0.0,5.00,M,SCT,BKN,BKN
179,PHSF,2014-01-01 08:51,50.00,87.37,3.5,M,0.0,5.00,M,FEW,SCT,M
180,PHTO,2014-01-01 08:53,69.08,100.00,5.8,1015.30,0.0,3.00,M,FEW,SCT,M
181,PHJR,2014-01-01 08:53,68.00,83.91,0.0,1016.30,0.0,10.00,M,BKN,M,M
182,PHNL,2014-01-01 08:53,71.96,76.13,3.5,1015.20,0.0,10.00,M,SCT,M,M
183,PHKO,2014-01-01 08:53,73.94,61.92,4.6,1014.50,0.0,9.00,M,CLR,M,M
184,PHLI,2014-01-01 08:53,68.00,89.94,6.9,1015.60,0.0,10.00,M,CLR,M,M
185,PHMK,2014-01-01 08:54,69.98,90.02,4.6,1016.00,0.0,10.00,M,CLR,M,M
186,PHOG,2014-01-01 08:54,71.96,78.57,0.0,1016.10,0.0,10.00,M,FEW,M,M
187,PMDY,2014-01-01 08:56,72.86,100.00,21.9,1040.30,0.0,5.00,26.5,BKN,BKN,M
188,PHSF,2014-01-01 08:56,48.74,93.46,4.6,M,0.0,5.00,M,FEW,SCT,M
189,PHBK,2014-01-01 08:56,66.92,81.22,5.8,1015.40,0.0,10.00,M,CLR,M,M
190,PHNY,2014-01-01 08:56,68.00,92.80,11.5,1015.00,0.0,10.00,M,CLR,M,M
191,PHNG,2014-01-01 08:57,72.14,72.86,0.0,1015.00,0.0,9.00,M,FEW,OVC,M
192,PHHI,2014-01-01 08:58,63.14,91.48,4.6,1014.90,0.0,10.00,M,SCT,M,M
193,PMDY,2014-01-01 09:11,73.40,100.00,23.0,M,0.0,6.00,M,FEW,SCT,M
194,PHLI,2014-01-01 09:24,66.20,93.92,5.8,M,0.0,10.00,M,BKN,BKN,M
195,PHSF,2014-01-01 09:26,48.20,100.00,5.8,M,0.0,1.25,M,CLR,M,M
196,PHSF,2014-01-01 09:36,48.20,93.45,4.6,M,0.0,5.00,M,CLR,M,M
197,PHLI,2014-01-01 09:41,66.20,93.92,5.8,M,0.0,5.00,M,SCT,OVC,M
198,PHNG,2014-01-01 09:49,71.60,73.27,0.0,M,0.0,6.00,M,BKN,OVC,M
199,PHKO,2014-01-01 09:53,73.94,61.92,0.0,1014.20,0.0,10.00,M,CLR,M,M
200,PHJR,2014-01-01 09:53,66.02,89.86,0.0,1016.00,0.0,10.00,M,CLR,M,M
201,PHNL,2014-01-01 09:53,71.96,76.13,4.6,1014.80,0.0,8.00,M,FEW,M,M
