,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,DIJ,2014-01-01 00:03,30.20,80.07,13.8,M,0.00,10.00,M,SCT,BKN,BKN
1,MLP,2014-01-01 00:13,26.60,92.80,5.8,M,0.00,0.50,M,VV ,M,M
2,MYL,2014-01-01 00:14,30.02,85.00,3.5,M,0.00,4.00,M,BKN,BKN,OVC
3,65S,2014-01-01 00:15,32.00,92.97,6.9,M,0.00,10.00,M,CLR,M,M
4,EUL,2014-01-01 00:15,32.00,69.04,3.5,M,0.00,7.00,M,FEW,BKN,OVC
5,SZT,2014-01-01 00:15,32.00,100.00,9.2,M,0.00,10.00,M,SCT,M,M
6,MAN,2014-01-01 00:15,32.00,100.00,4.6,M,0.00,4.00,M,OVC,M,M
7,COE,2014-01-01 00:15,33.80,86.49,3.5,M,0.00,7.00,M,OVC,M,M
8,SMN,2014-01-01 00:15,30.20,92.92,6.9,M,0.00,8.00,M,SCT,M,M
9,GIC,2014-01-01 00:15,37.40,81.24,13.8,M,0.00,10.00,23.0,SCT,OVC,M
10,MUO,2014-01-01 00:18,32.00,100.00,5.8,M,0.00,10.00,M,BKN,OVC,M
11,COE,2014-01-01 00:35,33.80,86.49,0.0,M,0.00,8.00,M,OVC,M,M
12,SMN,2014-01-01 00:35,30.20,86.28,0.0,M,0.00,9.00,M,FEW,BKN,OVC
13,GIC,2014-01-01 00:35,37.94,78.96,12.7,M,0.00,10.00,19.6,OVC,M,M
14,SZT,2014-01-01 00:35,32.00,100.00,6.9,M,0.00,10.00,M,BKN,M,M
15,EUL,2014-01-01 00:35,30.20,74.26,4.6,M,0.00,5.00,M,SCT,OVC,M
16,65S,2014-01-01 00:35,32.00,92.97,6.9,M,0.00,10.00,M,SCT,M,M
17,MAN,2014-01-01 00:35,32.00,100.00,3.5,M,0.00,4.00,M,OVC,M,M
18,SUN,2014-01-01 00:47,39.20,60.29,8.1,M,0.00,10.00,M,FEW,SCT,M
19,MYL,2014-01-01 00:51,28.94,88.82,0.0,1024.60,0.00,7.00,M,SCT,BKN,OVC
20,SNT,2014-01-01 00:51,30.92,92.26,3.5,1020.70,0.00,M,M,M,M,M
21,P69,2014-01-01 00:52,33.98,96.46,0.0,1027.00,0.00,M,M,M,M,M
22,RXE,2014-01-01 00:53,26.06,77.32,3.5,1022.60,0.00,10.00,M,OVC,M,M
23,MLP,2014-01-01 00:53,28.04,84.87,8.1,1021.00,0.01,0.75,M,VV ,M,M
24,MUO,2014-01-01 00:53,32.00,100.00,9.2,M,0.00,10.00,M,SCT,OVC,M
25,PIH,2014-01-01 00:53,42.08,52.73,17.3,1020.60,0.00,10.00,23.0,FEW,OVC,M
26,JER,2014-01-01 00:53,33.08,75.11,8.1,1024.10,0.00,10.00,M,SCT,OVC,M
27,BYI,2014-01-01 00:53,41.00,54.97,11.5,1022.20,0.00,10.00,M,BKN,OVC,M
28,IDA,2014-01-01 00:53,33.98,69.28,10.4,1021.70,0.00,10.00,M,BKN,OVC,M
29,BOI,2014-01-01 00:53,33.08,81.50,0.0,1026.20,0.00,5.00,M,BKN,OVC,M
30,TWF,2014-01-01 00:53,42.98,52.87,9.2,1021.20,0.00,10.00,M,OVC,M,M
31,65S,2014-01-01 00:55,32.00,92.97,8.1,M,0.00,10.00,M,FEW,M,M
32,COE,2014-01-01 00:55,33.80,86.49,4.6,M,0.00,7.00,M,OVC,M,M
33,EUL,2014-01-01 00:55,30.20,74.26,5.8,M,0.00,7.00,M,FEW,BKN,OVC
34,SMN,2014-01-01 00:55,30.20,92.92,0.0,M,0.00,10.00,M,BKN,BKN,BKN
35,MAN,2014-01-01 00:55,32.00,100.00,5.8,M,0.00,5.00,M,OVC,M,M
36,GIC,2014-01-01 00:55,37.58,80.08,10.4,M,0.00,10.00,18.4,SCT,SCT,OVC
