,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,VPZ,2014-01-01 00:02,12.02,91.57,3.5,M,0.0,2.50,M,OVC,M,M
1,VPZ,2014-01-01 00:12,12.02,87.25,4.6,M,0.0,3.00,M,OVC,M,M
2,DCY,2014-01-01 00:15,31.64,75.53,4.6,M,0.0,10.00,M,CLR,M,M
3,MCX,2014-01-01 00:15,18.32,82.91,3.5,M,0.0,10.00,M,OVC,M,M
4,RZL,2014-01-01 00:15,17.60,85.51,5.8,M,0.0,10.00,M,BKN,M,M
5,OKK,2014-01-01 00:15,21.20,79.31,3.5,M,0.0,10.00,M,CLR,M,M
6,MZZ,2014-01-01 00:15,21.20,81.83,3.5,M,0.0,10.00,M,SCT,OVC,M
7,ASW,2014-01-01 00:15,15.80,85.40,3.5,M,0.0,10.00,M,OVC,M,M
8,GWB,2014-01-01 00:15,17.60,79.00,5.8,M,0.0,4.00,M,OVC,M,M
9,MGC,2014-01-01 00:15,14.00,85.28,3.5,M,0.0,1.75,M,OVC,M,M
10,HNB,2014-01-01 00:15,30.20,68.83,4.6,M,0.0,10.00,M,CLR,M,M
11,ANQ,2014-01-01 00:15,M,M,4.6,M,0.0,6.00,M,BKN,OVC,M
12,OXI,2014-01-01 00:15,M,M,M,M,0.0,M,M,M,M,M
13,GGP,2014-01-01 00:15,19.40,79.16,0.0,M,0.0,10.00,M,BKN,M,M
14,TYQ,2014-01-01 00:15,28.40,61.09,0.0,M,0.0,10.00,M,CLR,M,M
15,RCR,2014-01-01 00:15,19.40,79.16,0.0,M,0.0,10.00,M,CLR,M,M
16,PPO,2014-01-01 00:15,12.56,86.58,4.6,M,0.0,1.50,M,BKN,OVC,M
17,VPZ,2014-01-01 00:24,12.02,91.57,4.6,M,0.0,2.50,M,OVC,M,M
18,GSH,2014-01-01 00:32,15.80,78.84,0.0,M,0.0,1.25,M,OVC,M,M
19,VPZ,2014-01-01 00:35,12.02,91.57,4.6,M,0.0,2.00,M,OVC,M,M
20,RZL,2014-01-01 00:35,17.60,85.51,6.9,M,0.0,10.00,M,OVC,M,M
21,GGP,2014-01-01 00:35,19.40,79.16,3.5,M,0.0,10.00,M,BKN,M,M
22,OKK,2014-01-01 00:35,21.20,79.31,5.8,M,0.0,10.00,M,CLR,M,M
23,ASW,2014-01-01 00:35,17.60,79.00,3.5,M,0.0,7.00,M,SCT,BKN,OVC
24,MCX,2014-01-01 00:35,18.14,83.55,4.6,M,0.0,10.00,M,OVC,M,M
25,MQJ,2014-01-01 00:35,28.40,74.08,0.0,M,0.0,10.00,M,CLR,M,M
26,MZZ,2014-01-01 00:35,21.20,81.19,0.0,M,0.0,10.00,M,OVC,M,M
27,RCR,2014-01-01 00:35,19.40,79.16,3.5,M,0.0,10.00,M,CLR,M,M
28,OXI,2014-01-01 00:35,M,M,M,M,0.0,M,M,M,M,M
29,GWB,2014-01-01 00:35,17.60,79.00,4.6,M,0.0,7.00,M,OVC,M,M
30,ANQ,2014-01-01 00:35,M,M,0.0,M,0.0,6.00,M,BKN,OVC,M
31,TYQ,2014-01-01 00:35,28.22,63.49,3.5,M,0.0,10.00,M,SCT,M,M
32,MGC,2014-01-01 00:35,14.00,85.28,3.5,M,0.0,1.25,M,OVC,M,M
33,DCY,2014-01-01 00:35,31.10,77.20,5.8,M,0.0,10.00,M,CLR,M,M
34,PPO,2014-01-01 00:35,12.56,86.58,4.6,M,0.0,1.75,M,OVC,M,M
35,HNB,2014-01-01 00:35,32.00,63.99,5.8,M,0.0,10.00,M,CLR,M,M
36,GSH,2014-01-01 00:39,15.80,85.40,0.0,M,0.0,1.25,M,OVC,M,M
37,BAK,2014-01-01 00:50,28.40,68.61,0.0,M,0.0,10.00,M,CLR,M,M
38,BMG,2014-01-01 00:53,30.92,53.44,6.9,1025.90,0.0,10.00,M,CLR,M,M
39,EYE,2014-01-01 00:53,28.94,57.92,3.5,1025.20,0.0,10.00,M,OVC,M,M
40,VPZ,2014-01-01 00:53,12.02,91.57,4.6,1027.50,0.0,2.00,M,OVC,M,M
41,GEZ,2014-01-01 00:53,32.00,63.51,4.6,1025.80,0.0,10.00,M,FEW,M,M
42,GSH,2014-01-01 00:53,15.98,84.06,3.5,1027.10,0.01,1.25,M,OVC,M,M
43,MIE,2014-01-01 00:53,24.08,80.80,4.6,1025.40,0.0,10.00,M,FEW,M,M
44,HUF,2014-01-01 00:53,30.92,63.36,5.8,1025.30,0.0,10.00,M,CLR,M,M
45,SBN,2014-01-01 00:54,14.00,79.96,5.8,1027.20,0.03,0.75,M,VV ,M,M
46,MQJ,2014-01-01 00:54,28.40,74.08,3.5,M,0.0,10.00,M,CLR,M,M
47,LAF,2014-01-01 00:54,21.92,77.54,8.1,1025.50,0.0,10.00,M,OVC,M,M
48,FWA,2014-01-01 00:54,17.96,80.29,0.0,1027.40,0.0,10.00,M,FEW,BKN,OVC
49,IND,2014-01-01 00:54,28.94,57.92,5.8,1025.10,0.0,10.00,M,BKN,OVC,M
50,EVV,2014-01-01 00:54,35.06,58.37,6.9,1026.80,0.0,10.00,M,CLR,M,M
51,GWB,2014-01-01 00:55,17.60,79.00,3.5,M,0.0,5.00,M,SCT,OVC,M
52,PPO,2014-01-01 00:55,12.56,87.28,3.5,M,0.0,1.50,M,OVC,M,M
53,ANQ,2014-01-01 00:55,M,M,5.8,M,0.0,5.00,M,SCT,OVC,M
54,MZZ,2014-01-01 00:55,21.56,80.59,5.8,M,0.0,10.00,M,BKN,M,M
55,OXI,2014-01-01 00:55,M,M,M,M,0.0,M,M,M,M,M
56,HNB,2014-01-01 00:55,30.20,63.75,4.6,M,0.0,10.00,M,CLR,M,M
57,MCX,2014-01-01 00:55,18.14,83.55,6.9,M,0.0,10.00,M,OVC,M,M
58,RZL,2014-01-01 00:55,17.60,85.51,6.9,M,0.0,10.00,M,OVC,M,M
59,MGC,2014-01-01 00:55,14.00,85.28,3.5,M,0.0,1.25,M,OVC,M,M
60,GGP,2014-01-01 00:55,19.40,79.16,4.6,M,0.0,10.00,M,SCT,M,M
61,OKK,2014-01-01 00:55,21.20,79.31,5.8,M,0.0,10.00,M,CLR,M,M
62,RCR,2014-01-01 00:55,19.40,79.16,0.0,M,0.0,10.00,M,CLR,M,M
63,ASW,2014-01-01 00:55,17.60,79.00,0.0,M,0.0,4.00,M,BKN,OVC,M
64,DCY,2014-01-01 00:55,31.64,74.41,6.9,M,0.0,10.00,M,CLR,M,M
65,TYQ,2014-01-01 00:55,28.40,65.01,3.5,M,0.0,10.00,M,BKN,M,M
66,GUS,2014-01-01 00:58,18.50,95.46,6.9,1026.60,0.0,10.00,M,BKN,OVC,M
67,VPZ,2014-01-01 01:07,12.02,91.57,3.5,M,0.0,4.00,M,SCT,OVC,M
68,MQJ,2014-01-01 01:14,28.40,74.08,3.5,M,0.0,10.00,M,CLR,M,M
69,HNB,2014-01-01 01:15,30.20,63.75,5.8,M,0.0,10.00,M,CLR,M,M
70,GWB,2014-01-01 01:15,17.60,79.00,4.6,M,0.0,2.50,M,BKN,OVC,M
71,MCX,2014-01-01 01:15,17.60,84.84,5.8,M,0.0,10.00,M,BKN,M,M
72,TYQ,2014-01-01 01:15,28.40,64.01,0.0,M,0.0,10.00,M,BKN,M,M
73,GGP,2014-01-01 01:15,19.40,79.16,4.6,M,0.0,10.00,M,SCT,BKN,M
74,ASW,2014-01-01 01:15,17.60,79.00,3.5,M,0.0,4.00,M,BKN,OVC,M
75,ANQ,2014-01-01 01:15,M,M,5.8,M,0.0,2.50,M,OVC,M,M
76,OKK,2014-01-01 01:15,19.40,85.63,6.9,M,0.0,10.00,M,CLR,M,M
77,PPO,2014-01-01 01:15,12.74,86.59,3.5,M,0.0,2.00,M,BKN,OVC,M
78,OXI,2014-01-01 01:15,M,M,M,M,0.0,M,M,M,M,M
79,DCY,2014-01-01 01:15,32.00,72.79,6.9,M,0.0,10.00,M,CLR,M,M
80,MZZ,2014-01-01 01:15,21.56,80.59,4.6,M,0.0,10.00,M,BKN,OVC,M
81,MGC,2014-01-01 01:15,14.00,85.28,3.5,M,0.0,2.00,M,OVC,M,M
82,RZL,2014-01-01 01:15,17.60,85.51,5.8,M,0.0,10.00,M,OVC,M,M
83,RCR,2014-01-01 01:15,19.40,79.16,0.0,M,0.0,10.00,M,CLR,M,M
84,HNB,2014-01-01 01:35,30.20,63.75,5.8,M,0.0,10.00,M,CLR,M,M
85,RZL,2014-01-01 01:35,17.60,85.51,5.8,M,0.0,10.00,M,OVC,M,M
86,RCR,2014-01-01 01:35,19.40,79.16,0.0,M,0.0,10.00,M,CLR,M,M
87,GWB,2014-01-01 01:35,17.60,79.00,3.5,M,0.0,2.50,M,OVC,M,M
88,OKK,2014-01-01 01:35,19.40,85.63,8.1,M,0.0,10.00,M,FEW,M,M
89,MZZ,2014-01-01 01:35,21.20,81.83,4.6,M,0.0,10.00,M,BKN,M,M
90,MCX,2014-01-01 01:35,17.24,83.48,5.8,M,0.0,10.00,M,BKN,M,M
91,MGC,2014-01-01 01:35,14.00,85.28,3.5,M,0.0,2.00,M,OVC,M,M
92,MQJ,2014-01-01 01:35,28.40,74.08,3.5,M,0.0,10.00,M,CLR,M,M
93,PPO,2014-01-01 01:35,12.92,87.30,4.6,M,0.0,4.00,M,SCT,SCT,OVC
94,DCY,2014-01-01 01:35,31.64,74.97,6.9,M,0.0,10.00,M,CLR,M,M
95,GGP,2014-01-01 01:35,17.60,85.51,4.6,M,0.0,10.00,M,SCT,M,M
96,ANQ,2014-01-01 01:35,M,M,4.6,M,0.0,3.00,M,BKN,OVC,M
97,OXI,2014-01-01 01:35,M,M,M,M,0.0,M,M,M,M,M
98,TYQ,2014-01-01 01:35,28.58,62.56,3.5,M,0.0,10.00,M,SCT,M,M
99,ASW,2014-01-01 01:35,17.60,79.00,0.0,M,0.0,4.00,M,OVC,M,M
100,BAK,2014-01-01 01:50,26.60,73.89,5.8,M,0.0,10.00,M,CLR,M,M
101,HUF,2014-01-01 01:53,28.94,68.68,6.9,1024.90,0.0,10.00,M,CLR,M,M
102,EYE,2014-01-01 01:53,28.94,57.92,0.0,1024.90,0.0,10.00,M,CLR,M,M
103,BMG,2014-01-01 01:53,30.02,60.38,8.1,1025.20,0.0,10.00,M,CLR,M,M
104,GEZ,2014-01-01 01:53,33.08,58.08,8.1,1025.10,0.0,10.00,M,CLR,M,M
105,GSH,2014-01-01 01:53,15.98,84.06,4.6,1027.30,0.01,1.00,M,VV ,M,M
106,MIE,2014-01-01 01:53,24.98,74.29,5.8,1025.10,0.0,10.00,M,BKN,M,M
107,VPZ,2014-01-01 01:53,12.92,88.00,0.0,1028.20,0.0,10.00,M,OVC,M,M
108,SBN,2014-01-01 01:54,14.00,83.92,5.8,1027.70,0.02,0.75,M,VV ,M,M
109,LAF,2014-01-01 01:54,21.02,80.55,9.2,1026.10,0.0,10.00,M,BKN,M,M
110,IND,2014-01-01 01:54,28.94,57.92,5.8,1024.90,0.0,10.00,M,FEW,OVC,M
111,MQJ,2014-01-01 01:54,28.40,74.08,4.6,M,0.0,10.00,M,CLR,M,M
112,FWA,2014-01-01 01:54,17.96,80.29,3.5,1026.90,0.0,10.00,M,BKN,OVC,M
113,EVV,2014-01-01 01:54,33.98,60.93,9.2,1027.00,0.0,10.00,M,CLR,M,M
114,MGC,2014-01-01 01:55,14.00,85.28,3.5,M,0.0,1.75,M,OVC,M,M
115,DCY,2014-01-01 01:55,31.64,74.97,8.1,M,0.0,10.00,M,CLR,M,M
116,RZL,2014-01-01 01:55,17.60,85.51,4.6,M,0.0,10.00,M,OVC,M,M
117,HNB,2014-01-01 01:55,30.20,63.75,6.9,M,0.0,10.00,M,CLR,M,M
118,ANQ,2014-01-01 01:55,M,M,4.6,M,0.0,3.00,M,OVC,M,M
119,PPO,2014-01-01 01:55,13.10,87.31,4.6,M,0.0,7.00,M,SCT,OVC,M
120,MCX,2014-01-01 01:55,16.70,85.46,5.8,M,0.0,10.00,M,SCT,M,M
121,RCR,2014-01-01 01:55,19.40,79.16,4.6,M,0.0,10.00,M,CLR,M,M
122,TYQ,2014-01-01 01:55,28.40,63.02,0.0,M,0.0,10.00,M,CLR,M,M
123,OKK,2014-01-01 01:55,19.40,85.63,6.9,M,0.0,10.00,M,BKN,M,M
124,MZZ,2014-01-01 01:55,20.84,81.80,5.8,M,0.0,10.00,M,BKN,M,M
125,OXI,2014-01-01 01:55,M,M,M,M,0.0,M,M,M,M,M
126,ASW,2014-01-01 01:55,17.60,79.00,4.6,M,0.0,7.00,M,SCT,BKN,OVC
127,GGP,2014-01-01 01:55,17.60,79.00,3.5,M,0.0,10.00,M,SCT,M,M
128,GWB,2014-01-01 01:55,17.60,85.51,4.6,M,0.0,2.00,M,OVC,M,M
129,GUS,2014-01-01 01:58,17.60,96.94,5.8,1026.60,0.0,10.00,M,BKN,BKN,M
130,MQJ,2014-01-01 02:14,28.40,68.61,5.8,M,0.0,10.00,M,CLR,M,M
131,MCX,2014-01-01 02:15,16.70,86.14,4.6,M,0.0,10.00,M,SCT,M,M
132,MGC,2014-01-01 02:15,14.00,85.28,4.6,M,0.0,2.00,M,OVC,M,M
133,PPO,2014-01-01 02:15,13.10,86.61,3.5,M,0.0,4.00,M,BKN,BKN,OVC
134,RCR,2014-01-01 02:15,19.40,79.16,3.5,M,0.0,10.00,M,CLR,M,M
135,GWB,2014-01-01 02:15,17.60,85.51,5.8,M,0.0,2.50,M,BKN,BKN,OVC
136,HNB,2014-01-01 02:15,30.20,68.83,10.4,M,0.0,10.00,M,CLR,M,M
137,ASW,2014-01-01 02:15,17.60,79.00,3.5,M,0.0,10.00,M,OVC,M,M
138,TYQ,2014-01-01 02:15,28.22,63.98,0.0,M,0.0,10.00,M,CLR,M,M
139,DCY,2014-01-01 02:15,31.46,76.09,10.4,M,0.0,10.00,M,CLR,M,M
140,ANQ,2014-01-01 02:15,M,M,0.0,M,0.0,3.00,M,OVC,M,M
141,RZL,2014-01-01 02:15,17.60,85.51,5.8,M,0.0,10.00,M,OVC,M,M
142,OKK,2014-01-01 02:15,19.40,85.63,6.9,M,0.0,10.00,M,OVC,M,M
143,MZZ,2014-01-01 02:15,20.66,81.79,6.9,M,0.0,10.00,M,OVC,M,M
144,OXI,2014-01-01 02:15,M,M,M,M,0.0,M,M,M,M,M
145,GGP,2014-01-01 02:15,17.60,79.00,5.8,M,0.0,10.00,M,SCT,M,M
146,GSH,2014-01-01 02:23,15.80,85.40,6.9,M,0.01,2.00,M,OVC,M,M
147,PPO,2014-01-01 02:35,13.10,87.31,0.0,M,0.0,2.00,M,OVC,M,M
148,GGP,2014-01-01 02:35,17.60,79.00,4.6,M,0.0,10.00,M,BKN,M,M
149,MQJ,2014-01-01 02:35,28.40,68.61,5.8,M,0.0,10.00,M,CLR,M,M
150,RZL,2014-01-01 02:35,17.60,85.51,6.9,M,0.0,10.00,M,OVC,M,M
151,MGC,2014-01-01 02:35,14.00,85.28,4.6,M,0.0,2.50,M,OVC,M,M
152,OXI,2014-01-01 02:35,M,M,M,M,0.0,M,M,M,M,M
153,ASW,2014-01-01 02:35,17.60,79.00,3.5,M,0.0,10.00,M,OVC,M,M
154,DCY,2014-01-01 02:35,31.64,74.97,11.5,M,0.0,10.00,M,CLR,M,M
155,HNB,2014-01-01 02:35,30.20,68.83,9.2,M,0.0,10.00,M,CLR,M,M
156,TYQ,2014-01-01 02:35,26.96,68.44,0.0,M,0.0,10.00,M,CLR,M,M
157,OKK,2014-01-01 02:35,19.40,73.13,6.9,M,0.0,10.00,M,OVC,M,M
158,GWB,2014-01-01 02:35,17.60,85.51,3.5,M,0.0,2.50,M,SCT,OVC,M
159,RCR,2014-01-01 02:35,19.40,79.16,3.5,M,0.0,10.00,M,SCT,M,M
160,MZZ,2014-01-01 02:35,20.12,82.39,8.1,M,0.0,10.00,M,OVC,M,M
161,MCX,2014-01-01 02:35,16.34,86.80,4.6,M,0.0,10.00,M,OVC,M,M
162,ANQ,2014-01-01 02:35,M,M,3.5,M,0.0,2.50,M,OVC,M,M
