,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,1A6,2014-01-01 00:15,29.84,80.65,0.0,M,0.0,10.00,M,CLR,M,M
1,M25,2014-01-01 00:15,35.60,69.46,5.8,M,0.0,10.00,M,CLR,M,M
2,SME,2014-01-01 00:15,30.20,74.26,0.0,M,0.0,10.00,M,CLR,M,M
3,SJS,2014-01-01 00:15,33.08,57.19,3.5,M,0.0,10.00,M,CLR,M,M
4,GLW,2014-01-01 00:15,29.66,73.65,0.0,M,0.0,10.00,M,CLR,M,M
5,EHR,2014-01-01 00:15,32.00,63.99,4.6,M,0.0,10.00,M,CLR,M,M
6,DVK,2014-01-01 00:15,30.20,68.83,3.5,M,0.0,10.00,M,CLR,M,M
7,2I0,2014-01-01 00:15,36.50,66.54,8.1,M,0.0,10.00,M,CLR,M,M
8,I39,2014-01-01 00:15,32.00,59.27,4.6,M,0.0,10.00,M,CLR,M,M
9,5M9,2014-01-01 00:15,33.08,65.61,4.6,M,0.0,10.00,M,CLR,M,M
10,IOB,2014-01-01 00:15,30.20,68.83,4.6,M,0.0,10.00,M,CLR,M,M
11,I35,2014-01-01 00:15,32.00,69.04,3.5,M,0.0,10.00,M,CLR,M,M
12,CEY,2014-01-01 00:15,35.60,59.79,4.6,M,0.0,10.00,M,CLR,M,M
13,SME,2014-01-01 00:35,30.20,74.26,0.0,M,0.0,10.00,M,CLR,M,M
14,I39,2014-01-01 00:35,32.00,59.27,3.5,M,0.0,10.00,M,CLR,M,M
15,CEY,2014-01-01 00:35,35.60,59.79,5.8,M,0.0,10.00,M,CLR,M,M
16,1A6,2014-01-01 00:35,28.76,84.28,0.0,M,0.0,10.00,M,CLR,M,M
17,DVK,2014-01-01 00:35,30.20,68.83,3.5,M,0.0,10.00,M,CLR,M,M
18,I35,2014-01-01 00:35,32.00,69.04,0.0,M,0.0,10.00,M,CLR,M,M
19,SJS,2014-01-01 00:35,33.26,56.35,4.6,M,0.0,10.00,M,CLR,M,M
20,IOB,2014-01-01 00:35,30.20,68.83,3.5,M,0.0,10.00,M,CLR,M,M
21,5M9,2014-01-01 00:35,33.98,62.34,4.6,M,0.0,10.00,M,CLR,M,M
22,2I0,2014-01-01 00:35,36.50,67.03,6.9,M,0.0,10.00,M,CLR,M,M
23,EHR,2014-01-01 00:35,30.20,68.83,4.6,M,0.0,10.00,M,CLR,M,M
24,GLW,2014-01-01 00:35,29.66,74.77,0.0,M,0.0,10.00,M,CLR,M,M
25,M25,2014-01-01 00:35,35.60,69.46,4.6,M,0.0,10.00,M,CLR,M,M
26,CVG,2014-01-01 00:52,26.06,71.04,6.9,1026.60,0.0,10.00,M,FEW,M,M
27,LOU,2014-01-01 00:53,33.98,53.91,0.0,1027.50,0.0,10.00,M,CLR,M,M
28,BWG,2014-01-01 00:53,33.08,63.17,3.5,1028.30,0.0,10.00,M,CLR,M,M
29,FFT,2014-01-01 00:53,28.04,71.26,3.5,1027.40,0.0,10.00,M,CLR,M,M
30,LOZ,2014-01-01 00:53,30.92,66.34,0.0,1028.20,0.0,10.00,M,CLR,M,M
31,PAH,2014-01-01 00:53,35.06,63.91,0.0,1027.20,0.0,10.00,M,CLR,M,M
32,JKL,2014-01-01 00:53,30.92,58.21,4.6,1028.10,0.0,10.00,M,CLR,M,M
33,LEX,2014-01-01 00:54,30.92,63.36,6.9,1027.80,0.0,10.00,M,CLR,M,M
34,CEY,2014-01-01 00:55,33.80,64.23,4.6,M,0.0,10.00,M,CLR,M,M
35,2I0,2014-01-01 00:55,35.78,68.46,8.1,M,0.0,10.00,M,CLR,M,M
36,DVK,2014-01-01 00:55,30.20,68.83,0.0,M,0.0,10.00,M,CLR,M,M
37,5M9,2014-01-01 00:55,33.80,62.79,4.6,M,0.0,10.00,M,CLR,M,M
38,SJS,2014-01-01 00:55,32.90,58.50,5.8,M,0.0,10.00,M,CLR,M,M
