,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,GHG,2014-01-01 00:15,19.40,79.16,3.5,M,0.0,10.00,M,CLR,M,M
1,FMH,2014-01-01 00:15,21.20,62.53,0.0,M,0.0,10.00,M,CLR,M,M
2,PVC,2014-01-01 00:15,26.60,46.02,12.7,M,0.0,10.00,17.3,CLR,M,M
3,ORE,2014-01-01 00:17,15.98,87.47,3.5,M,0.0,5.00,M,FEW,BKN,OVC
4,GHG,2014-01-01 00:35,19.40,79.16,3.5,M,0.0,10.00,M,CLR,M,M
5,PVC,2014-01-01 00:35,26.60,49.88,9.2,M,0.0,10.00,16.1,CLR,M,M
6,FMH,2014-01-01 00:35,21.20,62.53,0.0,M,0.0,10.00,M,CLR,M,M
7,FIT,2014-01-01 00:52,21.02,70.46,0.0,1019.40,0.0,10.00,M,FEW,M,M
8,CQX,2014-01-01 00:52,19.04,70.22,0.0,1020.60,0.0,10.00,M,CLR,M,M
9,AQW,2014-01-01 00:52,19.94,56.56,16.1,1020.20,0.0,10.00,24.2,CLR,M,M
10,PYM,2014-01-01 00:52,19.04,64.28,3.5,1020.10,0.0,10.00,M,CLR,M,M
11,TAN,2014-01-01 00:52,15.98,80.13,0.0,1020.00,0.0,10.00,M,CLR,M,M
12,ORE,2014-01-01 00:52,17.96,80.29,5.8,1019.40,0.0,10.00,M,CLR,M,M
13,OWD,2014-01-01 00:53,21.02,67.71,4.6,1019.70,0.0,10.00,M,SCT,M,M
14,ACK,2014-01-01 00:53,26.96,62.83,8.1,1020.80,0.0,10.00,M,CLR,M,M
15,BAF,2014-01-01 00:53,17.96,84.20,5.8,1021.00,0.0,10.00,M,FEW,M,M
16,BVY,2014-01-01 00:53,15.98,70.43,0.0,1018.70,0.0,10.00,M,CLR,M,M
17,EWB,2014-01-01 00:53,21.02,67.71,6.9,1020.20,0.0,10.00,M,CLR,M,M
18,MVY,2014-01-01 00:53,28.04,65.47,4.6,1020.70,0.0,10.00,M,CLR,M,M
19,BOS,2014-01-01 00:54,24.98,57.33,10.4,1019.50,0.0,10.00,M,FEW,M,M
20,MQE,2014-01-01 00:54,21.02,64.54,11.5,1020.00,0.0,M,M,M,M,M
21,LWM,2014-01-01 00:54,19.94,59.40,4.6,1019.70,0.0,10.00,M,SCT,M,M
22,ORH,2014-01-01 00:54,19.04,76.66,13.8,1019.30,0.0,10.00,M,CLR,M,M
23,PSF,2014-01-01 00:54,19.04,76.66,13.8,1020.30,0.0,10.00,M,BKN,OVC,M
24,PVC,2014-01-01 00:55,26.60,54.03,13.8,M,0.0,10.00,20.7,CLR,M,M
25,FMH,2014-01-01 00:55,19.40,67.51,0.0,M,0.0,10.00,M,CLR,M,M
26,GHG,2014-01-01 00:55,19.40,79.16,3.5,M,0.0,10.00,M,CLR,M,M
27,BED,2014-01-01 00:56,19.04,70.22,5.8,1020.90,0.0,10.00,M,FEW,SCT,M
28,HYA,2014-01-01 00:56,17.96,77.17,0.0,1020.10,0.0,10.00,M,CLR,M,M
29,CEF,2014-01-01 00:58,19.94,87.01,8.1,1020.70,0.0,10.00,M,CLR,M,M
30,PVC,2014-01-01 01:15,26.60,54.03,15.0,M,0.01,10.00,M,CLR,M,M
31,GHG,2014-01-01 01:15,19.40,79.16,3.5,M,0.0,10.00,M,CLR,M,M
32,FMH,2014-01-01 01:15,19.40,67.51,4.6,M,0.0,10.00,M,CLR,M,M
33,PVC,2014-01-01 01:35,26.60,63.27,15.0,M,0.01,10.00,19.6,CLR,M,M
34,FMH,2014-01-01 01:35,19.40,73.13,3.5,M,0.0,10.00,M,CLR,M,M
35,GHG,2014-01-01 01:35,19.40,79.16,3.5,M,0.0,10.00,M,CLR,M,M
36,CEF,2014-01-01 01:36,23.00,79.47,5.8,M,0.0,10.00,M,FEW,SCT,BKN
37,TAN,2014-01-01 01:52,19.04,73.67,5.8,1020.70,0.0,10.00,M,CLR,M,M
38,AQW,2014-01-01 01:52,19.04,58.78,16.1,1021.00,0.0,10.00,24.2,CLR,M,M
39,CQX,2014-01-01 01:52,21.02,64.54,3.5,1021.30,0.0,10.00,M,CLR,M,M
40,ORE,2014-01-01 01:52,21.02,54.03,6.9,1020.30,0.0,10.00,M,CLR,M,M
41,PYM,2014-01-01 01:52,19.04,67.46,4.6,1021.00,0.0,10.00,M,CLR,M,M
42,FIT,2014-01-01 01:52,23.00,59.37,4.6,1020.10,0.0,10.00,M,CLR,M,M
43,ACK,2014-01-01 01:53,28.04,65.47,8.1,1020.80,0.0,10.00,M,CLR,M,M
44,OWD,2014-01-01 01:53,23.00,64.81,8.1,1020.70,0.0,10.00,M,CLR,M,M
45,BVY,2014-01-01 01:53,17.06,69.99,6.9,1019.60,0.0,10.00,M,FEW,M,M
46,EWB,2014-01-01 01:53,19.94,73.77,3.5,1020.70,0.0,10.00,M,CLR,M,M
47,CEF,2014-01-01 01:53,23.00,73.51,11.5,M,0.0,10.00,M,BKN,BKN,M
48,BAF,2014-01-01 01:53,21.92,74.56,5.8,1021.60,0.0,10.00,M,BKN,M,M
49,MVY,2014-01-01 01:53,30.02,58.08,12.7,1021.00,0.0,10.00,19.6,CLR,M,M
50,ORH,2014-01-01 01:54,19.04,76.66,11.5,1019.80,0.0,10.00,M,CLR,M,M
51,MQE,2014-01-01 01:54,21.02,64.54,15.0,1020.90,0.0,M,25.3,M,M,M
52,PSF,2014-01-01 01:54,17.96,61.57,12.7,1020.90,0.0,10.00,19.6,BKN,M,M
53,LWM,2014-01-01 01:54,19.94,64.92,8.1,1020.30,0.0,10.00,M,CLR,M,M
54,BOS,2014-01-01 01:54,24.98,59.65,13.8,1020.40,0.0,9.00,21.9,FEW,SCT,M
55,GHG,2014-01-01 01:55,21.20,73.32,3.5,M,0.0,10.00,M,FEW,FEW,M
