,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,2G4,2014-01-01 00:00,17.60,85.51,8.1,M,0.0,10.00,20.7,BKN,M,M
1,FME,2014-01-01 00:00,32.00,54.87,6.9,M,0.0,10.00,M,CLR,M,M
2,DMW,2014-01-01 00:00,28.40,50.17,9.2,M,0.0,10.00,17.3,CLR,M,M
3,CGS,2014-01-01 00:00,36.50,42.74,5.8,M,0.0,10.00,M,CLR,M,M
4,2W6,2014-01-01 00:02,37.40,44.25,3.5,M,0.0,10.00,M,CLR,M,M
5,CGE,2014-01-01 00:02,39.20,44.55,9.2,M,0.0,10.00,M,CLR,M,M
6,W29,2014-01-01 00:03,35.60,47.51,12.7,M,0.0,10.00,19.6,CLR,M,M
7,GAI,2014-01-01 00:15,30.20,50.47,8.1,M,0.0,10.00,M,CLR,M,M
8,CGS,2014-01-01 00:20,36.14,41.69,6.9,M,0.0,10.00,M,CLR,M,M
9,DMW,2014-01-01 00:20,28.40,50.17,5.8,M,0.0,10.00,M,CLR,M,M
10,2G4,2014-01-01 00:20,17.60,85.51,11.5,M,0.0,10.00,M,BKN,M,M
11,FME,2014-01-01 00:21,32.00,54.87,3.5,M,0.0,10.00,M,CLR,M,M
12,CGE,2014-01-01 00:22,37.40,47.80,9.2,M,0.0,10.00,M,CLR,M,M
13,2W6,2014-01-01 00:22,35.60,47.51,0.0,M,0.0,10.00,M,CLR,M,M
14,W29,2014-01-01 00:23,35.60,47.51,11.5,M,0.0,10.00,19.6,CLR,M,M
15,GAI,2014-01-01 00:35,28.40,54.31,10.4,M,0.0,10.00,M,CLR,M,M
16,DMW,2014-01-01 00:40,28.40,54.31,4.6,M,0.0,10.00,M,SCT,M,M
17,CGS,2014-01-01 00:40,35.60,43.95,5.8,M,0.0,10.00,M,CLR,M,M
18,2G4,2014-01-01 00:40,17.60,85.51,11.5,M,0.0,10.00,18.4,SCT,M,M
19,FME,2014-01-01 00:42,30.20,59.01,5.8,M,0.0,10.00,M,CLR,M,M
20,2W6,2014-01-01 00:42,35.60,47.51,0.0,M,0.0,10.00,M,CLR,M,M
21,CGE,2014-01-01 00:42,37.40,47.80,12.7,M,0.0,10.00,17.3,CLR,M,M
22,W29,2014-01-01 00:43,35.60,47.51,10.4,M,0.0,10.00,17.3,CLR,M,M
23,FDK,2014-01-01 00:45,30.20,59.01,0.0,M,0.0,10.00,M,CLR,M,M
24,NHK,2014-01-01 00:52,37.04,45.58,8.1,1025.60,0.0,10.00,M,CLR,M,M
25,NUI,2014-01-01 00:53,35.06,61.08,0.0,1025.40,0.0,10.00,M,CLR,M,M
26,OXB,2014-01-01 00:53,37.04,47.75,6.9,1025.20,0.0,10.00,M,CLR,M,M
27,ESN,2014-01-01 00:53,35.60,51.33,11.5,M,0.0,10.00,M,CLR,M,M
28,HGR,2014-01-01 00:53,28.04,52.57,10.4,1026.70,0.0,10.00,M,CLR,M,M
29,DMH,2014-01-01 00:54,33.98,43.33,M,1025.60,0.0,M,M,M,M,M
30,BWI,2014-01-01 00:54,32.00,46.92,9.2,1025.70,0.0,10.00,M,CLR,M,M
31,NAK,2014-01-01 00:54,35.96,47.57,10.4,1025.90,0.0,10.00,M,CLR,M,M
32,SBY,2014-01-01 00:54,37.04,51.95,0.0,1025.50,0.0,10.00,M,CLR,M,M
33,GAI,2014-01-01 00:55,28.40,54.31,6.9,M,0.0,10.00,M,CLR,M,M
34,MTN,2014-01-01 00:55,33.80,51.04,5.8,M,0.0,10.00,M,CLR,M,M
35,ADW,2014-01-01 00:58,33.80,43.65,11.5,1026.70,0.0,10.00,M,CLR,M,M
36,2G4,2014-01-01 01:00,17.60,85.51,12.7,M,0.0,10.00,20.7,SCT,M,M
