,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,LEW,2014-01-01 00:15,-0.40,37.59,0.0,M,0.0,10.00,M,CLR,M,M
1,RKD,2014-01-01 00:15,6.80,84.80,4.6,M,0.0,10.00,M,CLR,M,M
2,BHB,2014-01-01 00:15,3.20,91.99,3.5,M,0.0,10.00,M,FEW,FEW,M
3,PQI,2014-01-01 00:15,-2.20,64.62,0.0,M,0.0,4.00,M,FEW,BKN,OVC
4,SFM,2014-01-01 00:15,1.40,71.07,0.0,M,0.0,10.00,M,FEW,M,M
5,PQI,2014-01-01 00:35,-2.20,59.08,0.0,M,0.0,4.00,M,SCT,OVC,M
6,WVL,2014-01-01 00:35,-2.20,84.17,M,M,0.0,10.00,M,CLR,M,M
7,LEW,2014-01-01 00:35,-0.40,91.85,0.0,M,0.0,10.00,M,CLR,M,M
8,SFM,2014-01-01 00:35,1.40,71.07,3.5,M,0.0,10.00,M,BKN,M,M
9,BHB,2014-01-01 00:35,3.20,84.56,0.0,M,0.0,10.00,M,CLR,M,M
10,RKD,2014-01-01 00:35,6.80,84.80,0.0,M,0.0,10.00,M,CLR,M,M
11,PWM,2014-01-01 00:51,8.06,82.81,3.5,1019.10,0.0,10.00,M,FEW,M,M
12,MLT,2014-01-01 00:53,-5.08,86.97,0.0,1019.30,0.0,10.00,M,CLR,M,M
13,HUL,2014-01-01 00:53,-2.02,78.52,0.0,1018.30,0.0,5.00,M,BKN,OVC,M
14,AUG,2014-01-01 00:53,1.94,83.04,0.0,1019.20,0.0,6.00,M,CLR,M,M
15,FVE,2014-01-01 00:53,-7.06,82.34,4.6,1017.50,0.0,9.00,M,SCT,OVC,M
16,IWI,2014-01-01 00:53,1.94,87.39,0.0,1019.70,0.0,10.00,M,BKN,M,M
17,BGR,2014-01-01 00:53,-9.04,82.18,0.0,1019.70,0.0,10.00,M,CLR,M,M
18,CAR,2014-01-01 00:54,-2.92,78.43,0.0,1018.60,0.01,4.00,M,OVC,M,M
19,IZG,2014-01-01 00:54,-5.08,74.82,0.0,1019.20,0.0,10.00,M,BKN,M,M
20,BHB,2014-01-01 00:55,3.20,91.99,3.5,M,0.0,10.00,M,CLR,M,M
21,RKD,2014-01-01 00:55,6.80,78.01,0.0,M,0.0,10.00,M,CLR,M,M
22,WVL,2014-01-01 00:55,-2.20,84.17,M,M,0.0,10.00,M,CLR,M,M
23,LEW,2014-01-01 00:55,-0.40,M,0.0,M,0.0,10.00,M,CLR,M,M
24,PQI,2014-01-01 00:55,-2.20,84.17,0.0,M,0.0,5.00,M,OVC,M,M
25,SFM,2014-01-01 00:55,1.40,71.07,3.5,M,0.0,10.00,M,FEW,FEW,M
26,GNR,2014-01-01 00:56,-5.98,74.72,0.0,1016.90,0.0,M,M,M,M,M
27,RKD,2014-01-01 01:15,6.80,84.80,0.0,M,0.0,10.00,M,CLR,M,M
28,SFM,2014-01-01 01:15,1.40,84.43,0.0,M,0.0,10.00,M,FEW,M,M
29,WVL,2014-01-01 01:15,-2.20,91.78,M,M,0.0,10.00,M,CLR,M,M
30,BHB,2014-01-01 01:15,1.40,91.92,3.5,M,0.0,10.00,M,CLR,M,M
31,PQI,2014-01-01 01:15,-2.20,M,0.0,M,0.0,6.00,M,BKN,OVC,M
32,LEW,2014-01-01 01:15,-2.20,27.95,0.0,M,0.0,10.00,M,CLR,M,M
33,SFM,2014-01-01 01:35,-0.40,70.85,0.0,M,0.0,10.00,M,CLR,M,M
34,RKD,2014-01-01 01:35,6.80,84.80,0.0,M,0.0,10.00,M,CLR,M,M
