,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,AIZ,2014-01-01 00:15,48.20,31.57,6.9,M,0.0,10.00,M,CLR,M,M
1,HFJ,2014-01-01 00:15,44.60,39.06,12.7,M,0.0,10.00,M,CLR,M,M
2,FWB,2014-01-01 00:15,46.40,33.79,8.1,M,0.0,10.00,17.3,CLR,M,M
3,RCM,2014-01-01 00:15,41.00,56.22,11.5,M,0.0,10.00,16.1,CLR,M,M
4,GLY,2014-01-01 00:15,42.80,56.48,3.5,M,0.0,10.00,M,CLR,M,M
5,FAM,2014-01-01 00:15,37.40,51.61,13.8,M,0.0,10.00,M,CLR,M,M
6,FYG,2014-01-01 00:15,41.00,41.54,6.9,M,0.0,10.00,M,CLR,M,M
7,HAE,2014-01-01 00:15,35.60,51.33,5.8,M,0.0,10.00,M,CLR,M,M
8,VER,2014-01-01 00:15,38.48,55.43,6.9,M,0.0,10.00,M,CLR,M,M
9,H21,2014-01-01 00:15,46.40,39.36,6.9,M,0.0,10.00,M,CLR,M,M
10,HAE,2014-01-01 00:35,33.80,55.14,3.5,M,0.0,10.00,M,CLR,M,M
11,GLY,2014-01-01 00:35,42.80,56.48,3.5,M,0.0,10.00,M,CLR,M,M
12,H21,2014-01-01 00:35,46.40,39.36,8.1,M,0.0,10.00,M,CLR,M,M
13,RCM,2014-01-01 00:35,41.00,56.22,15.0,M,0.0,10.00,18.4,CLR,M,M
14,FYG,2014-01-01 00:35,41.00,41.54,9.2,M,0.0,10.00,M,CLR,M,M
15,HFJ,2014-01-01 00:35,44.60,39.06,12.7,M,0.0,10.00,M,CLR,M,M
16,FAM,2014-01-01 00:35,37.40,51.61,15.0,M,0.0,10.00,M,CLR,M,M
17,VER,2014-01-01 00:35,36.68,59.94,11.5,M,0.0,10.00,M,CLR,M,M
18,AIZ,2014-01-01 00:35,48.20,31.57,9.2,M,0.0,10.00,M,CLR,M,M
19,FWB,2014-01-01 00:35,46.40,33.79,11.5,M,0.0,10.00,17.3,SCT,M,M
20,GPH,2014-01-01 00:35,44.60,48.96,4.6,M,0.0,10.00,M,CLR,M,M
21,BBG,2014-01-01 00:50,42.80,41.84,11.5,M,0.0,10.00,M,CLR,M,M
22,STL,2014-01-01 00:51,42.08,39.23,12.7,1023.00,0.0,10.00,M,FEW,BKN,M
23,SGF,2014-01-01 00:52,46.04,35.05,15.0,1022.70,0.0,10.00,M,CLR,M,M
24,CDJ,2014-01-01 00:52,39.02,59.37,6.9,1020.80,0.0,M,M,M,M,M
25,VIH,2014-01-01 00:53,44.06,39.57,11.5,1021.80,0.0,10.00,M,CLR,M,M
26,JEF,2014-01-01 00:53,37.94,52.09,5.8,1020.20,0.0,10.00,M,CLR,M,M
27,DMO,2014-01-01 00:53,41.00,54.97,8.1,1020.90,0.0,10.00,M,CLR,M,M
28,MCI,2014-01-01 00:53,39.92,52.79,12.7,1018.70,0.0,10.00,M,CLR,M,M
29,JLN,2014-01-01 00:53,46.04,35.05,17.3,1021.80,0.0,10.00,M,CLR,M,M
30,LXT,2014-01-01 00:53,42.08,44.34,11.5,1019.80,0.0,10.00,M,CLR,M,M
31,STJ,2014-01-01 00:53,37.94,52.09,4.6,1019.00,0.0,10.00,M,CLR,M,M
32,UNO,2014-01-01 00:53,39.02,54.68,8.1,1025.40,0.0,10.00,M,CLR,M,M
33,POF,2014-01-01 00:53,33.98,69.28,4.6,1027.40,0.0,10.00,M,CLR,M,M
34,CGI,2014-01-01 00:53,33.98,75.20,8.1,1027.00,0.0,10.00,M,CLR,M,M
35,COU,2014-01-01 00:54,37.94,52.09,9.2,1020.70,0.0,10.00,M,CLR,M,M
36,SET,2014-01-01 00:54,28.94,78.18,5.8,1022.00,0.0,10.00,M,CLR,M,M
37,MKC,2014-01-01 00:54,44.06,43.02,11.5,1018.90,0.0,10.00,M,CLR,M,M
38,SUS,2014-01-01 00:54,42.98,34.81,9.2,1022.20,0.0,10.00,M,CLR,M,M
39,IRK,2014-01-01 00:55,30.92,72.12,10.4,1021.60,0.0,10.00,M,CLR,M,M
40,AIZ,2014-01-01 00:55,46.40,33.79,10.4,M,0.0,10.00,M,CLR,M,M
41,FWB,2014-01-01 00:55,44.60,36.18,8.1,M,0.0,10.00,M,SCT,M,M
42,GPH,2014-01-01 00:55,42.80,52.45,4.6,M,0.0,10.00,M,CLR,M,M
43,FYG,2014-01-01 00:55,41.00,41.54,9.2,M,0.0,10.00,M,CLR,M,M
44,VER,2014-01-01 00:55,37.58,59.62,8.1,M,0.0,10.00,M,CLR,M,M
45,RCM,2014-01-01 00:55,42.80,48.67,13.8,M,0.0,10.00,21.9,CLR,M,M
46,H21,2014-01-01 00:55,44.60,42.14,8.1,M,0.0,10.00,M,CLR,M,M
47,FAM,2014-01-01 00:55,37.40,51.61,17.3,M,0.0,10.00,M,CLR,M,M
48,GLY,2014-01-01 00:55,41.00,60.54,0.0,M,0.0,10.00,M,CLR,M,M
49,HFJ,2014-01-01 00:55,42.80,41.84,8.1,M,0.0,10.00,M,CLR,M,M
50,HAE,2014-01-01 00:55,32.00,69.04,0.0,M,0.0,10.00,M,CLR,M,M
51,SZL,2014-01-01 00:58,42.62,50.88,16.1,1020.50,0.0,10.00,M,CLR,M,M
52,TBN,2014-01-01 00:58,44.60,38.17,9.2,1023.30,0.0,10.00,M,CLR,M,M
53,H21,2014-01-01 01:15,44.60,42.14,9.2,M,0.0,10.00,M,CLR,M,M
54,GLY,2014-01-01 01:15,39.20,64.93,3.5,M,0.0,10.00,M,CLR,M,M
55,FWB,2014-01-01 01:15,44.60,36.18,9.2,M,0.0,10.00,16.1,CLR,M,M
56,FAM,2014-01-01 01:15,35.60,59.79,17.3,M,0.0,10.00,23.0,CLR,M,M
57,VER,2014-01-01 01:15,40.46,52.88,0.0,M,0.0,10.00,M,CLR,M,M
58,GPH,2014-01-01 01:15,42.80,52.45,8.1,M,0.0,10.00,M,CLR,M,M
59,AIZ,2014-01-01 01:15,44.60,36.18,9.2,M,0.0,10.00,M,CLR,M,M
60,HFJ,2014-01-01 01:15,42.80,45.14,11.5,M,0.0,10.00,M,CLR,M,M
61,RCM,2014-01-01 01:15,41.00,52.17,10.4,M,0.0,10.00,M,CLR,M,M
62,FYG,2014-01-01 01:15,41.00,41.54,8.1,M,0.0,10.00,M,CLR,M,M
