,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,M40,2014-01-01 00:15,35.60,59.79,0.0,M,0.0,9.00,M,CLR,M,M
1,RNV,2014-01-01 00:15,34.70,87.17,0.0,M,0.0,10.00,M,CLR,M,M
2,01M,2014-01-01 00:15,33.80,85.86,0.0,M,0.0,10.00,M,CLR,M,M
3,JVW,2014-01-01 00:15,37.40,86.69,0.0,M,0.0,10.00,M,CLR,M,M
4,UTA,2014-01-01 00:15,35.60,80.51,5.8,M,0.0,10.00,M,CLR,M,M
5,CRX,2014-01-01 00:15,35.60,74.80,4.6,M,0.0,10.00,M,CLR,M,M
6,MYT,2014-01-01 00:15,60.80,87.92,24.2,M,0.0,7.00,M,BKN,BKN,OVC
7,HEZ,2014-01-01 00:15,41.00,75.33,0.0,M,0.0,10.00,M,CLR,M,M
8,1R7,2014-01-01 00:15,41.00,86.89,0.0,M,0.0,10.00,M,CLR,M,M
9,BIX,2014-01-01 00:15,44.60,87.09,8.1,M,0.0,10.00,M,FEW,M,M
10,CKM,2014-01-01 00:15,35.60,86.59,M,M,0.0,10.00,M,CLR,M,M
11,DLP,2014-01-01 00:15,51.80,81.74,12.7,M,0.0,10.00,19.6,SCT,OVC,M
12,STF,2014-01-01 00:15,33.80,93.03,0.0,M,0.0,10.00,M,CLR,M,M
13,PIB,2014-01-01 00:15,M,M,5.8,M,0.0,10.00,M,CLR,M,M
14,IKT,2014-01-01 00:15,64.40,77.45,20.7,M,0.0,10.00,M,BKN,OVC,M
15,UOX,2014-01-01 00:15,32.00,80.22,0.0,M,0.0,10.00,M,CLR,M,M
16,MIS,2014-01-01 00:15,62.60,59.26,18.4,M,0.0,10.00,M,FEW,SCT,OVC
17,JVW,2014-01-01 00:35,37.40,86.69,0.0,M,0.0,10.00,M,CLR,M,M
18,DLP,2014-01-01 00:35,51.80,81.74,11.5,M,0.0,10.00,19.6,FEW,BKN,OVC
