,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,MLS,2014-01-01 00:12,10.94,83.71,13.8,M,0.0,10.00,M,OVC,M,M
1,GDV,2014-01-01 00:15,3.20,84.56,10.4,M,0.0,10.00,M,OVC,M,M
2,SDY,2014-01-01 00:15,-0.40,77.32,6.9,M,0.0,10.00,M,CLR,M,M
3,LVM,2014-01-01 00:17,35.06,88.47,17.3,M,0.0,10.00,M,BKN,BKN,OVC
4,8S0,2014-01-01 00:20,M,M,0.0,M,0.0,M,M,M,M,M
5,BIL,2014-01-01 00:28,33.98,92.36,10.4,M,0.02,8.00,M,FEW,SCT,OVC
6,GDV,2014-01-01 00:35,3.20,91.99,8.1,M,0.0,10.00,M,OVC,M,M
7,SDY,2014-01-01 00:35,1.40,84.43,5.8,M,0.0,10.00,M,BKN,M,M
8,OLF,2014-01-01 00:42,1.04,74.83,11.5,M,0.0,10.00,M,OVC,M,M
9,JDN,2014-01-01 00:48,10.04,69.14,0.0,1022.20,0.0,M,M,M,M,M
10,8S0,2014-01-01 00:50,M,M,0.0,M,0.0,M,M,M,M,M
11,BHK,2014-01-01 00:51,8.96,79.52,16.1,1019.90,0.0,10.00,M,OVC,M,M
12,BTM,2014-01-01 00:53,33.98,63.77,9.2,1017.50,0.0,10.00,M,SCT,OVC,M
13,HLN,2014-01-01 00:53,39.02,64.43,9.2,1017.90,0.0,10.00,M,FEW,OVC,M
14,OLF,2014-01-01 00:53,1.04,74.83,11.5,1025.20,0.0,10.00,M,OVC,M,M
15,BIL,2014-01-01 00:53,33.08,95.75,6.9,1016.50,0.03,5.00,M,FEW,SCT,OVC
16,GGW,2014-01-01 00:53,1.04,82.97,8.1,1024.40,0.0,8.00,M,OVC,M,M
17,GTF,2014-01-01 00:53,23.00,91.98,4.6,1018.90,0.0,10.00,M,BKN,OVC,M
18,MLS,2014-01-01 00:53,10.94,83.71,12.7,1021.00,0.0,10.00,M,OVC,M,M
19,DLN,2014-01-01 00:53,33.98,81.57,5.8,1018.30,0.0,10.00,M,FEW,BKN,OVC
20,MSO,2014-01-01 00:53,37.94,75.58,6.9,1022.10,0.0,10.00,M,FEW,OVC,M
