,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,BIS,2014-01-01 00:09,-7.96,73.83,13.8,M,0.01,2.00,M,OVC,M,M
1,DIK,2014-01-01 00:09,-2.92,74.40,16.1,M,0.0,2.50,M,BKN,OVC,M
2,RUG,2014-01-01 00:15,-13.00,69.27,5.8,M,0.0,10.00,M,CLR,M,M
3,9D7,2014-01-01 00:15,-16.60,75.63,3.5,M,0.0,10.00,M,SCT,OVC,M
4,DVL,2014-01-01 00:15,-16.60,56.75,4.6,M,0.0,10.00,M,BKN,M,M
5,46D,2014-01-01 00:15,-13.00,76.02,4.6,M,0.0,10.00,M,BKN,M,M
6,96D,2014-01-01 00:15,-22.00,75.04,0.0,M,0.0,M,M,FEW,M,M
7,2D5,2014-01-01 00:15,-14.80,75.83,10.4,M,0.0,10.00,M,FEW,OVC,M
8,08D,2014-01-01 00:15,-11.20,76.21,10.4,M,0.0,10.00,M,SCT,BKN,OVC
9,S32,2014-01-01 00:15,-13.00,69.27,4.6,M,0.0,10.00,M,CLR,M,M
10,S25,2014-01-01 00:15,-2.20,70.63,15.0,M,0.0,10.00,18.4,FEW,OVC,M
11,D50,2014-01-01 00:15,-9.40,76.40,10.4,M,0.0,M,M,M,M,M
12,D55,2014-01-01 00:15,-18.40,68.55,0.0,M,0.0,10.00,M,CLR,M,M
13,D57,2014-01-01 00:15,-5.80,70.19,11.5,M,0.0,3.00,M,SCT,OVC,M
14,BAC,2014-01-01 00:15,-14.80,75.83,3.5,M,0.0,10.00,M,FEW,OVC,M
15,BWP,2014-01-01 00:15,-18.40,68.55,6.9,M,0.0,10.00,M,CLR,M,M
16,HZE,2014-01-01 00:15,-5.80,70.19,6.9,M,0.0,3.00,M,FEW,BKN,OVC
17,GWR,2014-01-01 00:15,-14.80,69.03,5.8,M,0.0,10.00,M,BKN,M,M
18,7L2,2014-01-01 00:15,-5.80,76.77,10.4,M,0.0,1.75,M,SCT,OVC,M
19,5H4,2014-01-01 00:15,-13.00,69.27,6.9,M,0.0,10.00,M,FEW,M,M
20,GAF,2014-01-01 00:15,-20.20,68.31,0.0,M,0.0,10.00,M,CLR,M,M
21,06D,2014-01-01 00:15,-14.80,75.83,5.8,M,0.0,10.00,M,BKN,OVC,M
22,2C8,2014-01-01 00:15,-22.00,75.04,0.0,M,0.0,10.00,M,CLR,M,M
23,D60,2014-01-01 00:15,-9.40,83.64,9.2,M,0.0,10.00,M,BKN,OVC,M
24,DIK,2014-01-01 00:16,-2.92,74.40,15.0,M,0.0,4.00,M,BKN,OVC,M
25,DIK,2014-01-01 00:24,-2.92,78.43,16.1,M,0.0,6.00,M,SCT,OVC,M
26,HEI,2014-01-01 00:32,1.94,83.04,15.0,M,0.0,2.00,M,OVC,M,M
27,HZE,2014-01-01 00:35,-5.80,70.19,5.8,M,0.0,8.00,M,FEW,SCT,OVC
28,BAC,2014-01-01 00:35,-14.80,75.83,4.6,M,0.0,10.00,M,FEW,OVC,M
29,D50,2014-01-01 00:35,-9.40,76.40,10.4,M,0.0,M,M,M,M,M
30,S32,2014-01-01 00:35,-13.00,69.27,4.6,M,0.0,10.00,M,CLR,M,M
31,GAF,2014-01-01 00:35,-20.20,75.24,0.0,M,0.0,10.00,M,CLR,M,M
32,2C8,2014-01-01 00:35,-22.00,75.04,0.0,M,0.0,10.00,M,CLR,M,M
33,DVL,2014-01-01 00:35,-16.60,56.75,0.0,M,0.0,10.00,M,OVC,M,M
34,08D,2014-01-01 00:35,-9.40,69.73,9.2,M,0.0,10.00,M,BKN,BKN,OVC
35,46D,2014-01-01 00:35,-13.00,76.02,4.6,M,0.0,10.00,M,SCT,M,M
36,GWR,2014-01-01 00:35,-13.00,63.05,9.2,M,0.0,10.00,M,BKN,BKN,M
37,7L2,2014-01-01 00:35,-5.80,76.77,9.2,M,0.01,2.50,M,FEW,OVC,M
38,RUG,2014-01-01 00:35,-13.00,69.27,3.5,M,0.0,10.00,M,CLR,M,M
39,BWP,2014-01-01 00:35,-18.40,68.55,6.9,M,0.0,7.00,M,CLR,M,M
40,9D7,2014-01-01 00:35,-16.60,75.63,4.6,M,0.0,10.00,M,FEW,SCT,OVC
41,06D,2014-01-01 00:35,-14.80,75.83,5.8,M,0.0,10.00,M,BKN,OVC,M
42,D55,2014-01-01 00:35,-18.40,68.55,0.0,M,0.0,10.00,M,CLR,M,M
43,2D5,2014-01-01 00:35,-13.00,69.27,11.5,M,0.0,10.00,M,BKN,OVC,M
44,96D,2014-01-01 00:35,-20.20,68.31,0.0,M,0.0,M,M,FEW,M,M
45,5H4,2014-01-01 00:35,-13.00,69.27,5.8,M,0.0,10.00,M,FEW,M,M
46,D60,2014-01-01 00:35,-9.40,83.64,11.5,M,0.0,10.00,M,OVC,M,M
47,D57,2014-01-01 00:35,-5.80,70.19,10.4,M,0.0,3.00,M,BKN,BKN,OVC
48,S25,2014-01-01 00:35,-2.20,70.63,9.2,M,0.0,10.00,M,FEW,OVC,M
49,BIS,2014-01-01 00:45,-9.04,77.84,11.5,M,0.02,1.50,M,OVC,M,M
50,BIS,2014-01-01 00:52,-7.96,73.83,12.7,1029.20,0.02,1.25,M,OVC,M,M
51,ISN,2014-01-01 00:52,-4.00,71.04,6.9,1027.30,0.0,10.00,M,OVC,M,M
