,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,HIE,2014-01-01 00:02,8.96,79.52,0.0,M,0.0,3.00,M,OVC,M,M
1,LEB,2014-01-01 00:02,3.92,83.19,0.0,M,0.0,5.00,M,BKN,M,M
2,AFN,2014-01-01 00:04,15.98,80.13,0.0,M,0.0,4.00,M,BKN,OVC,M
3,LCI,2014-01-01 00:15,6.80,78.01,0.0,M,0.0,10.00,M,CLR,M,M
4,EEN,2014-01-01 00:15,19.40,67.51,5.8,M,0.0,8.00,M,FEW,BKN,OVC
5,1P1,2014-01-01 00:15,6.44,89.11,0.0,M,0.0,10.00,M,SCT,BKN,M
6,AFN,2014-01-01 00:28,17.06,80.22,4.6,M,0.0,2.50,M,OVC,M,M
7,EEN,2014-01-01 00:35,19.40,67.51,6.9,M,0.0,10.00,M,FEW,FEW,SCT
8,1P1,2014-01-01 00:35,5.72,90.57,0.0,M,0.0,5.00,M,SCT,SCT,M
9,LCI,2014-01-01 00:35,6.80,84.80,0.0,M,0.0,10.00,M,BKN,M,M
10,AFN,2014-01-01 00:37,17.06,80.22,6.9,M,0.0,3.00,M,OVC,M,M
11,HIE,2014-01-01 00:42,8.96,83.56,0.0,M,0.0,1.75,M,BKN,OVC,M
12,AFN,2014-01-01 00:45,17.06,80.22,5.8,M,0.0,2.50,M,BKN,OVC,M
13,HIE,2014-01-01 00:49,8.60,78.18,0.0,M,0.0,3.00,M,BKN,OVC,M
14,HIE,2014-01-01 00:50,8.96,79.52,0.0,1017.80,0.0,4.00,M,BKN,OVC,M
15,CON,2014-01-01 00:51,8.96,83.56,0.0,1018.90,0.0,10.00,M,BKN,M,M
16,ASH,2014-01-01 00:51,20.12,67.60,0.0,1045.70,0.0,10.00,M,FEW,SCT,BKN
17,DAW,2014-01-01 00:51,12.02,57.72,0.0,1018.30,0.0,10.00,M,FEW,M,M
18,AFN,2014-01-01 00:52,17.06,80.22,5.8,1019.20,0.0,5.00,M,BKN,OVC,M
19,BML,2014-01-01 00:52,-0.94,82.11,0.0,1018.00,0.0,6.00,M,BKN,OVC,M
20,LEB,2014-01-01 00:53,8.06,79.44,0.0,1019.30,0.0,2.50,M,OVC,M,M
21,MHT,2014-01-01 00:53,19.04,67.46,0.0,1020.50,0.0,10.00,M,BKN,OVC,M
22,LCI,2014-01-01 00:55,6.80,84.80,0.0,M,0.0,10.00,M,SCT,M,M
23,1P1,2014-01-01 00:55,4.10,92.02,0.0,M,0.0,10.00,M,SCT,SCT,BKN
24,EEN,2014-01-01 00:55,17.60,72.93,5.8,M,0.0,10.00,M,CLR,M,M
25,MWN,2014-01-01 00:56,-7.60,100.00,55.2,M,0.0,0.00,59.8,VV ,M,M
26,PSM,2014-01-01 00:58,13.46,56.97,0.0,1018.80,0.0,10.00,M,BKN,M,M
27,BML,2014-01-01 01:01,-0.94,82.11,0.0,M,0.0,9.00,M,BKN,OVC,M
28,LEB,2014-01-01 01:01,10.04,79.62,3.5,M,0.0,0.75,M,OVC,M,M
29,AFN,2014-01-01 01:08,15.08,83.33,4.6,M,0.0,10.00,M,SCT,SCT,M
30,BML,2014-01-01 01:08,-2.02,78.52,0.0,M,0.0,10.00,M,BKN,OVC,M
31,LCI,2014-01-01 01:15,5.00,84.68,0.0,M,0.0,10.00,M,FEW,M,M
32,EEN,2014-01-01 01:15,17.60,72.93,5.8,M,0.0,10.00,M,CLR,M,M
33,1P1,2014-01-01 01:15,3.74,90.48,0.0,M,0.0,7.00,M,SCT,SCT,BKN
34,HIE,2014-01-01 01:18,8.96,83.56,0.0,M,0.0,2.50,M,OVC,M,M
35,HIE,2014-01-01 01:32,8.96,76.29,0.0,M,0.0,3.00,M,BKN,OVC,M
36,LEB,2014-01-01 01:34,10.94,80.35,3.5,M,0.0,1.50,M,OVC,M,M
37,1P1,2014-01-01 01:35,3.02,88.94,0.0,M,0.0,7.00,M,SCT,SCT,SCT
38,EEN,2014-01-01 01:35,17.60,72.93,4.6,M,0.0,10.00,M,CLR,M,M
39,LCI,2014-01-01 01:35,5.00,84.68,0.0,M,0.0,10.00,M,CLR,M,M
40,HIE,2014-01-01 01:39,8.96,76.29,3.5,M,0.0,5.00,M,BKN,OVC,M
41,LEB,2014-01-01 01:44,10.94,80.35,5.8,M,0.0,2.00,M,OVC,M,M
42,MWN,2014-01-01 01:51,-7.60,100.00,49.5,M,0.0,0.00,58.7,VV ,M,M
43,ASH,2014-01-01 01:51,18.14,76.57,0.0,1046.30,0.0,10.00,M,CLR,M,M
44,DAW,2014-01-01 01:51,10.04,72.69,0.0,1018.30,0.0,10.00,M,CLR,M,M
45,CON,2014-01-01 01:51,6.98,86.95,0.0,1019.30,0.0,10.00,M,BKN,M,M
46,HIE,2014-01-01 01:52,8.96,83.56,0.0,1017.80,0.0,5.00,M,BKN,BKN,OVC
47,BML,2014-01-01 01:52,-0.94,82.11,0.0,1017.70,0.0,7.00,M,BKN,OVC,M
48,AFN,2014-01-01 01:52,17.96,67.33,5.8,1019.80,0.0,10.00,M,CLR,M,M
49,MHT,2014-01-01 01:53,19.04,70.22,6.9,1020.70,0.0,10.00,M,CLR,M,M
50,LEB,2014-01-01 01:53,10.94,80.35,10.4,1019.70,0.0,1.75,M,OVC,M,M
51,LCI,2014-01-01 01:55,6.80,78.01,4.6,M,0.0,10.00,M,CLR,M,M
52,1P1,2014-01-01 01:55,2.30,88.90,0.0,M,0.0,7.00,M,SCT,BKN,BKN
53,LEB,2014-01-01 01:55,10.94,80.35,6.9,M,0.0,2.50,M,OVC,M,M
54,EEN,2014-01-01 01:55,19.40,62.28,5.8,M,0.0,10.00,M,CLR,M,M
55,PSM,2014-01-01 01:58,12.74,60.31,3.5,1019.20,0.0,10.00,M,FEW,M,M
56,HIE,2014-01-01 01:59,8.96,83.56,4.6,M,0.0,3.00,M,BKN,BKN,OVC
57,BML,2014-01-01 02:13,-0.04,82.89,0.0,M,0.0,2.50,M,OVC,M,M
58,EEN,2014-01-01 02:15,19.40,57.41,5.8,M,0.0,10.00,M,CLR,M,M
59,LCI,2014-01-01 02:15,6.80,84.80,3.5,M,0.0,8.00,M,CLR,M,M
60,1P1,2014-01-01 02:15,1.58,87.37,0.0,M,0.0,10.00,M,SCT,BKN,OVC
61,BML,2014-01-01 02:20,-0.04,82.89,0.0,M,0.0,3.00,M,SCT,OVC,M
62,LEB,2014-01-01 02:21,10.04,79.62,5.8,M,0.0,10.00,M,OVC,M,M
63,LCI,2014-01-01 02:35,3.20,84.56,4.6,M,0.0,10.00,M,CLR,M,M
64,1P1,2014-01-01 02:35,0.86,88.08,0.0,M,0.0,7.00,M,SCT,SCT,SCT
65,EEN,2014-01-01 02:35,19.40,57.41,11.5,M,0.0,10.00,16.1,CLR,M,M
66,ASH,2014-01-01 02:51,16.16,83.41,0.0,1046.50,0.0,10.00,M,CLR,M,M
67,DAW,2014-01-01 02:51,6.08,82.66,4.6,1018.50,0.0,10.00,M,FEW,M,M
68,CON,2014-01-01 02:51,6.98,86.95,3.5,1019.50,0.0,10.00,M,BKN,OVC,M
69,AFN,2014-01-01 02:52,17.96,56.26,11.5,1020.10,0.0,10.00,21.9,CLR,M,M
70,BML,2014-01-01 02:52,-0.04,82.89,0.0,1018.50,0.0,10.00,M,FEW,OVC,M
71,HIE,2014-01-01 02:52,8.96,79.52,0.0,1018.60,0.0,4.00,M,BKN,OVC,M
72,LEB,2014-01-01 02:53,8.96,79.52,0.0,1020.30,0.0,10.00,M,OVC,M,M
73,MHT,2014-01-01 02:53,19.94,67.58,4.6,1021.00,0.0,10.00,M,CLR,M,M
74,MWN,2014-01-01 02:55,-9.40,100.00,50.6,M,0.0,0.00,62.1,VV ,M,M
75,1P1,2014-01-01 02:55,-0.76,85.74,0.0,M,0.0,10.00,M,CLR,M,M
76,LCI,2014-01-01 02:55,3.20,84.56,0.0,M,0.0,10.00,M,CLR,M,M
77,EEN,2014-01-01 02:55,19.40,52.89,9.2,M,0.0,10.00,18.4,CLR,M,M
78,PSM,2014-01-01 02:58,14.00,76.16,4.6,1019.20,0.0,10.00,M,CLR,M,M
79,LCI,2014-01-01 03:15,5.00,84.68,5.8,M,0.0,10.00,M,CLR,M,M
80,EEN,2014-01-01 03:15,19.40,48.69,11.5,M,0.0,10.00,23.0,CLR,M,M
81,1P1,2014-01-01 03:15,-2.02,87.16,0.0,M,0.0,10.00,M,SCT,SCT,BKN
82,HIE,2014-01-01 03:31,8.96,79.52,4.6,M,0.0,10.00,M,SCT,BKN,M
