,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,NEL,2014-01-01 00:00,30.92,58.21,15.0,1022.80,0.0,M,21.9,CLR,M,M
1,LDJ,2014-01-01 00:15,31.82,47.26,13.8,M,0.0,10.00,21.9,CLR,M,M
2,BLM,2014-01-01 00:15,30.20,50.47,17.3,M,0.0,10.00,25.3,CLR,M,M
3,WWD,2014-01-01 00:15,37.40,47.80,11.5,M,0.0,10.00,17.3,CLR,M,M
4,WWD,2014-01-01 00:35,37.40,44.25,11.5,M,0.0,10.00,21.9,CLR,M,M
5,LDJ,2014-01-01 00:35,31.64,45.76,10.4,M,0.0,10.00,M,CLR,M,M
6,BLM,2014-01-01 00:35,30.20,46.62,17.3,M,0.0,10.00,20.7,CLR,M,M
7,MMU,2014-01-01 00:45,28.40,54.31,11.5,M,0.0,10.00,17.3,SCT,M,M
8,EWR,2014-01-01 00:51,30.02,46.59,13.8,1023.10,0.0,10.00,20.7,FEW,M,M
9,TEB,2014-01-01 00:51,30.92,46.74,8.1,1022.60,0.0,10.00,M,CLR,M,M
10,TTN,2014-01-01 00:53,28.94,42.48,15.0,1023.70,0.0,10.00,25.3,CLR,M,M
11,FWN,2014-01-01 00:53,26.06,47.82,6.9,1022.20,0.0,10.00,M,OVC,M,M
12,SMQ,2014-01-01 00:53,28.04,46.26,8.1,1023.70,0.0,10.00,19.6,CLR,M,M
13,CDW,2014-01-01 00:53,28.04,48.15,12.7,1023.90,0.0,10.00,25.3,CLR,M,M
14,12N,2014-01-01 00:54,24.98,50.02,0.0,1023.90,0.0,M,M,M,M,M
15,VAY,2014-01-01 00:54,30.92,41.13,12.7,1024.60,0.0,10.00,M,CLR,M,M
16,MIV,2014-01-01 00:54,33.08,48.98,8.1,1024.90,0.0,10.00,M,CLR,M,M
17,ACY,2014-01-01 00:54,32.00,51.15,9.2,1024.60,0.0,10.00,M,CLR,M,M
18,BLM,2014-01-01 00:55,30.20,46.62,10.4,M,0.0,10.00,18.4,CLR,M,M
19,WWD,2014-01-01 00:55,35.60,47.51,11.5,M,0.0,10.00,18.4,CLR,M,M
20,LDJ,2014-01-01 00:55,31.64,43.63,16.1,M,0.0,10.00,24.2,CLR,M,M
21,WRI,2014-01-01 00:58,29.84,49.62,10.4,1023.90,0.0,10.00,M,CLR,M,M
22,NEL,2014-01-01 01:00,30.02,48.48,13.8,1023.60,0.0,M,M,CLR,M,M
23,WWD,2014-01-01 01:15,35.60,47.51,6.9,M,0.0,10.00,17.3,CLR,M,M
24,LDJ,2014-01-01 01:15,30.74,45.61,5.8,M,0.0,10.00,M,CLR,M,M
25,BLM,2014-01-01 01:15,30.20,43.04,12.7,M,0.0,10.00,20.7,CLR,M,M
26,BLM,2014-01-01 01:35,30.20,43.04,13.8,M,0.0,10.00,23.0,CLR,M,M
27,LDJ,2014-01-01 01:35,30.38,46.28,10.4,M,0.0,10.00,M,CLR,M,M
28,WWD,2014-01-01 01:35,35.60,43.95,10.4,M,0.0,10.00,M,CLR,M,M
29,MMU,2014-01-01 01:45,26.60,49.88,12.7,M,0.0,10.00,24.2,FEW,M,M
30,EWR,2014-01-01 01:51,28.94,46.41,17.3,1024.00,0.0,10.00,21.9,FEW,M,M
31,TEB,2014-01-01 01:51,30.02,44.41,16.1,1023.40,0.0,10.00,23.0,CLR,M,M
32,CDW,2014-01-01 01:53,26.96,44.25,10.4,1024.70,0.0,10.00,20.7,CLR,M,M
33,TTN,2014-01-01 01:53,28.04,44.07,13.8,1024.40,0.0,10.00,24.2,CLR,M,M
34,SMQ,2014-01-01 01:53,26.96,46.08,5.8,1024.60,0.0,10.00,M,CLR,M,M
35,FWN,2014-01-01 01:53,24.08,49.87,3.5,1023.30,0.0,10.00,M,BKN,BKN,M
36,ACY,2014-01-01 01:54,30.02,53.29,5.8,1025.30,0.0,10.00,M,CLR,M,M
37,MIV,2014-01-01 01:54,30.92,53.44,9.2,1025.50,0.0,10.00,M,CLR,M,M
38,VAY,2014-01-01 01:54,30.02,42.66,13.8,1025.40,0.0,10.00,24.2,CLR,M,M
39,12N,2014-01-01 01:54,24.08,47.49,6.9,1024.80,0.0,M,M,M,M,M
40,LDJ,2014-01-01 01:55,30.02,46.59,15.0,M,0.0,10.00,18.4,CLR,M,M
41,BLM,2014-01-01 01:55,30.20,43.04,16.1,M,0.0,10.00,20.7,CLR,M,M
42,WWD,2014-01-01 01:55,35.60,47.51,8.1,M,0.0,10.00,M,CLR,M,M
43,WRI,2014-01-01 01:58,28.40,46.32,11.5,1024.90,0.0,10.00,M,CLR,M,M
44,NEL,2014-01-01 02:00,28.94,46.41,12.7,1024.60,0.0,M,M,CLR,M,M
45,WWD,2014-01-01 02:15,33.80,51.04,8.1,M,0.0,10.00,M,CLR,M,M
46,BLM,2014-01-01 02:15,28.40,42.73,11.5,M,0.0,10.00,21.9,CLR,M,M
47,LDJ,2014-01-01 02:15,29.48,48.01,11.5,M,0.0,10.00,17.3,CLR,M,M
48,LDJ,2014-01-01 02:35,29.30,45.01,17.3,M,0.0,10.00,24.2,CLR,M,M
