,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,BVU,2014-01-01 00:15,57.20,19.42,0.0,M,0.0,10.00,M,CLR,M,M
1,CXP,2014-01-01 00:15,46.40,45.73,11.5,M,0.0,10.00,M,CLR,M,M
2,RTS,2014-01-01 00:15,46.40,33.79,5.8,M,0.0,10.00,M,CLR,M,M
3,05U,2014-01-01 00:25,37.40,64.70,4.6,M,0.0,10.00,M,FEW,M,M
4,CXP,2014-01-01 00:35,44.60,48.96,5.8,M,0.0,10.00,M,CLR,M,M
5,RTS,2014-01-01 00:35,42.80,38.75,8.1,M,0.0,10.00,M,CLR,M,M
6,BVU,2014-01-01 00:35,55.40,22.41,0.0,M,0.0,10.00,M,CLR,M,M
7,05U,2014-01-01 00:45,35.60,69.46,3.5,M,0.0,10.00,M,CLR,M,M
8,DRA,2014-01-01 00:52,48.92,19.45,0.0,1020.40,0.0,10.00,M,CLR,M,M
9,LOL,2014-01-01 00:53,39.92,57.33,4.6,1026.70,0.0,10.00,M,CLR,M,M
10,VGT,2014-01-01 00:53,55.04,20.35,0.0,1022.90,0.0,10.00,M,CLR,M,M
11,P68,2014-01-01 00:53,33.98,69.28,3.5,1024.50,0.0,M,M,M,M,M
12,ELY,2014-01-01 00:53,37.94,57.04,4.6,1023.70,0.0,10.00,M,BKN,M,M
13,RNO,2014-01-01 00:55,48.92,32.93,0.0,1024.50,0.0,10.00,M,FEW,FEW,M
14,RTS,2014-01-01 00:55,44.60,33.49,0.0,M,0.0,10.00,M,CLR,M,M
15,BVU,2014-01-01 00:55,51.80,27.62,0.0,M,0.0,10.00,M,CLR,M,M
16,CXP,2014-01-01 00:55,44.60,48.96,3.5,M,0.0,10.00,M,CLR,M,M
17,TPH,2014-01-01 00:56,46.94,21.99,10.4,1023.60,0.0,10.00,M,FEW,M,M
18,LAS,2014-01-01 00:56,55.94,21.47,4.6,1019.50,0.0,10.00,M,SCT,M,M
19,HND,2014-01-01 00:56,53.96,24.17,0.0,1022.00,0.0,10.00,M,CLR,M,M
