,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,SLK,2014-01-01 00:01,12.20,78.51,8.1,M,0.0,2.50,23.0,FEW,OVC,M
1,MSS,2014-01-01 00:08,6.80,78.01,0.0,M,0.0,2.00,M,BKN,BKN,OVC
2,SLK,2014-01-01 00:10,12.20,78.51,9.2,M,0.0,4.00,18.4,OVC,M,M
3,MSS,2014-01-01 00:10,5.00,84.68,0.0,M,0.0,3.00,M,SCT,BKN,OVC
4,ELZ,2014-01-01 00:10,14.00,61.51,16.1,M,0.0,10.00,25.3,BKN,M,M
5,PBG,2014-01-01 00:15,12.20,85.17,0.0,M,0.0,3.00,M,BKN,OVC,M
6,N03,2014-01-01 00:15,19.40,73.13,6.9,M,0.0,7.00,M,SCT,BKN,OVC
7,OLE,2014-01-01 00:15,12.20,85.17,8.1,M,0.0,4.00,M,SCT,BKN,OVC
8,MSV,2014-01-01 00:15,19.40,48.69,17.3,M,0.0,10.00,27.6,CLR,M,M
9,JHW,2014-01-01 00:15,12.20,78.51,16.1,M,0.0,4.00,20.7,OVC,M,M
10,DKK,2014-01-01 00:20,19.40,79.16,12.7,M,0.0,1.75,23.0,SCT,OVC,M
11,DKK,2014-01-01 00:25,19.40,85.63,10.4,M,0.0,0.75,23.0,SCT,BKN,OVC
12,DSV,2014-01-01 00:27,15.80,78.84,6.9,M,0.0,5.00,M,FEW,SCT,OVC
13,PEO,2014-01-01 00:30,15.98,67.07,5.8,M,0.0,10.00,17.3,BKN,OVC,M
14,DKK,2014-01-01 00:34,19.40,85.63,11.5,M,0.0,0.25,M,BKN,BKN,OVC
15,JHW,2014-01-01 00:35,12.20,78.51,12.7,M,0.0,3.00,20.7,OVC,M,M
16,BGM,2014-01-01 00:35,15.80,85.40,5.8,M,0.0,1.75,M,FEW,BKN,OVC
17,OLE,2014-01-01 00:35,12.20,85.17,8.1,M,0.0,5.00,M,SCT,BKN,OVC
18,N03,2014-01-01 00:35,17.60,72.93,5.8,M,0.0,10.00,M,SCT,SCT,OVC
19,MSV,2014-01-01 00:35,19.40,48.69,11.5,M,0.0,10.00,20.7,CLR,M,M
20,DSV,2014-01-01 00:37,15.80,78.84,8.1,M,0.0,2.50,M,FEW,OVC,M
21,SLK,2014-01-01 00:41,12.20,78.51,6.9,M,0.0,2.50,19.6,FEW,OVC,M
22,BGM,2014-01-01 00:42,15.80,85.40,8.1,M,0.0,1.50,M,FEW,BKN,OVC
23,PEO,2014-01-01 00:43,15.98,67.07,4.6,M,0.0,10.00,M,SCT,SCT,M
24,ELZ,2014-01-01 00:43,14.00,61.51,10.4,M,0.0,10.00,20.7,SCT,OVC,M
25,SWF,2014-01-01 00:45,24.80,58.22,17.3,M,0.0,10.00,28.8,FEW,M,M
26,SCH,2014-01-01 00:47,21.20,67.73,16.1,M,0.0,10.00,31.1,SCT,BKN,M
27,SLK,2014-01-01 00:49,12.20,78.51,8.1,M,0.0,4.00,16.1,FEW,SCT,OVC
28,DKK,2014-01-01 00:50,17.60,92.50,12.7,M,0.01,0.25,20.7,VV ,M,M
29,ALB,2014-01-01 00:51,21.92,56.87,19.6,1021.40,0.0,10.00,25.3,FEW,M,M
30,NYC,2014-01-01 00:51,30.02,46.59,10.4,1022.10,0.0,10.00,23.0,CLR,M,M
31,BGM,2014-01-01 00:51,15.80,85.40,3.5,M,0.0,3.00,M,FEW,BKN,OVC
32,LGA,2014-01-01 00:51,30.92,44.92,18.4,1022.50,0.0,10.00,24.2,FEW,SCT,M
33,JFK,2014-01-01 00:51,32.00,43.00,19.6,1023.20,0.0,10.00,28.8,SCT,M,M
34,DSV,2014-01-01 00:51,15.80,78.84,11.5,M,0.0,1.50,M,OVC,M,M
35,SLK,2014-01-01 00:51,12.02,79.79,9.2,1017.60,0.0,4.00,M,FEW,OVC,M
36,MSS,2014-01-01 00:53,1.94,79.57,0.0,1020.00,0.0,10.00,M,BKN,M,M
37,GFL,2014-01-01 00:53,21.02,56.73,9.2,1020.20,0.0,10.00,18.4,CLR,M,M
38,POU,2014-01-01 00:53,28.04,46.26,8.1,1021.50,0.0,10.00,M,FEW,M,M
39,PEO,2014-01-01 00:53,15.08,69.75,0.0,1023.70,0.0,10.00,M,FEW,SCT,M
40,ELM,2014-01-01 00:53,19.94,61.85,15.0,1023.40,0.0,9.00,19.6,OVC,M,M
41,FOK,2014-01-01 00:53,28.94,60.69,8.1,1022.20,0.0,10.00,M,BKN,M,M
42,DKK,2014-01-01 00:53,17.96,91.80,9.2,1024.90,0.02,0.25,20.7,VV ,M,M
43,BGM,2014-01-01 00:53,15.08,90.96,6.9,1022.40,0.0,3.00,M,FEW,BKN,OVC
44,IAG,2014-01-01 00:53,15.08,53.07,20.7,1025.50,0.0,10.00,29.9,FEW,M,M
45,FRG,2014-01-01 00:53,30.02,44.41,11.5,1022.40,0.0,10.00,20.7,CLR,M,M
46,PBG,2014-01-01 00:53,12.02,87.25,0.0,1018.00,0.0,10.00,M,BKN,BKN,M
47,RME,2014-01-01 00:53,17.06,50.79,16.1,1022.40,0.0,10.00,24.2,CLR,M,M
48,SYR,2014-01-01 00:54,17.06,50.79,18.4,1022.60,0.0,10.00,28.8,FEW,M,M
49,ROC,2014-01-01 00:54,15.08,55.35,12.7,1024.00,0.0,10.00,20.7,BKN,M,M
50,MTP,2014-01-01 00:54,33.08,58.08,16.1,1021.50,0.0,M,24.2,M,M,M
51,DSV,2014-01-01 00:54,15.98,80.13,10.4,1025.20,0.0,1.50,M,OVC,M,M
52,BUF,2014-01-01 00:54,14.00,58.02,17.3,1024.30,0.0,10.00,25.3,SCT,M,M
53,FZY,2014-01-01 00:54,17.06,53.39,16.1,1022.40,0.0,10.00,24.2,OVC,M,M
54,MGJ,2014-01-01 00:54,26.06,45.93,12.7,1021.70,0.0,10.00,25.3,CLR,M,M
55,JHW,2014-01-01 00:55,12.20,85.17,17.3,M,0.0,4.00,20.7,OVC,M,M
56,MSV,2014-01-01 00:55,19.40,48.69,16.1,M,0.0,10.00,25.3,CLR,M,M
57,OLE,2014-01-01 00:55,12.20,85.17,6.9,M,0.0,7.00,M,SCT,BKN,OVC
58,N03,2014-01-01 00:55,17.60,72.93,5.8,M,0.0,10.00,M,OVC,M,M
59,HPN,2014-01-01 00:56,28.04,50.52,15.0,1021.80,0.0,10.00,26.5,CLR,M,M
60,ITH,2014-01-01 00:56,16.16,73.36,10.4,1023.90,0.0,10.00,M,BKN,OVC,M
61,ELZ,2014-01-01 00:56,14.00,63.59,12.7,1023.60,0.0,10.00,21.9,OVC,M,M
62,ART,2014-01-01 00:56,19.94,59.40,16.1,1021.10,0.0,10.00,28.8,OVC,M,M
63,ISP,2014-01-01 00:56,30.02,46.59,12.7,1021.40,0.0,10.00,M,FEW,M,M
64,HWV,2014-01-01 00:56,30.02,53.29,9.2,1022.10,0.0,10.00,M,CLR,M,M
65,GTB,2014-01-01 00:58,16.52,64.99,11.5,1020.10,0.0,10.00,18.4,OVC,M,M
66,BGM,2014-01-01 01:07,15.80,78.84,10.4,M,0.0,8.00,M,FEW,OVC,M
67,MSV,2014-01-01 01:15,17.60,48.39,12.7,M,0.0,10.00,25.3,CLR,M,M
68,OLE,2014-01-01 01:15,12.20,78.51,4.6,M,0.0,7.00,M,BKN,OVC,M
69,N03,2014-01-01 01:15,15.80,72.73,3.5,M,0.0,10.00,M,BKN,BKN,M
70,JHW,2014-01-01 01:15,12.20,78.51,9.2,M,0.0,5.00,M,OVC,M,M
71,DSV,2014-01-01 01:27,15.80,78.84,10.4,M,0.0,2.00,M,OVC,M,M
72,ELZ,2014-01-01 01:28,12.20,66.58,10.4,M,0.0,10.00,18.4,BKN,OVC,M
73,FZY,2014-01-01 01:33,15.80,56.86,13.8,M,0.0,10.00,M,SCT,SCT,SCT
74,N03,2014-01-01 01:35,15.80,72.73,5.8,M,0.0,10.00,M,SCT,SCT,SCT
75,OLE,2014-01-01 01:35,12.20,78.51,5.8,M,0.0,7.00,M,SCT,OVC,M
76,JHW,2014-01-01 01:35,12.20,85.17,10.4,M,0.0,8.00,16.1,OVC,M,M
77,MSV,2014-01-01 01:35,17.60,48.39,9.2,M,0.0,10.00,M,CLR,M,M
78,DKK,2014-01-01 01:42,17.60,92.50,9.2,M,0.04,0.50,M,VV ,M,M
79,ALB,2014-01-01 01:42,19.40,73.13,13.8,M,0.0,10.00,25.3,SCT,BKN,M
80,SWF,2014-01-01 01:45,23.00,57.96,17.3,M,0.0,10.00,28.8,FEW,M,M
81,DSV,2014-01-01 01:46,15.80,78.84,8.1,M,0.0,1.50,M,OVC,M,M
82,SCH,2014-01-01 01:50,19.40,52.89,16.1,M,0.0,10.00,20.7,BKN,M,M
83,PEO,2014-01-01 01:50,15.80,67.05,5.8,M,0.0,10.00,M,BKN,OVC,M
84,ALB,2014-01-01 01:51,19.94,67.58,12.7,1022.20,0.0,10.00,18.4,FEW,SCT,M
85,SLK,2014-01-01 01:51,12.02,69.38,11.5,1018.10,0.0,8.00,20.7,FEW,BKN,OVC
86,LGA,2014-01-01 01:51,30.02,44.41,16.1,1023.40,0.0,10.00,24.2,FEW,M,M
87,JFK,2014-01-01 01:51,30.02,44.41,18.4,1023.80,0.0,10.00,24.2,SCT,M,M
88,NYC,2014-01-01 01:51,30.02,44.41,8.1,1023.00,0.0,10.00,M,CLR,M,M
89,POU,2014-01-01 01:53,26.96,42.14,13.8,1022.10,0.0,10.00,M,BKN,M,M
90,DKK,2014-01-01 01:53,17.96,88.27,10.4,1024.90,0.04,0.50,17.3,VV ,M,M
91,PBG,2014-01-01 01:53,12.92,80.52,3.5,1018.50,0.0,10.00,M,FEW,M,M
92,FOK,2014-01-01 01:53,28.04,57.79,8.1,1023.20,0.0,10.00,M,CLR,M,M
93,ELM,2014-01-01 01:53,19.04,56.43,8.1,1023.70,0.0,10.00,17.3,SCT,M,M
94,BGM,2014-01-01 01:53,15.98,73.34,5.8,1022.90,0.0,10.00,M,OVC,M,M
95,FRG,2014-01-01 01:53,28.94,46.41,11.5,1023.30,0.0,10.00,19.6,FEW,M,M
96,RME,2014-01-01 01:53,15.98,51.03,12.7,1022.90,0.0,10.00,M,CLR,M,M
97,MSS,2014-01-01 01:53,3.92,83.19,5.8,1021.40,0.0,10.00,M,OVC,M,M
98,IAG,2014-01-01 01:53,15.98,53.22,18.4,1025.30,0.0,10.00,25.3,BKN,M,M
99,GFL,2014-01-01 01:53,19.94,54.30,11.5,1021.20,0.0,10.00,20.7,CLR,M,M
