,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,TZR,2014-01-01 00:15,24.44,77.17,3.5,M,0.0,10.00,M,BKN,M,M
1,VES,2014-01-01 00:15,26.60,73.89,0.0,M,0.0,10.00,M,SCT,M,M
2,LCK,2014-01-01 00:15,28.04,65.97,3.5,M,0.0,10.00,M,SCT,M,M
3,USE,2014-01-01 00:15,17.60,72.93,11.5,M,0.0,10.00,M,SCT,BKN,OVC
4,I69,2014-01-01 00:15,32.00,59.27,3.5,M,0.0,10.00,M,CLR,M,M
5,UNI,2014-01-01 00:15,29.12,61.19,3.5,M,0.0,10.00,M,CLR,M,M
6,MWO,2014-01-01 00:15,27.86,61.98,0.0,M,0.0,10.00,M,CLR,M,M
7,4I3,2014-01-01 00:19,21.20,79.31,3.5,M,0.0,10.00,M,CLR,M,M
8,DLZ,2014-01-01 00:20,23.00,79.47,0.0,M,0.0,10.00,M,BKN,BKN,M
9,PCW,2014-01-01 00:33,19.40,67.51,12.7,M,0.0,10.00,M,FEW,OVC,M
10,MRT,2014-01-01 00:34,24.08,77.14,0.0,M,0.0,10.00,M,OVC,M,M
11,POV,2014-01-01 00:34,17.24,75.27,4.6,M,0.0,10.00,M,SCT,M,M
12,TZR,2014-01-01 00:35,24.80,76.02,M,M,0.0,10.00,M,BKN,M,M
13,EDJ,2014-01-01 00:35,23.00,79.47,3.5,M,0.0,10.00,M,FEW,M,M
14,UNI,2014-01-01 00:35,29.12,61.19,3.5,M,0.0,10.00,M,CLR,M,M
15,VES,2014-01-01 00:35,26.60,73.89,0.0,M,0.0,10.00,M,BKN,BKN,M
16,USE,2014-01-01 00:35,17.60,72.93,9.2,M,0.0,10.00,M,BKN,BKN,OVC
17,MWO,2014-01-01 00:35,27.86,68.02,0.0,M,0.0,10.00,M,CLR,M,M
18,LCK,2014-01-01 00:35,28.04,67.52,4.6,M,0.0,10.00,M,OVC,M,M
19,I69,2014-01-01 00:36,32.00,59.27,0.0,M,0.0,10.00,M,CLR,M,M
20,4I3,2014-01-01 00:38,23.00,73.51,0.0,M,0.0,10.00,M,BKN,M,M
21,DLZ,2014-01-01 00:39,23.00,85.85,0.0,M,0.0,10.00,M,SCT,OVC,M
22,EDJ,2014-01-01 00:50,23.00,79.47,3.5,M,0.0,10.00,M,CLR,M,M
23,CMH,2014-01-01 00:51,28.04,62.97,0.0,1027.10,0.0,10.00,M,BKN,M,M
24,YNG,2014-01-01 00:51,15.08,69.75,4.6,1026.40,0.0,10.00,M,FEW,SCT,M
25,CAK,2014-01-01 00:51,17.06,80.22,10.4,1026.60,0.0,8.00,M,FEW,BKN,OVC
26,CLE,2014-01-01 00:51,19.94,67.58,8.1,1027.30,0.0,10.00,M,OVC,M,M
27,MFD,2014-01-01 00:52,19.94,81.09,5.8,1026.50,0.0,10.00,M,OVC,M,M
28,TOL,2014-01-01 00:52,17.06,73.46,9.2,1026.90,0.0,10.00,M,SCT,OVC,M
29,TDZ,2014-01-01 00:53,19.04,64.28,12.7,1027.00,0.0,10.00,M,FEW,OVC,M
30,LPR,2014-01-01 00:53,19.94,70.89,8.1,1026.70,0.0,10.00,M,OVC,M,M
31,MGY,2014-01-01 00:53,26.96,65.84,4.6,1026.30,0.0,10.00,M,CLR,M,M
32,HAO,2014-01-01 00:53,28.04,68.57,3.5,1027.10,0.0,10.00,M,CLR,M,M
33,LUK,2014-01-01 00:53,28.04,74.61,3.5,1027.50,0.0,10.00,M,CLR,M,M
34,PCW,2014-01-01 00:53,21.20,62.53,11.5,M,0.0,10.00,M,BKN,BKN,OVC
35,BKL,2014-01-01 00:53,19.94,70.89,12.7,1026.50,0.0,10.00,M,OVC,M,M
36,AOH,2014-01-01 00:53,21.92,71.12,0.0,1026.60,0.0,10.00,M,OVC,M,M
37,DFI,2014-01-01 00:53,17.96,80.29,5.8,1027.50,0.0,3.00,M,BKN,OVC,M
38,FDY,2014-01-01 00:53,19.94,73.77,8.1,1026.40,0.0,10.00,M,OVC,M,M
39,HZY,2014-01-01 00:53,15.98,64.38,9.2,1026.40,0.0,10.00,M,BKN,BKN,OVC
40,PHD,2014-01-01 00:53,21.92,71.12,0.0,1027.60,0.0,10.00,M,SCT,M,M
41,ZZV,2014-01-01 00:53,23.00,71.24,3.5,1027.50,0.0,10.00,M,CLR,M,M
42,LHQ,2014-01-01 00:53,26.96,68.44,3.5,1027.40,0.0,10.00,M,OVC,M,M
43,OSU,2014-01-01 00:53,24.98,71.47,3.5,1026.70,0.0,10.00,M,BKN,M,M
44,MNN,2014-01-01 00:53,23.00,71.24,4.6,1027.00,0.0,10.00,M,FEW,OVC,M
45,MRT,2014-01-01 00:54,23.00,77.64,0.0,M,0.0,10.00,M,SCT,BKN,M
46,AKR,2014-01-01 00:54,17.96,73.56,4.6,1026.30,0.0,10.00,M,OVC,M,M
47,ILN,2014-01-01 00:54,24.98,74.29,6.9,1028.80,0.0,10.00,M,CLR,M,M
48,VTA,2014-01-01 00:54,24.98,74.29,0.0,1027.00,0.0,10.00,M,BKN,M,M
49,USE,2014-01-01 00:55,17.60,72.93,9.2,M,0.0,6.00,M,SCT,BKN,OVC
50,LCK,2014-01-01 00:55,28.58,67.59,4.6,M,0.0,10.00,M,BKN,M,M
