,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,AST,2014-01-01 00:02,46.04,92.75,0.0,M,0.0,2.00,M,SCT,OVC,M
1,BKE,2014-01-01 00:13,30.02,95.69,3.5,M,0.0,3.00,M,SCT,BKN,OVC
2,LGD,2014-01-01 00:15,35.60,74.80,3.5,M,0.0,4.00,M,SCT,OVC,M
3,LKV,2014-01-01 00:15,46.40,31.28,4.6,M,0.0,10.00,M,CLR,M,M
4,GCD,2014-01-01 00:15,41.90,62.47,0.0,M,0.0,10.00,M,SCT,OVC,M
5,BDN,2014-01-01 00:15,46.40,42.44,0.0,M,0.0,10.00,M,SCT,SCT,M
6,ONP,2014-01-01 00:15,44.60,93.35,0.0,M,0.0,5.00,M,CLR,M,M
7,CVO,2014-01-01 00:15,48.20,76.01,0.0,M,0.0,10.00,M,CLR,M,M
8,TMK,2014-01-01 00:15,50.00,87.37,0.0,M,0.0,7.00,M,BKN,OVC,M
9,OTH,2014-01-01 00:15,48.20,87.28,4.6,M,0.0,9.00,M,CLR,M,M
10,AST,2014-01-01 00:17,46.04,92.75,0.0,M,0.0,4.00,M,FEW,OVC,M
11,BKE,2014-01-01 00:24,30.02,95.69,0.0,M,0.0,3.00,M,SCT,BKN,OVC
12,BKE,2014-01-01 00:33,30.02,100.00,0.0,M,0.01,3.00,M,BKN,BKN,OVC
13,OTH,2014-01-01 00:35,46.40,93.40,4.6,M,0.0,10.00,M,CLR,M,M
14,GCD,2014-01-01 00:35,41.72,64.77,0.0,M,0.0,10.00,M,BKN,OVC,M
15,TMK,2014-01-01 00:35,48.20,93.45,0.0,M,0.0,5.00,M,OVC,M,M
16,LGD,2014-01-01 00:35,35.60,74.80,0.0,M,0.0,2.50,M,FEW,OVC,M
17,CVO,2014-01-01 00:35,48.20,70.88,0.0,M,0.0,10.00,M,CLR,M,M
18,ONP,2014-01-01 00:35,44.60,93.35,0.0,M,0.0,4.00,M,CLR,M,M
19,LKV,2014-01-01 00:35,44.60,30.98,4.6,M,0.0,10.00,M,CLR,M,M
20,BDN,2014-01-01 00:35,46.40,42.44,0.0,M,0.0,10.00,M,SCT,BKN,M
21,AST,2014-01-01 00:42,46.04,88.99,0.0,M,0.0,3.00,M,OVC,M,M
22,REO,2014-01-01 00:52,46.04,41.74,6.9,1024.20,0.0,M,M,M,M,M
23,BNO,2014-01-01 00:53,35.06,63.91,0.0,1025.80,0.0,10.00,M,CLR,M,M
24,ONO,2014-01-01 00:53,32.00,81.42,0.0,1028.40,0.0,6.00,M,OVC,M,M
25,MMV,2014-01-01 00:53,46.04,85.97,0.0,1026.80,0.0,9.00,M,OVC,M,M
26,UAO,2014-01-01 00:53,44.96,89.56,0.0,1027.00,0.0,10.00,M,OVC,M,M
27,PDT,2014-01-01 00:53,39.92,73.08,6.9,1024.40,0.0,10.00,M,CLR,M,M
28,SPB,2014-01-01 00:53,44.96,89.56,0.0,1026.60,0.0,10.00,M,OVC,M,M
29,LMT,2014-01-01 00:53,41.00,46.23,0.0,1025.40,0.0,10.00,M,CLR,M,M
30,MFR,2014-01-01 00:53,44.96,65.18,0.0,1026.10,0.0,10.00,M,CLR,M,M
31,PDX,2014-01-01 00:53,44.96,85.90,3.5,1026.90,0.0,8.00,M,OVC,M,M
32,HRI,2014-01-01 00:53,33.08,91.66,0.0,1024.70,0.0,10.00,M,CLR,M,M
33,DLS,2014-01-01 00:53,50.00,58.34,6.9,1025.40,0.0,10.00,M,SCT,M,M
34,TTD,2014-01-01 00:53,48.02,79.79,0.0,1026.30,0.0,10.00,M,BKN,OVC,M
35,RBG,2014-01-01 00:53,48.92,68.51,0.0,1025.90,0.0,10.00,M,CLR,M,M
36,HIO,2014-01-01 00:53,46.04,79.07,4.6,1026.50,0.0,10.00,M,OVC,M,M
37,BKE,2014-01-01 00:53,30.92,92.26,0.0,1027.60,0.01,4.00,M,BKN,OVC,M
38,EUG,2014-01-01 00:54,48.02,79.79,5.8,1026.10,0.0,10.00,M,SCT,BKN,M
39,CVO,2014-01-01 00:55,44.60,81.20,0.0,M,0.0,10.00,M,CLR,M,M
40,AST,2014-01-01 00:55,44.96,92.72,0.0,1026.00,0.0,2.00,M,OVC,M,M
41,LKV,2014-01-01 00:55,39.20,38.15,4.6,M,0.0,10.00,M,CLR,M,M
42,LGD,2014-01-01 00:55,35.60,74.80,5.8,M,0.02,3.00,M,BKN,OVC,M
43,TMK,2014-01-01 00:55,48.20,93.45,0.0,M,0.0,7.00,M,OVC,M,M
44,BDN,2014-01-01 00:55,44.60,45.44,0.0,M,0.0,10.00,M,FEW,SCT,M
45,OTH,2014-01-01 00:55,46.40,93.40,0.0,M,0.0,9.00,M,CLR,M,M
46,GCD,2014-01-01 00:55,42.80,59.03,0.0,M,0.0,10.00,M,OVC,M,M
47,ONP,2014-01-01 00:55,44.60,93.35,0.0,M,0.0,4.00,M,CLR,M,M
48,RDM,2014-01-01 00:56,46.04,47.05,4.6,1025.60,0.0,10.00,M,OVC,M,M
49,BOK,2014-01-01 00:56,46.94,82.52,0.0,1024.40,0.0,7.00,M,CLR,M,M
50,SLE,2014-01-01 00:56,46.04,82.45,0.0,1026.00,0.0,10.00,M,BKN,M,M
51,SXT,2014-01-01 00:56,48.02,31.30,4.6,1024.20,0.0,10.00,M,CLR,M,M
52,MEH,2014-01-01 00:56,33.98,92.36,0.0,1025.50,0.0,7.00,M,OVC,M,M
53,BKE,2014-01-01 01:05,30.92,92.26,0.0,M,0.0,4.00,M,SCT,BKN,OVC
54,ONP,2014-01-01 01:15,42.80,100.00,0.0,M,0.0,3.00,M,CLR,M,M
55,BDN,2014-01-01 01:15,39.20,55.95,0.0,M,0.0,10.00,M,FEW,M,M
56,GCD,2014-01-01 01:15,40.46,65.57,0.0,M,0.0,10.00,M,BKN,OVC,M
57,OTH,2014-01-01 01:15,46.40,93.40,3.5,M,0.0,8.00,M,CLR,M,M
58,LGD,2014-01-01 01:15,35.60,69.46,5.8,M,0.01,3.00,M,SCT,OVC,M
59,TMK,2014-01-01 01:15,46.40,93.40,0.0,M,0.0,7.00,M,OVC,M,M
60,LKV,2014-01-01 01:15,37.40,40.93,0.0,M,0.0,10.00,M,CLR,M,M
61,CVO,2014-01-01 01:15,42.80,86.99,3.5,M,0.0,10.00,M,CLR,M,M
62,AST,2014-01-01 01:17,44.96,92.72,4.6,M,0.0,4.00,M,OVC,M,M
63,MEH,2014-01-01 01:22,33.98,88.42,0.0,M,0.0,2.00,M,OVC,M,M
64,MEH,2014-01-01 01:30,33.98,92.36,0.0,M,0.0,8.00,M,OVC,M,M
65,BDN,2014-01-01 01:35,37.40,64.70,0.0,M,0.0,10.00,M,BKN,M,M
66,CVO,2014-01-01 01:35,41.00,86.89,0.0,M,0.0,10.00,M,CLR,M,M
67,TMK,2014-01-01 01:35,46.40,93.40,0.0,M,0.0,7.00,M,SCT,OVC,M
68,ONP,2014-01-01 01:35,41.00,100.00,0.0,M,0.0,4.00,M,CLR,M,M
69,LKV,2014-01-01 01:35,33.80,47.22,5.8,M,0.0,10.00,M,CLR,M,M
70,GCD,2014-01-01 01:35,38.48,73.46,0.0,M,0.0,10.00,M,SCT,M,M
71,OTH,2014-01-01 01:35,44.60,93.35,0.0,M,0.0,10.00,M,CLR,M,M
72,LGD,2014-01-01 01:35,35.60,74.80,6.9,M,0.01,4.00,M,OVC,M,M
73,AST,2014-01-01 01:37,44.06,92.69,4.6,M,0.0,2.00,M,OVC,M,M
74,BKE,2014-01-01 01:42,30.20,100.00,0.0,M,0.0,2.00,M,OVC,M,M
75,REO,2014-01-01 01:52,44.06,45.01,3.5,1024.60,0.0,M,M,M,M,M
76,RBG,2014-01-01 01:53,44.06,78.91,0.0,1026.20,0.0,10.00,M,CLR,M,M
77,DLS,2014-01-01 01:53,48.92,60.74,4.6,1025.70,0.0,10.00,M,CLR,M,M
78,LMT,2014-01-01 01:53,35.06,58.37,3.5,1026.60,0.0,10.00,M,CLR,M,M
79,HRI,2014-01-01 01:53,35.06,84.69,5.8,1025.10,0.0,10.00,M,CLR,M,M
80,PDX,2014-01-01 01:53,44.96,82.38,6.9,1027.30,0.0,9.00,M,OVC,M,M
81,BNO,2014-01-01 01:53,37.94,59.22,0.0,1026.10,0.0,10.00,M,CLR,M,M
82,PDT,2014-01-01 01:53,42.98,67.81,5.8,1024.60,0.0,10.00,M,CLR,M,M
83,MFR,2014-01-01 01:53,42.98,67.81,3.5,1026.40,0.0,10.00,M,CLR,M,M
84,TTD,2014-01-01 01:53,46.04,85.97,0.0,1026.70,0.0,10.00,M,OVC,M,M
85,UAO,2014-01-01 01:53,44.96,89.56,3.5,1027.20,0.0,10.00,M,OVC,M,M
86,BKE,2014-01-01 01:53,30.02,100.00,0.0,1028.00,0.0,2.50,M,OVC,M,M
87,MMV,2014-01-01 01:53,46.04,88.99,0.0,1027.00,0.0,10.00,M,OVC,M,M
88,ONO,2014-01-01 01:53,28.94,84.93,4.6,1029.00,0.0,4.00,M,BKN,M,M
89,HIO,2014-01-01 01:53,44.96,82.38,0.0,1027.00,0.0,10.00,M,OVC,M,M
90,SPB,2014-01-01 01:53,44.96,89.56,3.5,1027.20,0.0,8.00,M,FEW,OVC,M
91,EUG,2014-01-01 01:54,42.98,88.85,0.0,1026.30,0.0,10.00,M,SCT,BKN,M
92,LGD,2014-01-01 01:55,35.60,74.80,0.0,M,0.01,8.00,M,OVC,M,M
93,ONP,2014-01-01 01:55,39.20,100.00,0.0,M,0.0,5.00,M,CLR,M,M
94,OTH,2014-01-01 01:55,44.60,100.00,0.0,M,0.0,8.00,M,CLR,M,M
95,AST,2014-01-01 01:55,44.96,92.72,3.5,1026.40,0.0,1.75,M,OVC,M,M
96,LKV,2014-01-01 01:55,32.00,59.27,6.9,M,0.0,10.00,M,CLR,M,M
97,TMK,2014-01-01 01:55,46.40,93.40,0.0,M,0.0,7.00,M,BKN,OVC,M
98,BDN,2014-01-01 01:55,39.20,60.29,0.0,M,0.0,10.00,M,OVC,M,M
99,GCD,2014-01-01 01:55,39.38,71.97,0.0,M,0.0,10.00,M,BKN,BKN,M
100,CVO,2014-01-01 01:55,39.20,93.19,0.0,M,0.0,10.00,M,CLR,M,M
101,SXT,2014-01-01 01:56,48.02,34.06,3.5,1024.30,0.0,10.00,M,CLR,M,M
102,SLE,2014-01-01 01:56,46.04,85.97,4.6,1026.40,0.0,10.00,M,OVC,M,M
103,MEH,2014-01-01 01:56,33.98,92.36,0.0,1025.90,0.0,7.00,M,OVC,M,M
104,RDM,2014-01-01 01:56,42.08,57.22,3.5,1025.70,0.0,10.00,M,OVC,M,M
105,BOK,2014-01-01 01:56,43.88,92.68,0.0,1024.40,0.0,8.00,M,CLR,M,M
106,BKE,2014-01-01 02:02,30.02,100.00,0.0,M,0.0,3.00,M,OVC,M,M
107,BKE,2014-01-01 02:15,30.02,100.00,3.5,M,0.0,2.50,M,OVC,M,M
108,GCD,2014-01-01 02:15,40.10,69.47,0.0,M,0.0,10.00,M,OVC,M,M
109,TMK,2014-01-01 02:15,46.40,93.40,0.0,M,0.0,7.00,M,SCT,OVC,M
110,LGD,2014-01-01 02:15,35.60,74.80,0.0,M,0.0,10.00,M,OVC,M,M
111,LKV,2014-01-01 02:15,30.20,63.75,8.1,M,0.0,10.00,M,CLR,M,M
112,CVO,2014-01-01 02:15,M,M,3.5,M,0.0,10.00,M,CLR,M,M
113,BDN,2014-01-01 02:15,41.00,56.22,3.5,M,0.0,10.00,M,OVC,M,M
114,ONP,2014-01-01 02:15,41.00,93.24,0.0,M,0.0,2.50,M,CLR,M,M
115,OTH,2014-01-01 02:15,44.60,100.00,0.0,M,0.0,7.00,M,CLR,M,M
116,BKE,2014-01-01 02:24,30.02,95.69,5.8,M,0.0,4.00,M,OVC,M,M
117,LGD,2014-01-01 02:35,35.60,74.80,0.0,M,0.0,10.00,M,BKN,OVC,M
118,GCD,2014-01-01 02:35,39.20,73.54,3.5,M,0.0,10.00,M,OVC,M,M
119,BDN,2014-01-01 02:35,41.00,52.17,0.0,M,0.0,10.00,M,OVC,M,M
120,LKV,2014-01-01 02:35,28.40,68.61,8.1,M,0.0,10.00,M,CLR,M,M
121,OTH,2014-01-01 02:35,42.80,100.00,0.0,M,0.0,7.00,M,CLR,M,M
122,CVO,2014-01-01 02:35,37.40,93.14,0.0,M,0.0,10.00,M,BKN,M,M
123,ONP,2014-01-01 02:35,39.20,93.19,0.0,M,0.0,4.00,M,CLR,M,M
124,TMK,2014-01-01 02:35,46.40,93.40,0.0,M,0.0,5.00,M,OVC,M,M
125,AST,2014-01-01 02:44,44.96,96.63,0.0,M,0.0,2.00,M,OVC,M,M
126,SPB,2014-01-01 02:49,44.60,93.35,3.5,M,0.0,4.00,M,FEW,SCT,OVC
127,REO,2014-01-01 02:52,42.98,48.70,6.9,1025.20,0.0,M,M,M,M,M
128,SPB,2014-01-01 02:53,44.06,95.95,3.5,1027.40,0.0,4.00,M,FEW,SCT,OVC
129,MMV,2014-01-01 02:53,44.96,92.72,3.5,1027.10,0.0,9.00,M,OVC,M,M
130,HRI,2014-01-01 02:53,33.98,85.24,5.8,1025.40,0.0,10.00,M,CLR,M,M
131,DLS,2014-01-01 02:53,46.04,67.69,9.2,1026.00,0.0,10.00,M,CLR,M,M
132,MFR,2014-01-01 02:53,35.96,81.72,0.0,1026.90,0.0,10.00,M,CLR,M,M
133,PDT,2014-01-01 02:53,39.92,76.32,3.5,1024.90,0.0,10.00,M,CLR,M,M
134,BKE,2014-01-01 02:53,30.92,92.26,3.5,1028.00,0.0,4.00,M,OVC,M,M
135,TTD,2014-01-01 02:53,46.04,82.45,0.0,1027.10,0.0,9.00,M,BKN,OVC,M
136,ONO,2014-01-01 02:53,24.98,87.96,5.8,1029.20,0.0,4.00,M,CLR,M,M
137,UAO,2014-01-01 02:53,42.08,91.98,5.8,1027.20,0.0,10.00,M,FEW,BKN,OVC
138,HIO,2014-01-01 02:53,44.06,85.25,0.0,1027.10,0.0,8.00,M,OVC,M,M
139,PDX,2014-01-01 02:53,44.06,85.25,5.8,1027.40,0.0,9.00,M,FEW,BKN,OVC
140,LMT,2014-01-01 02:53,33.08,66.11,4.6,1026.90,0.0,10.00,M,CLR,M,M
141,BNO,2014-01-01 02:53,33.98,72.45,4.6,1026.80,0.0,10.00,M,CLR,M,M
142,RBG,2014-01-01 02:53,39.92,89.34,0.0,1026.10,0.0,9.00,M,CLR,M,M
143,EUG,2014-01-01 02:54,39.02,92.53,3.5,1026.30,0.0,10.00,M,CLR,M,M
144,GCD,2014-01-01 02:55,41.72,65.25,0.0,M,0.0,10.00,M,OVC,M,M
145,CVO,2014-01-01 02:55,37.40,93.14,4.6,M,0.0,10.00,M,BKN,M,M
