,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,IDI,2014-01-01 00:15,19.40,22.34,3.5,M,0.0,10.00,M,SCT,SCT,M
1,MQS,2014-01-01 00:15,28.40,54.31,11.5,M,0.0,10.00,M,CLR,M,M
2,AFJ,2014-01-01 00:15,24.80,68.18,5.8,M,0.0,10.00,M,FEW,M,M
3,LOM,2014-01-01 00:15,32.00,54.87,3.5,M,0.0,10.00,M,CLR,M,M
4,UKT,2014-01-01 00:15,26.60,46.02,9.2,M,0.0,10.00,M,CLR,M,M
5,FKL,2014-01-01 00:15,15.80,67.05,6.9,M,0.0,10.00,M,OVC,M,M
6,XLL,2014-01-01 00:15,28.40,36.29,9.2,M,0.0,10.00,M,CLR,M,M
7,BTP,2014-01-01 00:15,19.40,67.51,5.8,M,0.0,10.00,M,CLR,M,M
8,BFD,2014-01-01 00:20,12.92,63.97,8.1,M,0.0,10.00,18.4,SCT,OVC,M
9,FIG,2014-01-01 00:25,15.98,70.43,6.9,M,0.0,10.00,M,BKN,M,M
10,GKJ,2014-01-01 00:29,15.80,67.05,5.8,M,0.0,10.00,M,BKN,OVC,M
11,DUJ,2014-01-01 00:33,15.80,67.05,6.9,M,0.0,10.00,M,BKN,M,M
12,IDI,2014-01-01 00:35,19.40,20.41,4.6,M,0.0,10.00,M,SCT,BKN,M
13,AFJ,2014-01-01 00:35,23.00,73.51,3.5,M,0.0,10.00,M,CLR,M,M
14,FKL,2014-01-01 00:35,15.80,67.05,5.8,M,0.0,10.00,M,BKN,OVC,M
15,BTP,2014-01-01 00:35,17.60,67.28,4.6,M,0.0,10.00,M,CLR,M,M
16,MQS,2014-01-01 00:35,28.40,54.31,12.7,M,0.0,10.00,M,CLR,M,M
17,UKT,2014-01-01 00:35,26.60,46.02,5.8,M,0.0,10.00,M,CLR,M,M
18,LOM,2014-01-01 00:35,32.00,54.87,5.8,M,0.0,10.00,M,CLR,M,M
19,XLL,2014-01-01 00:35,28.40,39.39,10.4,M,0.0,10.00,17.3,CLR,M,M
20,FIG,2014-01-01 00:37,15.98,70.43,5.8,M,0.0,10.00,M,SCT,M,M
21,LBE,2014-01-01 00:50,24.80,73.70,9.2,M,0.0,15.00,M,CLR,M,M
22,ABE,2014-01-01 00:51,26.06,47.82,15.0,1024.40,0.0,10.00,21.9,CLR,M,M
23,ERI,2014-01-01 00:51,19.04,61.72,15.0,1025.60,0.0,10.00,23.0,OVC,M,M
24,PIT,2014-01-01 00:51,23.00,67.96,4.6,1027.40,0.0,10.00,M,SCT,BKN,M
25,THV,2014-01-01 00:53,26.96,57.63,6.9,1025.70,0.0,10.00,M,CLR,M,M
26,LNS,2014-01-01 00:53,26.96,54.95,16.1,1025.30,0.0,10.00,M,CLR,M,M
27,GKJ,2014-01-01 00:53,15.08,69.75,4.6,1025.70,0.0,10.00,M,OVC,M,M
28,BFD,2014-01-01 00:53,12.92,63.97,9.2,1023.90,0.0,10.00,M,OVC,M,M
29,MPO,2014-01-01 00:53,17.06,55.66,13.8,1022.20,0.0,10.00,27.6,CLR,M,M
30,AGC,2014-01-01 00:53,24.08,64.95,6.9,1027.00,0.0,10.00,M,CLR,M,M
31,UNV,2014-01-01 00:53,21.20,62.53,13.8,M,0.0,10.00,M,SCT,M,M
32,AOO,2014-01-01 00:53,21.92,67.82,16.1,1024.70,0.0,10.00,24.2,CLR,M,M
33,SEG,2014-01-01 00:53,24.08,51.93,M,1026.10,0.0,10.00,M,FEW,M,M
34,AVP,2014-01-01 00:54,21.02,51.86,13.8,1023.40,0.0,10.00,25.3,CLR,M,M
35,DYL,2014-01-01 00:54,24.98,52.50,9.2,1024.70,0.0,10.00,M,CLR,M,M
36,PHL,2014-01-01 00:54,32.00,43.00,11.5,1025.30,0.0,10.00,M,CLR,M,M
37,RDG,2014-01-01 00:54,28.04,44.07,16.1,1025.30,0.0,10.00,25.3,CLR,M,M
38,JST,2014-01-01 00:54,17.06,80.22,15.0,1025.10,0.0,10.00,25.3,BKN,BKN,M
39,PNE,2014-01-01 00:54,30.92,49.01,6.9,1025.30,0.0,10.00,17.3,CLR,M,M
40,FIG,2014-01-01 00:54,15.98,70.43,5.8,1025.70,0.0,10.00,M,FEW,M,M
41,PTW,2014-01-01 00:54,24.98,52.50,4.6,1024.90,0.0,10.00,M,CLR,M,M
42,IPT,2014-01-01 00:54,21.92,49.92,12.7,1025.20,0.0,10.00,M,CLR,M,M
43,BTP,2014-01-01 00:55,17.60,67.28,3.5,M,0.0,10.00,M,CLR,M,M
44,FKL,2014-01-01 00:55,14.00,66.82,5.8,M,0.0,10.00,M,FEW,BKN,M
45,IDI,2014-01-01 00:55,19.40,20.41,5.8,M,0.0,10.00,M,BKN,M,M
46,MQS,2014-01-01 00:55,28.40,54.31,11.5,M,0.0,10.00,M,CLR,M,M
47,XLL,2014-01-01 00:55,28.40,39.39,12.7,M,0.0,10.00,19.6,CLR,M,M
