,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,BID,2014-01-01 00:15,32.00,59.27,13.8,M,0.0,10.00,23.0,FEW,FEW,M
1,BID,2014-01-01 00:35,32.00,54.87,16.1,M,0.0,10.00,26.5,SCT,M,M
2,PVD,2014-01-01 00:51,19.94,67.58,4.6,1020.80,0.0,10.00,M,FEW,M,M
3,WST,2014-01-01 00:53,26.96,65.84,8.1,1021.20,0.0,10.00,M,CLR,M,M
4,UUU,2014-01-01 00:53,24.98,62.55,3.5,1020.70,0.0,10.00,M,CLR,M,M
5,BID,2014-01-01 00:55,32.00,50.75,17.3,M,0.0,10.00,27.6,BKN,M,M
6,BID,2014-01-01 01:15,32.00,50.75,13.8,M,0.0,10.00,19.6,BKN,M,M
7,BID,2014-01-01 01:35,32.00,50.75,16.1,M,0.0,10.00,24.2,BKN,BKN,M
8,PVD,2014-01-01 01:51,21.92,67.82,4.6,1021.30,0.0,10.00,M,CLR,M,M
9,UUU,2014-01-01 01:53,24.98,68.20,6.9,1020.90,0.0,10.00,M,CLR,M,M
10,WST,2014-01-01 01:53,28.04,62.97,6.9,1021.60,0.0,10.00,M,CLR,M,M
11,BID,2014-01-01 01:55,32.00,46.92,17.3,M,0.0,10.00,25.3,BKN,BKN,M
12,BID,2014-01-01 02:15,30.20,50.47,12.7,M,0.0,10.00,20.7,SCT,SCT,M
13,BID,2014-01-01 02:35,30.20,54.59,15.0,M,0.0,10.00,23.0,SCT,SCT,M
14,PVD,2014-01-01 02:51,21.02,70.46,0.0,1021.90,0.0,10.00,M,CLR,M,M
15,UUU,2014-01-01 02:53,24.98,71.47,9.2,1021.60,0.0,10.00,M,FEW,M,M
16,WST,2014-01-01 02:53,26.96,65.84,4.6,1022.30,0.0,10.00,M,CLR,M,M
17,BID,2014-01-01 02:55,30.20,54.59,12.7,M,0.0,10.00,23.0,FEW,SCT,M
18,BID,2014-01-01 03:15,30.20,50.47,12.7,M,0.0,10.00,21.9,SCT,SCT,M
19,BID,2014-01-01 03:35,30.20,50.47,11.5,M,0.0,10.00,20.7,BKN,BKN,M
20,PVD,2014-01-01 03:51,19.94,77.35,3.5,1022.40,0.0,10.00,M,SCT,M,M
21,UUU,2014-01-01 03:53,24.98,71.47,9.2,1022.10,0.0,10.00,M,CLR,M,M
22,WST,2014-01-01 03:53,24.98,68.20,5.8,1022.80,0.0,10.00,M,CLR,M,M
23,BID,2014-01-01 03:55,30.20,50.47,11.5,M,0.0,10.00,20.7,SCT,BKN,OVC
24,BID,2014-01-01 04:15,30.20,46.62,12.7,M,0.0,10.00,26.5,OVC,M,M
25,BID,2014-01-01 04:35,30.20,46.62,15.0,M,0.0,10.00,23.0,OVC,M,M
26,PVD,2014-01-01 04:51,23.00,62.28,5.8,1023.10,0.0,10.00,M,SCT,M,M
27,UUU,2014-01-01 04:53,24.98,57.33,13.8,1022.80,0.0,10.00,21.9,CLR,M,M
28,WST,2014-01-01 04:53,24.98,62.55,5.8,1023.60,0.0,10.00,M,CLR,M,M
29,BID,2014-01-01 04:55,28.40,50.17,12.7,M,0.0,10.00,23.0,OVC,M,M
30,BID,2014-01-01 05:15,28.40,50.17,13.8,M,0.0,10.00,21.9,BKN,OVC,M
31,BID,2014-01-01 05:35,28.40,46.32,10.4,M,0.0,10.00,20.7,BKN,M,M
32,PVD,2014-01-01 05:51,21.92,54.61,6.9,1023.60,0.0,10.00,M,CLR,M,M
33,UUU,2014-01-01 05:53,24.08,51.93,11.5,1023.30,0.0,10.00,20.7,SCT,M,M
34,WST,2014-01-01 05:53,24.08,70.81,0.0,1024.00,0.0,10.00,M,SCT,OVC,M
35,BID,2014-01-01 05:55,28.40,46.32,10.4,M,0.0,10.00,20.7,OVC,M,M
36,BID,2014-01-01 06:15,28.40,46.32,11.5,M,0.0,10.00,19.6,OVC,M,M
37,BID,2014-01-01 06:35,26.60,63.27,8.1,M,0.0,10.00,16.1,FEW,BKN,OVC
38,PVD,2014-01-01 06:51,19.94,56.56,0.0,1024.70,0.0,10.00,M,CLR,M,M
39,UUU,2014-01-01 06:53,24.08,49.87,12.7,1024.40,0.0,10.00,19.6,CLR,M,M
40,WST,2014-01-01 06:53,24.08,64.95,4.6,1025.30,0.0,10.00,M,BKN,BKN,M
41,BID,2014-01-01 06:55,26.60,54.03,11.5,M,0.0,10.00,19.6,FEW,BKN,BKN
42,BID,2014-01-01 07:15,26.60,54.03,12.7,M,0.0,10.00,19.6,SCT,M,M
43,BID,2014-01-01 07:35,26.60,54.03,10.4,M,0.0,10.00,18.4,SCT,M,M
44,PVD,2014-01-01 07:51,21.02,49.37,6.9,1025.70,0.0,10.00,M,CLR,M,M
45,WST,2014-01-01 07:53,21.92,65.18,0.0,1026.20,0.0,10.00,M,CLR,M,M
46,UUU,2014-01-01 07:53,23.00,43.21,10.4,1025.40,0.0,10.00,20.7,CLR,M,M
47,BID,2014-01-01 07:55,26.60,49.88,8.1,M,0.0,10.00,17.3,FEW,M,M
48,BID,2014-01-01 08:15,24.80,53.75,6.9,M,0.0,10.00,M,SCT,M,M
49,BID,2014-01-01 08:35,24.80,49.59,6.9,M,0.0,10.00,M,BKN,M,M
50,PVD,2014-01-01 08:51,21.02,46.98,6.9,1025.80,0.0,10.00,M,CLR,M,M
51,UUU,2014-01-01 08:53,21.92,45.22,9.2,1025.50,0.0,10.00,16.1,CLR,M,M
52,WST,2014-01-01 08:53,17.96,77.17,0.0,1026.40,0.0,10.00,M,CLR,M,M
53,BID,2014-01-01 08:55,24.80,49.59,5.8,M,0.0,10.00,M,BKN,M,M
54,BID,2014-01-01 09:15,24.80,53.75,8.1,M,0.0,10.00,M,BKN,OVC,M
55,BID,2014-01-01 09:35,26.60,49.88,11.5,M,0.0,10.00,17.3,BKN,OVC,M
56,PVD,2014-01-01 09:51,19.94,49.19,6.9,1026.40,0.0,10.00,M,CLR,M,M
57,UUU,2014-01-01 09:53,21.92,47.52,11.5,1026.50,0.0,10.00,M,CLR,M,M
58,WST,2014-01-01 09:53,19.94,61.85,0.0,1027.20,0.0,10.00,M,CLR,M,M
59,BID,2014-01-01 09:55,26.60,49.88,10.4,M,0.0,10.00,M,OVC,M,M
60,BID,2014-01-01 10:15,26.60,46.02,11.5,M,0.0,10.00,18.4,BKN,M,M
61,BID,2014-01-01 10:35,24.80,49.59,6.9,M,0.0,10.00,M,FEW,M,M
62,PVD,2014-01-01 10:51,17.96,59.10,6.9,1026.70,0.0,10.00,M,CLR,M,M
63,WST,2014-01-01 10:53,15.98,80.13,0.0,1027.80,0.0,10.00,M,CLR,M,M
64,UUU,2014-01-01 10:53,21.02,54.03,5.8,1026.70,0.0,10.00,M,CLR,M,M
65,BID,2014-01-01 10:55,24.80,49.59,8.1,M,0.0,10.00,17.3,SCT,M,M
66,BID,2014-01-01 11:15,24.80,49.59,9.2,M,0.0,10.00,17.3,SCT,M,M
67,BID,2014-01-01 11:35,26.60,49.88,10.4,M,0.0,10.00,M,FEW,M,M
68,PVD,2014-01-01 11:51,19.04,56.43,6.9,1027.70,0.0,10.00,M,FEW,SCT,BKN
69,WST,2014-01-01 11:53,21.02,59.08,0.0,1028.30,0.0,10.00,M,CLR,M,M
70,UUU,2014-01-01 11:53,23.00,52.18,8.1,1027.40,0.0,10.00,M,CLR,M,M
71,BID,2014-01-01 11:55,26.60,49.88,12.7,M,0.0,10.00,M,CLR,M,M
72,BID,2014-01-01 12:15,26.60,49.88,11.5,M,0.0,10.00,M,CLR,M,M
73,BID,2014-01-01 12:35,26.60,42.42,10.4,M,0.0,10.00,M,FEW,M,M
74,PVD,2014-01-01 12:51,19.94,56.56,5.8,1028.40,0.0,10.00,M,FEW,SCT,BKN
75,UUU,2014-01-01 12:53,23.00,52.18,4.6,1027.90,0.0,10.00,M,CLR,M,M
