,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,PIR,2014-01-01 00:09,3.20,84.56,15.0,M,0.0,2.00,M,SCT,OVC,M
1,SPF,2014-01-01 00:15,23.00,92.69,5.8,M,0.02,3.00,M,FEW,SCT,M
2,YKN,2014-01-01 00:15,8.60,71.92,11.5,M,0.0,10.00,M,OVC,M,M
3,MDS,2014-01-01 00:30,-2.20,77.14,13.8,M,0.0,10.00,M,OVC,M,M
4,PIR,2014-01-01 00:33,3.20,84.56,16.1,M,0.0,4.00,M,FEW,OVC,M
5,SPF,2014-01-01 00:35,23.00,100.00,5.8,M,0.04,4.00,M,FEW,SCT,M
6,YKN,2014-01-01 00:35,6.80,78.01,12.7,M,0.0,10.00,M,OVC,M,M
7,PHP,2014-01-01 00:38,12.20,78.51,11.5,M,0.0,2.50,M,OVC,M,M
8,MBG,2014-01-01 00:42,-5.80,76.77,10.4,M,0.01,2.00,M,OVC,M,M
9,PHP,2014-01-01 00:47,12.20,78.51,9.2,M,0.0,1.25,M,OVC,M,M
10,PIR,2014-01-01 00:50,3.20,84.56,13.8,M,0.0,7.00,M,BKN,OVC,M
11,MDS,2014-01-01 00:50,-4.00,84.04,15.0,M,0.0,10.00,M,OVC,M,M
12,9V9,2014-01-01 00:52,6.98,76.09,13.8,1025.50,0.0,M,M,M,M,M
13,IEN,2014-01-01 00:52,26.96,88.73,4.6,1015.10,0.0,10.00,M,CLR,M,M
14,RAP,2014-01-01 00:52,14.00,87.36,12.7,1018.30,0.0,10.00,M,FEW,OVC,M
15,MBG,2014-01-01 00:52,-5.08,74.82,11.5,1027.10,0.01,1.75,M,OVC,M,M
16,ABR,2014-01-01 00:53,-11.92,73.38,13.8,1030.80,0.0,10.00,M,OVC,M,M
17,PIR,2014-01-01 00:53,3.02,83.12,15.0,1024.90,0.0,8.00,M,BKN,OVC,M
18,ATY,2014-01-01 00:53,-13.00,73.94,6.9,1029.00,0.0,10.00,M,OVC,M,M
19,CUT,2014-01-01 00:53,32.00,69.04,0.0,1012.30,0.0,10.00,M,CLR,M,M
20,MHE,2014-01-01 00:53,5.00,72.11,11.5,1028.10,0.0,10.00,M,OVC,M,M
21,ICR,2014-01-01 00:53,10.94,76.49,12.7,1023.20,0.0,10.00,M,OVC,M,M
22,YKN,2014-01-01 00:55,6.80,78.01,11.5,M,0.0,10.00,M,OVC,M,M
23,SPF,2014-01-01 00:55,21.20,92.63,8.1,M,0.07,4.00,M,FEW,M,M
24,HON,2014-01-01 00:55,-2.02,68.20,10.4,1028.70,0.0,10.00,M,OVC,M,M
25,PHP,2014-01-01 00:55,10.94,83.71,10.4,1021.50,0.01,2.00,M,BKN,OVC,M
26,2WX,2014-01-01 00:56,6.98,83.42,16.1,1018.50,0.01,M,M,M,M,M
27,FSD,2014-01-01 00:56,1.04,71.65,13.8,1028.00,0.0,9.00,M,SCT,OVC,M
28,D07,2014-01-01 00:56,1.94,83.04,11.5,1023.80,0.01,M,M,M,M,M
29,8D3,2014-01-01 00:56,-16.96,77.04,3.5,1034.50,0.0,M,M,M,M,M
30,RCA,2014-01-01 00:58,15.08,86.04,9.2,1018.50,0.0,10.00,M,FEW,OVC,M
31,PHP,2014-01-01 01:09,10.40,85.05,11.5,M,0.0,1.75,M,BKN,OVC,M
32,MDS,2014-01-01 01:10,-4.00,84.04,15.0,M,0.0,10.00,M,FEW,OVC,M
33,PIR,2014-01-01 01:10,3.20,84.56,12.7,M,0.0,1.75,M,OVC,M,M
34,YKN,2014-01-01 01:15,6.80,78.01,12.7,M,0.0,10.00,M,OVC,M,M
35,SPF,2014-01-01 01:15,19.40,92.57,6.9,M,0.02,5.00,M,BKN,M,M
36,PHP,2014-01-01 01:17,10.40,85.05,12.7,M,0.0,3.00,M,SCT,BKN,OVC
37,PHP,2014-01-01 01:27,10.40,85.05,10.4,M,0.01,1.75,M,BKN,BKN,OVC
38,MDS,2014-01-01 01:30,-4.00,84.04,13.8,M,0.0,10.00,M,SCT,OVC,M
39,PIR,2014-01-01 01:31,1.40,84.43,17.3,M,0.0,0.75,M,VV ,M,M
40,PHP,2014-01-01 01:34,10.40,85.05,12.7,M,0.01,0.75,M,BKN,BKN,OVC
41,SPF,2014-01-01 01:35,17.60,100.00,9.2,M,0.48,1.50,M,OVC,M,M
42,YKN,2014-01-01 01:35,6.80,78.01,12.7,M,0.0,10.00,M,OVC,M,M
43,PHP,2014-01-01 01:45,10.40,85.05,11.5,M,0.03,1.50,M,SCT,OVC,M
44,MDS,2014-01-01 01:50,-4.00,84.04,12.7,M,0.0,10.00,M,FEW,OVC,M
45,PHP,2014-01-01 01:50,10.40,85.05,11.5,M,0.03,2.00,M,SCT,OVC,M
46,RCA,2014-01-01 01:52,15.80,85.40,6.9,M,0.0,10.00,M,FEW,SCT,BKN
47,RAP,2014-01-01 01:52,15.08,83.33,3.5,1019.20,0.0,10.00,M,FEW,BKN,OVC
48,IEN,2014-01-01 01:52,26.96,84.80,4.6,1015.30,0.0,10.00,M,CLR,M,M
49,MBG,2014-01-01 01:52,-7.06,74.60,10.4,1027.20,0.02,1.75,M,OVC,M,M
50,9V9,2014-01-01 01:52,6.98,76.09,12.7,1025.20,0.01,M,M,M,M,M
51,CUT,2014-01-01 01:53,32.00,65.97,3.5,1012.60,0.0,10.00,M,CLR,M,M
52,ABR,2014-01-01 01:53,-11.92,73.38,10.4,1031.00,0.0,10.00,M,OVC,M,M
53,PIR,2014-01-01 01:53,1.04,82.97,19.6,1025.00,0.0,0.75,M,VV ,M,M
54,MHE,2014-01-01 01:53,3.92,75.78,13.8,1027.30,0.0,10.00,M,OVC,M,M
55,ICR,2014-01-01 01:53,10.94,76.49,13.8,1022.50,0.0,10.00,M,OVC,M,M
56,ATY,2014-01-01 01:53,-11.92,73.38,8.1,1029.40,0.0,10.00,M,OVC,M,M
57,PHP,2014-01-01 01:55,10.94,83.71,12.7,1021.30,0.03,1.50,M,FEW,OVC,M
58,HON,2014-01-01 01:55,-2.92,71.17,12.7,1028.20,0.0,8.00,M,SCT,OVC,M
59,SPF,2014-01-01 01:55,19.40,92.57,4.6,M,0.69,2.50,M,SCT,BKN,M
60,YKN,2014-01-01 01:55,6.80,71.71,10.4,M,0.0,10.00,M,OVC,M,M
61,8D3,2014-01-01 01:56,-14.98,77.24,9.2,1034.60,0.0,M,M,M,M,M
62,FSD,2014-01-01 01:56,-0.94,78.62,10.4,1028.40,0.0,9.00,M,OVC,M,M
63,2WX,2014-01-01 01:56,6.98,79.35,11.5,1019.20,0.0,M,M,M,M,M
64,D07,2014-01-01 01:56,1.94,83.04,9.2,1024.30,0.03,M,M,M,M,M
65,RCA,2014-01-01 01:58,15.08,86.04,5.8,1019.10,0.0,10.00,M,SCT,BKN,BKN
66,PIR,2014-01-01 02:00,1.40,77.49,17.3,M,0.0,1.00,M,VV ,M,M
67,RCA,2014-01-01 02:01,15.80,85.40,6.9,M,0.0,10.00,M,BKN,BKN,BKN
68,RCA,2014-01-01 02:02,15.80,85.40,6.9,M,0.0,10.00,M,FEW,BKN,BKN
69,MBG,2014-01-01 02:03,-7.60,76.59,12.7,M,0.0,2.00,M,OVC,M,M
70,MHE,2014-01-01 02:05,3.20,77.67,13.8,M,0.0,10.00,M,OVC,M,M
71,RCA,2014-01-01 02:07,15.80,85.40,6.9,M,0.0,10.00,M,FEW,SCT,BKN
72,PHP,2014-01-01 02:10,10.40,85.05,10.4,M,0.0,2.50,M,OVC,M,M
73,MDS,2014-01-01 02:10,-5.80,83.91,13.8,M,0.0,10.00,M,OVC,M,M
74,SPF,2014-01-01 02:15,19.40,92.57,3.5,M,0.05,3.00,M,SCT,BKN,M
75,YKN,2014-01-01 02:15,6.80,71.71,12.7,M,0.0,10.00,M,OVC,M,M
76,MBG,2014-01-01 02:17,-5.80,70.19,13.8,M,0.0,3.00,M,OVC,M,M
77,RCA,2014-01-01 02:17,15.80,85.40,4.6,M,0.0,10.00,M,SCT,BKN,OVC
78,RCA,2014-01-01 02:27,15.80,85.40,5.8,M,0.0,4.00,M,BKN,BKN,BKN
79,PIR,2014-01-01 02:29,-0.40,84.30,18.4,M,0.01,0.75,M,VV ,M,M
80,PHP,2014-01-01 02:30,10.40,85.05,11.5,M,0.01,1.25,M,BKN,OVC,M
81,MDS,2014-01-01 02:30,-5.80,83.91,16.1,M,0.0,10.00,M,OVC,M,M
82,ICR,2014-01-01 02:34,10.40,78.35,11.5,M,0.0,2.50,M,OVC,M,M
83,PHP,2014-01-01 02:34,10.40,85.05,10.4,M,0.02,0.75,M,BKN,OVC,M
84,SPF,2014-01-01 02:35,15.80,92.44,3.5,M,0.07,4.00,M,BKN,BKN,BKN
85,YKN,2014-01-01 02:35,6.80,78.01,11.5,M,0.0,10.00,M,OVC,M,M
86,RAP,2014-01-01 02:43,15.80,85.40,4.6,M,0.0,5.00,M,BKN,BKN,OVC
87,ABR,2014-01-01 02:45,-11.20,69.50,10.4,M,0.0,2.50,M,OVC,M,M
88,RCA,2014-01-01 02:47,15.80,85.40,4.6,M,0.0,5.00,M,SCT,SCT,OVC
89,MDS,2014-01-01 02:50,-5.80,83.91,15.0,M,0.0,10.00,M,OVC,M,M
90,PHP,2014-01-01 02:50,10.94,83.71,11.5,1021.90,0.03,2.50,M,BKN,OVC,M
91,9V9,2014-01-01 02:52,6.08,79.27,15.0,1025.00,0.0,M,M,M,M,M
92,RAP,2014-01-01 02:52,15.08,87.42,4.6,1019.70,0.0,5.00,M,SCT,OVC,M
93,MBG,2014-01-01 02:52,-7.06,74.60,8.1,1027.70,0.0,3.00,M,OVC,M,M
94,IEN,2014-01-01 02:52,26.06,84.10,0.0,1015.10,0.0,10.00,M,CLR,M,M
95,ICR,2014-01-01 02:53,10.04,79.62,12.7,1022.90,0.0,2.00,M,OVC,M,M
96,PIR,2014-01-01 02:53,-0.94,82.11,16.1,1025.30,0.01,1.00,M,VV ,M,M
97,ATY,2014-01-01 02:53,-11.02,70.17,8.1,1029.40,0.0,10.00,M,SCT,OVC,M
98,ABR,2014-01-01 02:53,-11.92,73.38,11.5,1031.00,0.0,2.00,M,OVC,M,M
99,MHE,2014-01-01 02:53,3.02,75.68,11.5,1027.00,0.0,10.00,M,OVC,M,M
100,CUT,2014-01-01 02:53,30.92,72.12,0.0,1011.60,0.0,10.00,M,FEW,BKN,M
101,MBG,2014-01-01 02:55,-7.60,76.59,10.4,M,0.0,2.50,M,OVC,M,M
102,HON,2014-01-01 02:55,-4.00,71.04,13.8,1028.40,0.0,5.00,M,OVC,M,M
103,PHP,2014-01-01 02:55,10.40,85.05,13.8,M,0.0,4.00,M,SCT,OVC,M
104,YKN,2014-01-01 02:55,5.00,77.84,15.0,M,0.0,10.00,M,OVC,M,M
105,SPF,2014-01-01 02:55,15.80,92.44,0.0,M,0.11,3.00,M,BKN,OVC,M
106,2WX,2014-01-01 02:56,6.98,79.35,11.5,1020.10,0.0,M,M,M,M,M
107,8D3,2014-01-01 02:56,-14.98,73.71,6.9,1034.80,0.0,M,M,M,M,M
108,D07,2014-01-01 02:56,1.94,79.57,11.5,1024.00,0.0,M,M,M,M,M
