,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,MRC,2014-01-01 00:15,33.80,80.36,5.8,M,0.0,10.00,M,CLR,M,M
1,BGF,2014-01-01 00:15,28.40,86.18,0.0,M,0.0,10.00,M,CLR,M,M
2,0A9,2014-01-01 00:15,26.60,79.77,0.0,M,0.0,10.00,M,CLR,M,M
3,UCY,2014-01-01 00:15,28.40,86.18,5.8,M,0.0,10.00,M,CLR,M,M
4,DYR,2014-01-01 00:15,37.40,51.61,6.9,M,0.0,10.00,M,CLR,M,M
5,THA,2014-01-01 00:15,30.20,74.26,0.0,M,0.0,10.00,M,CLR,M,M
6,SRB,2014-01-01 00:15,26.60,79.77,0.0,M,0.0,10.00,M,CLR,M,M
7,RZR,2014-01-01 00:15,28.40,86.18,0.0,M,0.0,10.00,M,CLR,M,M
8,MMI,2014-01-01 00:15,28.40,86.18,0.0,M,0.0,10.00,M,CLR,M,M
9,BGF,2014-01-01 00:35,26.60,92.80,0.0,M,0.0,10.00,M,CLR,M,M
10,UCY,2014-01-01 00:35,30.20,80.07,5.8,M,0.0,10.00,M,CLR,M,M
11,MMI,2014-01-01 00:35,28.40,86.18,0.0,M,0.0,10.00,M,CLR,M,M
12,0A9,2014-01-01 00:35,24.80,85.96,0.0,M,0.0,10.00,M,CLR,M,M
13,MRC,2014-01-01 00:35,33.80,80.36,5.8,M,0.0,10.00,M,CLR,M,M
14,RZR,2014-01-01 00:35,28.40,86.18,0.0,M,0.0,10.00,M,CLR,M,M
15,THA,2014-01-01 00:35,26.60,86.07,3.5,M,0.0,10.00,M,CLR,M,M
16,SRB,2014-01-01 00:35,24.80,85.96,3.5,M,0.0,10.00,M,CLR,M,M
17,DYR,2014-01-01 00:35,37.40,47.80,3.5,M,0.0,10.00,M,CLR,M,M
18,NQA,2014-01-01 00:50,37.40,69.67,3.5,M,0.0,10.00,M,FEW,M,M
19,CKV,2014-01-01 00:52,33.08,63.17,3.5,1028.00,0.0,10.00,M,CLR,M,M
20,TYS,2014-01-01 00:53,32.00,69.04,0.0,1028.90,0.0,10.00,M,BKN,M,M
21,BNA,2014-01-01 00:53,33.98,63.77,3.5,1029.20,0.0,10.00,M,CLR,M,M
22,TRI,2014-01-01 00:53,28.94,68.68,0.0,1028.50,0.0,10.00,M,CLR,M,M
23,MKL,2014-01-01 00:53,30.02,78.27,0.0,1028.00,0.0,10.00,M,CLR,M,M
24,OQT,2014-01-01 00:53,32.00,75.00,0.0,1030.60,0.0,10.00,M,CLR,M,M
25,CHA,2014-01-01 00:53,32.00,81.42,0.0,1029.70,0.0,10.00,M,BKN,M,M
26,CSV,2014-01-01 00:53,30.02,71.48,0.0,1029.00,0.0,10.00,M,CLR,M,M
27,MEM,2014-01-01 00:54,37.94,69.73,8.1,1028.30,0.0,10.00,M,CLR,M,M
