,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,SGU,2014-01-01 00:15,51.80,34.69,0.0,M,0.0,10.00,M,CLR,M,M
1,ENV,2014-01-01 00:15,26.60,79.77,0.0,M,0.0,7.00,M,SCT,OVC,M
2,36U,2014-01-01 00:15,32.00,80.22,3.5,M,0.0,10.00,M,SCT,OVC,M
3,SGU,2014-01-01 00:35,50.00,37.08,0.0,M,0.0,10.00,M,CLR,M,M
4,ENV,2014-01-01 00:35,26.60,79.77,3.5,M,0.0,8.00,M,OVC,M,M
5,36U,2014-01-01 00:35,32.00,80.22,0.0,M,0.0,10.00,M,SCT,OVC,M
6,PVU,2014-01-01 00:47,33.80,69.25,0.0,M,0.0,10.00,M,BKN,M,M
7,HIF,2014-01-01 00:48,32.00,74.44,9.2,M,0.0,9.00,M,OVC,M,M
8,LGU,2014-01-01 00:51,30.02,71.48,5.8,1024.50,0.0,6.00,M,SCT,OVC,M
9,MLF,2014-01-01 00:52,35.06,72.03,6.9,1023.50,0.0,10.00,M,OVC,M,M
10,CDC,2014-01-01 00:53,39.02,59.37,0.0,1023.00,0.0,10.00,M,OVC,M,M
11,CNY,2014-01-01 00:53,26.96,78.00,0.0,1027.30,0.0,10.00,M,SCT,M,M
12,VEL,2014-01-01 00:53,17.96,80.29,6.9,1028.60,0.0,6.00,M,FEW,SCT,BKN
13,OGD,2014-01-01 00:53,30.02,78.27,0.0,1024.40,0.0,3.00,M,BKN,BKN,OVC
14,SLC,2014-01-01 00:53,32.00,78.45,6.9,1024.60,0.0,4.00,M,BKN,BKN,M
15,BCE,2014-01-01 00:53,39.92,44.33,8.1,1022.70,0.0,10.00,M,OVC,M,M
16,PUC,2014-01-01 00:53,33.08,44.92,0.0,1027.20,0.0,10.00,M,OVC,M,M
17,SGU,2014-01-01 00:55,48.20,42.73,0.0,M,0.0,10.00,M,CLR,M,M
18,ENV,2014-01-01 00:55,26.60,79.77,0.0,M,0.0,9.00,M,BKN,M,M
19,36U,2014-01-01 00:55,32.00,80.22,0.0,M,0.0,10.00,M,OVC,M,M
20,HIF,2014-01-01 00:58,30.02,79.46,5.8,1024.30,0.0,7.00,M,OVC,M,M
21,ENV,2014-01-01 01:15,26.60,73.89,4.6,M,0.0,8.00,M,CLR,M,M
22,SGU,2014-01-01 01:15,48.20,39.66,0.0,M,0.0,10.00,M,CLR,M,M
23,36U,2014-01-01 01:15,32.00,80.22,3.5,M,0.0,10.00,M,SCT,OVC,M
24,SGU,2014-01-01 01:35,46.40,42.44,0.0,M,0.0,10.00,M,CLR,M,M
25,ENV,2014-01-01 01:35,24.80,79.62,3.5,M,0.0,8.00,M,CLR,M,M
26,36U,2014-01-01 01:35,32.00,80.22,0.0,M,0.0,10.00,M,OVC,M,M
27,PVU,2014-01-01 01:47,33.80,64.23,0.0,M,0.0,10.00,M,BKN,OVC,M
28,LGU,2014-01-01 01:51,30.02,71.48,4.6,1024.80,0.0,7.00,M,OVC,M,M
29,MLF,2014-01-01 01:52,32.00,81.42,6.9,1024.00,0.0,10.00,M,OVC,M,M
30,CNY,2014-01-01 01:53,24.08,83.96,0.0,1027.40,0.0,10.00,M,FEW,M,M
