,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,BTV,2014-01-01 00:00,15.80,78.84,11.5,M,0.0,1.25,M,OVC,M,M
1,MPV,2014-01-01 00:01,8.60,92.19,0.0,M,0.0,1.75,M,OVC,M,M
2,MPV,2014-01-01 00:10,10.40,85.05,0.0,M,0.0,2.00,M,OVC,M,M
3,BTV,2014-01-01 00:11,15.98,80.13,6.9,M,0.0,2.00,M,BKN,OVC,M
4,MVL,2014-01-01 00:14,10.40,85.05,3.5,M,0.0,1.50,M,OVC,M,M
5,CDA,2014-01-01 00:15,7.52,81.40,3.5,M,0.0,1.75,M,BKN,BKN,OVC
6,FSO,2014-01-01 00:15,15.80,82.06,6.9,M,0.0,1.25,M,OVC,M,M
7,RUT,2014-01-01 00:15,19.40,73.13,10.4,M,0.0,7.00,20.7,BKN,BKN,OVC
8,EFK,2014-01-01 00:15,9.32,73.83,6.9,M,0.0,7.00,M,SCT,BKN,OVC
9,6B0,2014-01-01 00:15,16.88,88.91,3.5,M,0.0,10.00,M,SCT,SCT,BKN
10,BTV,2014-01-01 00:20,15.98,80.13,9.2,M,0.0,6.00,M,FEW,BKN,OVC
11,MPV,2014-01-01 00:27,10.40,85.05,0.0,M,0.0,2.50,M,OVC,M,M
12,BTV,2014-01-01 00:30,15.80,78.84,6.9,M,0.0,9.00,M,FEW,BKN,OVC
13,CDA,2014-01-01 00:35,7.34,82.07,0.0,M,0.0,3.00,M,SCT,BKN,OVC
14,FSO,2014-01-01 00:35,17.06,84.14,5.8,M,0.0,2.00,M,BKN,BKN,OVC
15,EFK,2014-01-01 00:35,10.22,72.10,5.8,M,0.0,5.00,M,SCT,BKN,OVC
16,6B0,2014-01-01 00:35,16.88,88.21,3.5,M,0.0,10.00,M,SCT,BKN,BKN
17,RUT,2014-01-01 00:35,19.40,73.13,11.5,M,0.0,8.00,21.9,OVC,M,M
18,MPV,2014-01-01 00:46,8.60,92.19,0.0,M,0.0,4.00,M,BKN,M,M
19,MPV,2014-01-01 00:51,8.96,87.79,0.0,1019.00,0.0,6.00,M,BKN,M,M
20,VSF,2014-01-01 00:54,8.96,87.79,0.0,1019.00,0.0,10.00,M,SCT,SCT,M
21,BTV,2014-01-01 00:54,15.08,83.33,5.8,1018.30,0.0,10.00,M,SCT,BKN,OVC
22,1V4,2014-01-01 00:54,10.04,79.62,M,1018.40,0.0,M,M,M,M,M
23,MVL,2014-01-01 00:54,10.94,83.71,4.6,1018.20,0.0,1.25,M,OVC,M,M
24,DDH,2014-01-01 00:54,19.94,56.56,10.4,1019.90,0.0,10.00,24.2,CLR,M,M
25,EFK,2014-01-01 00:55,10.40,75.18,8.1,M,0.0,2.00,M,BKN,OVC,M
26,RUT,2014-01-01 00:55,19.40,73.13,18.4,M,0.0,5.00,26.5,SCT,OVC,M
27,FSO,2014-01-01 00:55,17.42,82.18,0.0,M,0.0,4.00,M,SCT,BKN,OVC
28,CDA,2014-01-01 00:55,7.52,82.08,0.0,M,0.0,1.50,M,OVC,M,M
29,6B0,2014-01-01 00:55,16.52,86.13,0.0,M,0.0,10.00,M,SCT,BKN,M
30,MPV,2014-01-01 01:00,8.60,92.19,3.5,M,0.0,6.00,M,BKN,M,M
31,BTV,2014-01-01 01:04,15.98,80.13,3.5,M,0.0,10.00,M,FEW,SCT,SCT
32,MPV,2014-01-01 01:09,10.40,85.05,6.9,M,0.0,10.00,M,BKN,BKN,M
33,FSO,2014-01-01 01:15,15.98,83.39,3.5,M,0.0,10.00,M,SCT,BKN,BKN
34,6B0,2014-01-01 01:15,15.44,93.16,0.0,M,0.0,10.00,M,SCT,SCT,M
35,RUT,2014-01-01 01:15,19.40,73.13,13.8,M,0.0,2.50,20.7,SCT,OVC,M
36,EFK,2014-01-01 01:15,10.40,75.18,8.1,M,0.0,2.50,M,OVC,M,M
37,CDA,2014-01-01 01:15,7.52,82.08,0.0,M,0.0,1.75,M,BKN,OVC,M
38,MPV,2014-01-01 01:19,12.20,78.51,5.8,M,0.0,9.00,M,BKN,BKN,M
39,MVL,2014-01-01 01:22,12.20,85.17,0.0,M,0.01,2.00,M,SCT,SCT,OVC
40,MPV,2014-01-01 01:31,12.20,78.51,8.1,M,0.0,10.00,M,BKN,OVC,M
41,MVL,2014-01-01 01:33,12.20,85.17,0.0,M,0.01,3.00,M,OVC,M,M
42,RUT,2014-01-01 01:35,17.60,79.00,8.1,M,0.0,2.50,M,FEW,OVC,M
43,FSO,2014-01-01 01:35,15.80,82.06,0.0,M,0.0,10.00,M,SCT,SCT,SCT
44,EFK,2014-01-01 01:35,10.04,76.40,4.6,M,0.0,4.00,M,SCT,BKN,OVC
45,6B0,2014-01-01 01:35,14.90,96.14,0.0,M,0.0,10.00,M,SCT,M,M
46,CDA,2014-01-01 01:35,7.70,81.42,0.0,M,0.0,1.25,M,BKN,OVC,M
47,MPV,2014-01-01 01:51,15.08,66.96,9.2,1019.40,0.0,10.00,18.4,BKN,OVC,M
48,VSF,2014-01-01 01:54,19.94,59.40,12.7,1019.40,0.0,10.00,20.7,BKN,OVC,M
49,DDH,2014-01-01 01:54,19.04,53.71,12.7,1020.70,0.01,10.00,31.1,CLR,M,M
50,1V4,2014-01-01 01:54,8.96,83.56,M,1019.10,0.0,M,M,M,M,M
51,BTV,2014-01-01 01:54,14.00,79.96,4.6,1018.90,0.0,10.00,M,FEW,SCT,M
52,MVL,2014-01-01 01:54,12.92,80.52,3.5,1018.60,0.01,9.00,M,BKN,OVC,M
53,6B0,2014-01-01 01:55,14.00,96.12,0.0,M,0.0,10.00,M,SCT,BKN,M
54,EFK,2014-01-01 01:55,10.40,77.70,3.5,M,0.0,3.00,M,SCT,BKN,OVC
55,FSO,2014-01-01 01:55,13.10,83.19,0.0,M,0.0,10.00,M,SCT,M,M
56,CDA,2014-01-01 01:55,7.52,82.08,0.0,M,0.0,1.25,M,BKN,BKN,OVC
57,RUT,2014-01-01 01:55,17.60,92.50,18.4,M,0.0,0.50,25.3,OVC,M,M
58,FSO,2014-01-01 02:15,12.92,81.84,0.0,M,0.0,4.00,M,SCT,SCT,BKN
59,EFK,2014-01-01 02:15,10.40,78.35,0.0,M,0.0,3.00,M,OVC,M,M
60,6B0,2014-01-01 02:15,14.72,96.90,0.0,M,0.0,10.00,M,SCT,OVC,M
61,RUT,2014-01-01 02:15,15.80,92.44,8.1,M,0.0,0.50,M,OVC,M,M
62,MPV,2014-01-01 02:15,14.00,72.53,8.1,M,0.0,10.00,M,SCT,M,M
63,CDA,2014-01-01 02:15,6.98,82.73,0.0,M,0.0,3.00,M,SCT,BKN,OVC
64,FSO,2014-01-01 02:35,10.76,80.34,0.0,M,0.0,10.00,M,SCT,SCT,SCT
65,6B0,2014-01-01 02:35,15.80,92.44,0.0,M,0.0,10.00,M,SCT,BKN,OVC
66,RUT,2014-01-01 02:35,15.80,85.40,10.4,M,0.0,1.50,17.3,BKN,OVC,M
67,CDA,2014-01-01 02:35,6.80,82.71,0.0,M,0.0,5.00,M,SCT,BKN,OVC
68,EFK,2014-01-01 02:35,11.30,78.43,0.0,M,0.0,4.00,M,OVC,M,M
69,MPV,2014-01-01 02:51,14.00,70.19,8.1,1020.00,0.0,10.00,M,SCT,OVC,M
70,DDH,2014-01-01 02:54,17.96,51.36,6.9,1021.50,0.0,10.00,M,CLR,M,M
71,1V4,2014-01-01 02:54,8.96,83.56,M,1019.40,0.0,M,M,M,M,M
72,BTV,2014-01-01 02:54,19.04,53.71,12.7,1019.20,0.0,10.00,26.5,FEW,M,M
73,VSF,2014-01-01 02:54,19.04,58.78,13.8,1020.30,0.0,10.00,20.7,BKN,OVC,M
74,MVL,2014-01-01 02:54,17.96,59.10,11.5,1019.10,0.0,10.00,23.0,BKN,BKN,OVC
75,6B0,2014-01-01 02:55,15.44,88.84,0.0,M,0.0,10.00,M,BKN,BKN,M
76,EFK,2014-01-01 02:55,15.80,70.41,11.5,M,0.0,5.00,M,BKN,OVC,M
77,RUT,2014-01-01 02:55,15.80,78.84,9.2,M,0.0,10.00,20.7,FEW,FEW,M
78,CDA,2014-01-01 02:55,7.16,82.74,0.0,M,0.0,4.00,M,SCT,SCT,OVC
79,FSO,2014-01-01 02:55,9.50,78.91,4.6,M,0.0,7.00,M,BKN,BKN,BKN
80,EFK,2014-01-01 03:15,15.80,72.73,6.9,M,0.0,2.00,M,BKN,OVC,M
81,FSO,2014-01-01 03:15,7.16,78.05,5.8,M,0.0,3.00,M,SCT,SCT,BKN
82,CDA,2014-01-01 03:15,7.88,83.48,0.0,M,0.0,5.00,M,SCT,SCT,OVC
83,RUT,2014-01-01 03:15,15.80,78.84,10.4,M,0.0,10.00,17.3,FEW,M,M
84,6B0,2014-01-01 03:15,15.26,90.97,0.0,M,0.0,10.00,M,OVC,M,M
85,VSF,2014-01-01 03:34,17.96,67.33,8.1,M,0.0,5.00,M,OVC,M,M
86,EFK,2014-01-01 03:35,16.34,69.90,6.9,M,0.0,5.00,19.6,SCT,BKN,OVC
87,CDA,2014-01-01 03:35,8.42,82.15,0.0,M,0.0,2.00,M,BKN,OVC,M
88,6B0,2014-01-01 03:35,15.80,86.77,0.0,M,0.0,10.00,M,SCT,BKN,OVC
89,RUT,2014-01-01 03:35,17.60,67.28,12.7,M,0.0,10.00,17.3,BKN,M,M
90,FSO,2014-01-01 03:35,6.44,78.63,0.0,M,0.0,10.00,M,SCT,SCT,M
91,MPV,2014-01-01 03:51,15.08,63.73,11.5,1020.60,0.0,10.00,19.6,OVC,M,M
92,1V4,2014-01-01 03:54,10.04,83.64,M,1019.80,0.01,M,M,M,M,M
93,DDH,2014-01-01 03:54,17.06,48.70,8.1,1022.00,0.0,10.00,M,CLR,M,M
94,VSF,2014-01-01 03:54,17.96,64.65,5.8,1020.90,0.0,10.00,M,BKN,OVC,M
95,MVL,2014-01-01 03:54,17.06,53.39,6.9,1019.80,0.0,10.00,M,OVC,M,M
96,BTV,2014-01-01 03:54,17.96,51.36,10.4,1020.00,0.0,10.00,25.3,CLR,M,M
97,RUT,2014-01-01 03:55,15.80,72.73,16.1,M,0.0,5.00,23.0,FEW,FEW,OVC
98,6B0,2014-01-01 03:55,15.62,87.45,0.0,M,0.0,10.00,M,SCT,SCT,OVC
99,FSO,2014-01-01 03:55,3.38,77.69,0.0,M,0.0,10.00,M,CLR,M,M
100,CDA,2014-01-01 03:55,9.50,82.92,0.0,M,0.0,1.50,M,BKN,OVC,M
101,EFK,2014-01-01 03:55,14.90,75.03,12.7,M,0.0,1.50,21.9,BKN,OVC,M
102,FSO,2014-01-01 04:15,5.00,81.20,3.5,M,0.0,10.00,M,CLR,M,M
103,CDA,2014-01-01 04:15,8.78,84.24,3.5,M,0.0,2.00,M,BKN,OVC,M
104,RUT,2014-01-01 04:15,15.80,72.73,5.8,M,0.0,9.00,M,FEW,BKN,OVC
105,EFK,2014-01-01 04:15,13.82,70.17,11.5,M,0.0,3.00,19.6,OVC,M,M
106,6B0,2014-01-01 04:15,15.80,86.77,0.0,M,0.0,10.00,M,SCT,BKN,OVC
107,EFK,2014-01-01 04:35,12.92,70.07,11.5,M,0.0,5.00,M,BKN,BKN,OVC
108,CDA,2014-01-01 04:35,9.32,82.90,0.0,M,0.0,4.00,M,SCT,SCT,OVC
109,RUT,2014-01-01 04:35,14.00,72.53,6.9,M,0.0,10.00,M,SCT,SCT,M
110,6B0,2014-01-01 04:35,16.34,86.11,0.0,M,0.0,10.00,M,OVC,M,M
111,FSO,2014-01-01 04:35,7.52,80.73,0.0,M,0.0,10.00,M,CLR,M,M
112,MPV,2014-01-01 04:51,14.00,66.82,6.9,1020.90,0.0,10.00,M,FEW,SCT,OVC
113,1V4,2014-01-01 04:54,10.04,83.64,M,1020.10,0.0,M,M,M,M,M
114,DDH,2014-01-01 04:54,15.08,50.46,5.8,1022.50,0.0,10.00,M,CLR,M,M
115,BTV,2014-01-01 04:54,12.92,73.61,4.6,1020.70,0.0,10.00,M,FEW,SCT,M
116,MVL,2014-01-01 04:54,15.08,63.73,6.9,1020.40,0.0,10.00,19.6,OVC,M,M
117,VSF,2014-01-01 04:54,15.98,61.29,9.2,1021.50,0.0,10.00,M,BKN,M,M
118,FSO,2014-01-01 04:55,5.72,79.90,0.0,M,0.0,10.00,M,CLR,M,M
119,RUT,2014-01-01 04:55,14.00,66.82,9.2,M,0.0,10.00,M,CLR,M,M
120,EFK,2014-01-01 04:55,11.48,70.47,4.6,M,0.0,10.00,M,SCT,SCT,SCT
121,6B0,2014-01-01 04:55,16.70,80.19,0.0,M,0.0,10.00,M,SCT,BKN,OVC
122,CDA,2014-01-01 04:55,11.30,79.73,5.8,M,0.0,4.00,M,SCT,BKN,OVC
123,RUT,2014-01-01 05:15,14.00,66.82,6.9,M,0.0,10.00,M,CLR,M,M
124,FSO,2014-01-01 05:15,3.20,79.68,0.0,M,0.0,10.00,M,SCT,M,M
125,EFK,2014-01-01 05:15,10.22,73.31,5.8,M,0.0,10.00,M,CLR,M,M
126,CDA,2014-01-01 05:15,10.94,76.49,3.5,M,0.0,10.00,M,SCT,SCT,BKN
127,6B0,2014-01-01 05:15,17.24,75.87,0.0,M,0.0,10.00,M,SCT,BKN,OVC
128,RUT,2014-01-01 05:35,14.00,61.51,11.5,M,0.0,10.00,M,CLR,M,M
129,FSO,2014-01-01 05:35,-0.58,78.65,0.0,M,0.0,10.00,M,CLR,M,M
130,6B0,2014-01-01 05:35,17.24,74.67,0.0,M,0.0,10.00,M,SCT,BKN,OVC
131,MPV,2014-01-01 05:35,12.20,78.51,5.8,M,0.0,2.50,M,BKN,M,M
132,EFK,2014-01-01 05:35,10.04,67.99,9.2,M,0.0,10.00,M,CLR,M,M
133,CDA,2014-01-01 05:35,10.94,70.41,6.9,M,0.0,10.00,M,SCT,SCT,BKN
134,MPV,2014-01-01 05:43,12.20,78.51,4.6,M,0.0,3.00,M,BKN,BKN,M
135,MPV,2014-01-01 05:51,12.92,76.68,3.5,1021.30,0.0,6.00,M,BKN,OVC,M
136,BTV,2014-01-01 05:54,12.02,72.91,0.0,1021.20,0.0,10.00,M,FEW,BKN,M
137,1V4,2014-01-01 05:54,10.94,83.71,M,1020.50,0.0,M,M,M,M,M
138,MVL,2014-01-01 05:54,12.02,72.91,5.8,1020.90,0.0,10.00,M,FEW,BKN,OVC
139,VSF,2014-01-01 05:54,15.08,60.65,4.6,1021.60,0.0,10.00,M,CLR,M,M
140,DDH,2014-01-01 05:54,14.00,50.71,5.8,1022.20,0.0,10.00,M,FEW,M,M
141,RUT,2014-01-01 05:55,12.20,66.58,10.4,M,0.0,10.00,M,CLR,M,M
142,FSO,2014-01-01 05:55,0.68,80.14,0.0,M,0.0,10.00,M,CLR,M,M
143,EFK,2014-01-01 05:55,9.50,66.23,8.1,M,0.0,10.00,M,CLR,M,M
144,6B0,2014-01-01 05:55,17.42,76.50,3.5,M,0.0,10.00,M,BKN,BKN,OVC
145,CDA,2014-01-01 05:55,11.30,72.23,9.2,M,0.0,7.00,M,SCT,BKN,OVC
146,MPV,2014-01-01 06:10,12.20,78.51,5.8,M,0.0,2.00,M,BKN,BKN,OVC
147,CDA,2014-01-01 06:15,11.12,71.61,8.1,M,0.0,10.00,M,SCT,BKN,OVC
148,FSO,2014-01-01 06:15,-0.40,77.32,0.0,M,0.0,10.00,M,CLR,M,M
149,6B0,2014-01-01 06:15,17.42,78.36,0.0,M,0.0,10.00,M,OVC,M,M
150,EFK,2014-01-01 06:15,9.50,65.67,5.8,M,0.0,10.00,M,SCT,BKN,M
151,RUT,2014-01-01 06:15,12.20,66.58,10.4,M,0.0,10.00,M,CLR,M,M
152,MPV,2014-01-01 06:22,12.20,85.17,3.5,M,0.0,5.00,M,SCT,BKN,OVC
153,EFK,2014-01-01 06:35,9.50,65.67,6.9,M,0.0,10.00,M,SCT,SCT,OVC
154,6B0,2014-01-01 06:35,17.24,77.10,3.5,M,0.0,10.00,M,BKN,OVC,M
155,RUT,2014-01-01 06:35,12.20,72.33,6.9,M,0.0,10.00,M,CLR,M,M
156,CDA,2014-01-01 06:35,10.76,72.77,0.0,M,0.0,7.00,M,SCT,BKN,OVC
157,FSO,2014-01-01 06:35,-1.84,77.85,3.5,M,0.0,10.00,M,CLR,M,M
158,MPV,2014-01-01 06:51,12.02,87.25,3.5,1021.90,0.0,3.00,M,BKN,BKN,OVC
