,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,SHN,2014-01-01 00:00,44.06,92.69,3.5,M,0.0,10.00,M,FEW,BKN,OVC
1,UIL,2014-01-01 00:01,48.02,86.08,0.0,M,0.0,2.50,M,OVC,M,M
2,HQM,2014-01-01 00:04,M,M,0.0,M,0.0,2.00,M,BKN,OVC,M
3,GRF,2014-01-01 00:08,46.40,100.00,3.5,M,0.0,10.00,M,SCT,BKN,OVC
4,UIL,2014-01-01 00:11,48.02,86.08,0.0,M,0.0,2.50,M,SCT,OVC,M
5,SKA,2014-01-01 00:12,32.00,100.00,3.5,M,0.0,9.00,M,OVC,M,M
6,HQM,2014-01-01 00:12,M,M,0.0,M,0.0,2.50,M,BKN,OVC,M
7,TCM,2014-01-01 00:13,44.60,100.00,2.3,M,0.0,7.00,M,BKN,OVC,M
8,BFI,2014-01-01 00:14,46.40,87.19,0.0,M,0.0,7.00,M,SCT,OVC,M
9,PLU,2014-01-01 00:15,44.60,100.00,0.0,M,0.0,10.00,M,M,M,M
10,AWO,2014-01-01 00:15,44.60,93.35,0.0,M,0.0,10.00,M,FEW,OVC,M
11,BVS,2014-01-01 00:15,44.60,100.00,3.5,M,0.0,1.75,M,BKN,OVC,M
12,ORS,2014-01-01 00:15,44.60,100.00,0.0,M,0.0,5.00,M,BKN,OVC,M
13,PWT,2014-01-01 00:15,44.60,75.68,3.5,M,0.0,10.00,M,OVC,M,M
14,CLS,2014-01-01 00:15,46.40,93.40,0.0,M,0.0,2.50,M,OVC,M,M
15,KLS,2014-01-01 00:15,46.40,75.84,M,M,0.0,10.00,M,OVC,M,M
16,SHN,2014-01-01 00:16,44.06,92.69,4.6,M,0.0,10.00,M,BKN,BKN,OVC
17,TCM,2014-01-01 00:18,44.60,100.00,2.3,M,0.0,9.00,M,SCT,OVC,M
18,BLI,2014-01-01 00:18,44.60,93.35,4.6,M,0.0,3.00,M,SCT,OVC,M
19,UIL,2014-01-01 00:19,48.02,86.08,0.0,M,0.0,3.00,M,FEW,OVC,M
20,SFF,2014-01-01 00:21,35.60,80.51,3.5,M,0.0,7.00,M,BKN,BKN,M
21,HQM,2014-01-01 00:24,M,M,0.0,M,0.0,2.00,M,FEW,OVC,M
22,FHR,2014-01-01 00:25,44.96,92.72,0.0,M,0.0,7.00,M,BKN,OVC,M
23,UIL,2014-01-01 00:26,46.94,89.65,0.0,M,0.0,2.50,M,OVC,M,M
24,HQM,2014-01-01 00:31,M,M,0.0,M,0.0,1.75,M,FEW,BKN,OVC
25,CLS,2014-01-01 00:35,46.40,93.40,0.0,M,0.0,5.00,M,BKN,OVC,M
26,PLU,2014-01-01 00:35,44.60,100.00,0.0,M,0.0,10.00,M,M,M,M
27,PWT,2014-01-01 00:35,44.60,81.20,4.6,M,0.0,10.00,M,OVC,M,M
28,AWO,2014-01-01 00:35,44.60,87.09,0.0,M,0.0,10.00,M,OVC,M,M
29,KLS,2014-01-01 00:35,46.40,75.84,M,M,0.0,10.00,M,OVC,M,M
30,BVS,2014-01-01 00:35,44.60,100.00,3.5,M,0.0,2.00,M,BKN,BKN,OVC
31,ORS,2014-01-01 00:35,44.60,100.00,0.0,M,0.0,5.00,M,BKN,OVC,M
32,SKA,2014-01-01 00:37,32.00,100.00,5.8,M,0.0,8.00,M,OVC,M,M
33,TCM,2014-01-01 00:38,44.60,100.00,0.0,M,0.0,10.00,M,BKN,OVC,M
34,CLM,2014-01-01 00:38,44.96,89.56,0.0,M,0.0,10.00,M,OVC,M,M
35,PAE,2014-01-01 00:38,42.80,93.30,0.0,M,0.0,10.00,M,FEW,SCT,OVC
36,FHR,2014-01-01 00:39,44.96,92.72,0.0,M,0.0,8.00,M,SCT,OVC,M
37,HQM,2014-01-01 00:39,M,M,0.0,M,0.0,2.00,M,BKN,OVC,M
38,TCM,2014-01-01 00:43,44.60,100.00,1.2,M,0.0,10.00,M,FEW,BKN,OVC
39,HQM,2014-01-01 00:44,M,M,0.0,M,0.0,3.00,M,SCT,BKN,OVC
40,UIL,2014-01-01 00:45,46.94,89.65,0.0,M,0.0,5.00,M,OVC,M,M
41,GRF,2014-01-01 00:48,46.40,93.40,0.0,M,0.0,10.00,M,BKN,OVC,M
42,MWH,2014-01-01 00:52,28.94,92.19,8.1,1025.90,0.0,9.00,M,CLR,M,M
43,SEA,2014-01-01 00:53,46.04,88.99,0.0,1028.20,0.0,6.00,M,BKN,BKN,OVC
44,SFF,2014-01-01 00:53,35.06,84.69,0.0,1024.90,0.0,8.00,M,OVC,M,M
45,PSC,2014-01-01 00:53,33.08,91.66,3.5,1025.20,0.0,10.00,M,CLR,M,M
46,GEG,2014-01-01 00:53,32.00,92.29,0.0,1024.50,0.0,7.00,M,OVC,M,M
47,VUO,2014-01-01 00:53,46.04,79.07,0.0,1026.70,0.0,9.00,M,OVC,M,M
48,DEW,2014-01-01 00:53,30.92,92.26,0.0,1026.00,0.0,6.00,M,OVC,M,M
49,PUW,2014-01-01 00:53,35.06,84.69,0.0,1025.20,0.0,10.00,M,CLR,M,M
50,OMK,2014-01-01 00:53,26.06,92.09,3.5,1026.60,0.0,7.00,M,SCT,M,M
51,SHN,2014-01-01 00:53,44.06,92.69,6.9,1026.50,0.0,9.00,M,OVC,M,M
52,YKM,2014-01-01 00:53,39.92,67.45,0.0,1025.10,0.0,9.00,M,CLR,M,M
53,BFI,2014-01-01 00:53,46.94,83.09,3.5,1027.30,0.0,10.00,M,BKN,OVC,M
54,HQM,2014-01-01 00:53,M,M,0.0,1026.90,0.0,4.00,M,FEW,SCT,OVC
55,BLI,2014-01-01 00:53,44.06,95.95,0.0,1028.00,0.0,3.00,M,OVC,M,M
56,FHR,2014-01-01 00:53,44.96,92.72,0.0,1027.50,0.0,9.00,M,OVC,M,M
57,EPH,2014-01-01 00:53,28.04,88.12,9.2,1025.90,0.0,10.00,M,CLR,M,M
58,PAE,2014-01-01 00:53,42.98,92.65,0.0,1027.40,0.0,10.00,M,FEW,SCT,OVC
59,RNT,2014-01-01 00:53,44.96,100.00,0.0,1027.80,0.0,4.00,M,OVC,M,M
60,TIW,2014-01-01 00:53,44.96,92.72,3.5,1027.30,0.0,0.75,M,OVC,M,M
61,ALW,2014-01-01 00:53,42.08,72.78,11.5,1025.40,0.0,10.00,M,CLR,M,M
62,ELN,2014-01-01 00:53,41.00,70.08,9.2,1024.30,0.0,10.00,M,CLR,M,M
63,CLM,2014-01-01 00:53,44.96,89.56,0.0,1027.40,0.0,10.00,M,OVC,M,M
64,UIL,2014-01-01 00:53,46.94,89.65,0.0,1026.70,0.0,5.00,M,OVC,M,M
65,OLM,2014-01-01 00:54,44.96,96.63,0.0,1027.20,0.0,4.00,M,OVC,M,M
66,KLS,2014-01-01 00:55,46.40,75.84,M,M,0.0,10.00,M,OVC,M,M
67,EAT,2014-01-01 00:55,32.00,88.32,10.4,1025.50,0.0,9.00,M,CLR,M,M
68,CLS,2014-01-01 00:55,46.40,93.40,0.0,M,0.0,3.00,M,BKN,OVC,M
69,BVS,2014-01-01 00:55,44.60,100.00,0.0,M,0.0,2.50,M,BKN,OVC,M
70,ORS,2014-01-01 00:55,44.60,100.00,0.0,M,0.0,4.00,M,BKN,OVC,M
71,AWO,2014-01-01 00:55,44.60,87.09,0.0,M,0.0,10.00,M,BKN,OVC,M
72,PWT,2014-01-01 00:55,44.60,75.68,4.6,M,0.0,10.00,M,OVC,M,M
