,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,3I2,2014-01-01 00:15,32.00,69.04,0.0,M,0.0,10.00,M,CLR,M,M
1,W99,2014-01-01 00:15,34.16,47.28,11.5,M,0.0,10.00,23.0,CLR,M,M
2,LWB,2014-01-01 00:15,26.42,62.75,4.6,M,0.0,10.00,M,CLR,M,M
3,I16,2014-01-01 00:15,28.22,92.16,M,M,0.0,10.00,M,CLR,M,M
4,W22,2014-01-01 00:15,26.60,68.40,3.5,M,0.0,10.00,M,CLR,M,M
5,W22,2014-01-01 00:35,26.60,73.89,0.0,M,0.0,10.00,M,CLR,M,M
6,I16,2014-01-01 00:35,27.50,94.93,M,M,0.0,10.00,M,CLR,M,M
7,LWB,2014-01-01 00:35,25.70,64.65,0.0,M,0.0,10.00,M,CLR,M,M
8,W99,2014-01-01 00:35,34.34,46.57,0.0,M,0.0,10.00,M,CLR,M,M
9,3I2,2014-01-01 00:35,32.00,69.04,0.0,M,0.0,10.00,M,CLR,M,M
10,HTS,2014-01-01 00:51,30.02,60.38,0.0,1028.20,0.0,10.00,M,CLR,M,M
11,BKW,2014-01-01 00:51,26.06,68.33,6.9,1028.80,0.0,10.00,M,CLR,M,M
12,EKN,2014-01-01 00:51,19.94,81.09,0.0,1028.90,0.0,10.00,M,CLR,M,M
13,BLF,2014-01-01 00:52,28.94,60.69,6.9,1027.50,0.0,10.00,M,CLR,M,M
14,PKB,2014-01-01 00:53,28.04,62.97,3.5,1028.70,0.0,10.00,M,CLR,M,M
15,MGW,2014-01-01 00:53,24.98,68.20,4.6,1027.90,0.0,10.00,M,CLR,M,M
16,MRB,2014-01-01 00:53,28.94,50.66,5.8,1026.10,0.0,10.00,M,CLR,M,M
17,CKB,2014-01-01 00:53,24.98,68.20,5.8,1027.30,0.0,10.00,M,SCT,M,M
18,HLG,2014-01-01 00:53,23.00,71.24,6.9,1027.20,0.0,10.00,M,CLR,M,M
19,CRW,2014-01-01 00:54,28.94,71.91,0.0,1028.20,0.0,10.00,M,CLR,M,M
20,W22,2014-01-01 00:55,26.60,73.89,4.6,M,0.0,10.00,M,CLR,M,M
21,3I2,2014-01-01 00:55,32.00,69.04,0.0,M,0.0,10.00,M,CLR,M,M
22,W99,2014-01-01 00:55,33.98,47.99,6.9,M,0.0,10.00,M,CLR,M,M
23,I16,2014-01-01 00:55,27.14,96.35,M,M,0.0,10.00,M,CLR,M,M
24,LWB,2014-01-01 00:55,23.90,68.60,0.0,M,0.0,10.00,M,CLR,M,M
25,I16,2014-01-01 01:15,26.60,96.34,M,M,0.0,10.00,M,CLR,M,M
26,W22,2014-01-01 01:15,26.60,73.89,4.6,M,0.0,10.00,M,CLR,M,M
27,3I2,2014-01-01 01:15,32.00,69.04,0.0,M,0.0,10.00,M,CLR,M,M
28,W99,2014-01-01 01:15,35.60,46.06,15.0,M,0.0,10.00,19.6,CLR,M,M
29,LWB,2014-01-01 01:15,25.52,65.14,5.8,M,0.0,10.00,M,CLR,M,M
30,W22,2014-01-01 01:35,26.60,73.89,5.8,M,0.0,10.00,M,CLR,M,M
31,LWB,2014-01-01 01:35,25.70,64.65,4.6,M,0.0,10.00,M,CLR,M,M
32,W99,2014-01-01 01:35,35.96,47.57,11.5,M,0.0,10.00,20.7,CLR,M,M
33,I16,2014-01-01 01:35,26.42,96.34,M,M,0.0,10.00,M,CLR,M,M
34,3I2,2014-01-01 01:35,32.00,74.44,0.0,M,0.0,10.00,M,CLR,M,M
35,EKN,2014-01-01 01:51,21.02,84.41,0.0,1028.60,0.0,10.00,M,BKN,M,M
36,BKW,2014-01-01 01:51,26.96,65.84,3.5,1028.70,0.0,10.00,M,CLR,M,M
37,HTS,2014-01-01 01:51,26.96,74.50,0.0,1027.90,0.0,10.00,M,CLR,M,M
38,BLF,2014-01-01 01:52,28.94,60.69,6.9,1027.20,0.0,10.00,M,CLR,M,M
39,CKB,2014-01-01 01:53,24.98,68.20,3.5,1027.40,0.0,10.00,M,CLR,M,M
40,PKB,2014-01-01 01:53,28.04,62.97,3.5,1029.20,0.0,10.00,M,FEW,M,M
41,MRB,2014-01-01 01:53,30.02,48.48,13.8,1026.20,0.0,10.00,M,CLR,M,M
42,HLG,2014-01-01 01:53,24.08,68.09,4.6,1027.40,0.0,10.00,M,OVC,M,M
43,MGW,2014-01-01 01:53,24.98,68.20,4.6,1027.90,0.0,10.00,M,CLR,M,M
44,CRW,2014-01-01 01:54,28.04,77.50,0.0,1027.90,0.0,10.00,M,CLR,M,M
45,3I2,2014-01-01 01:55,30.20,80.07,0.0,M,0.0,10.00,M,CLR,M,M
46,LWB,2014-01-01 01:55,24.80,67.12,0.0,M,0.0,10.00,M,CLR,M,M
47,W99,2014-01-01 01:55,36.32,47.26,16.1,M,0.0,10.00,21.9,CLR,M,M
48,I16,2014-01-01 01:55,26.06,97.06,M,M,0.0,10.00,M,CLR,M,M
49,W22,2014-01-01 01:55,26.60,73.89,5.8,M,0.0,10.00,M,CLR,M,M
50,W99,2014-01-01 02:15,36.14,48.72,5.8,M,0.0,10.00,16.1,CLR,M,M
51,W22,2014-01-01 02:15,24.80,79.62,5.8,M,0.0,10.00,M,CLR,M,M
52,3I2,2014-01-01 02:15,30.20,80.07,0.0,M,0.0,10.00,M,CLR,M,M
53,LWB,2014-01-01 02:15,25.16,66.64,4.6,M,0.0,10.00,M,CLR,M,M
54,I16,2014-01-01 02:15,25.70,96.33,M,M,0.0,10.00,M,CLR,M,M
55,W22,2014-01-01 02:35,24.80,79.62,5.8,M,0.0,10.00,M,CLR,M,M
56,I16,2014-01-01 02:35,25.70,97.78,M,M,0.0,10.00,M,CLR,M,M
57,W99,2014-01-01 02:35,36.14,49.86,9.2,M,0.0,10.00,M,CLR,M,M
58,3I2,2014-01-01 02:35,30.20,74.26,0.0,M,0.0,10.00,M,CLR,M,M
59,LWB,2014-01-01 02:35,24.62,67.62,3.5,M,0.0,10.00,M,CLR,M,M
60,EKN,2014-01-01 02:51,19.94,81.09,0.0,1028.90,0.0,10.00,M,CLR,M,M
61,BKW,2014-01-01 02:51,24.98,68.20,3.5,1028.70,0.0,10.00,M,CLR,M,M
62,HTS,2014-01-01 02:51,26.06,74.41,3.5,1027.70,0.0,10.00,M,CLR,M,M
63,BLF,2014-01-01 02:52,28.94,60.69,10.4,1027.30,0.0,10.00,M,CLR,M,M
64,CKB,2014-01-01 02:53,24.08,70.81,3.5,1027.80,0.0,10.00,M,CLR,M,M
65,PKB,2014-01-01 02:53,26.06,68.33,3.5,1028.30,0.0,10.00,M,CLR,M,M
66,MGW,2014-01-01 02:53,24.08,74.20,4.6,1027.90,0.0,10.00,M,BKN,M,M
67,HLG,2014-01-01 02:53,24.98,68.20,8.1,1026.50,0.0,10.00,M,OVC,M,M
68,MRB,2014-01-01 02:53,28.04,52.57,0.0,1026.30,0.0,10.00,M,CLR,M,M
69,CRW,2014-01-01 02:54,26.06,88.01,3.5,1028.00,0.0,10.00,M,CLR,M,M
70,W22,2014-01-01 02:55,24.80,79.62,4.6,M,0.0,10.00,M,CLR,M,M
71,LWB,2014-01-01 02:55,24.26,68.65,3.5,M,0.0,10.00,M,CLR,M,M
72,W99,2014-01-01 02:55,33.44,57.69,0.0,M,0.0,10.00,M,CLR,M,M
73,3I2,2014-01-01 02:55,30.20,74.26,0.0,M,0.0,10.00,M,CLR,M,M
74,I16,2014-01-01 02:55,25.34,97.78,M,M,0.0,10.00,M,CLR,M,M
75,W22,2014-01-01 03:15,24.80,79.62,4.6,M,0.0,10.00,M,CLR,M,M
76,LWB,2014-01-01 03:15,24.08,69.17,0.0,M,0.0,10.00,M,CLR,M,M
77,W99,2014-01-01 03:15,35.96,50.99,0.0,M,0.0,10.00,M,CLR,M,M
78,3I2,2014-01-01 03:15,30.20,74.26,0.0,M,0.0,10.00,M,CLR,M,M
79,I16,2014-01-01 03:15,25.52,98.51,M,M,0.0,10.00,M,CLR,M,M
80,LWB,2014-01-01 03:35,24.62,68.16,3.5,M,0.0,10.00,M,CLR,M,M
81,3I2,2014-01-01 03:35,32.00,63.99,0.0,M,0.0,10.00,M,CLR,M,M
82,W22,2014-01-01 03:35,24.80,79.62,5.8,M,0.0,10.00,M,CLR,M,M
83,W99,2014-01-01 03:35,36.32,50.27,12.7,M,0.0,10.00,18.4,CLR,M,M
84,I16,2014-01-01 03:35,25.16,97.78,M,M,0.0,10.00,M,CLR,M,M
85,BKW,2014-01-01 03:51,24.08,70.81,4.6,1028.70,0.0,10.00,M,CLR,M,M
86,EKN,2014-01-01 03:51,17.96,84.20,0.0,1029.10,0.0,10.00,M,CLR,M,M
87,HTS,2014-01-01 03:51,24.98,77.82,0.0,1027.10,0.0,10.00,M,CLR,M,M
88,BLF,2014-01-01 03:52,28.04,62.97,5.8,1027.20,0.0,10.00,M,CLR,M,M
89,HLG,2014-01-01 03:53,26.06,65.21,8.1,1026.70,0.0,10.00,M,OVC,M,M
90,MGW,2014-01-01 03:53,26.96,65.84,8.1,1027.10,0.0,10.00,M,OVC,M,M
91,PKB,2014-01-01 03:53,26.06,71.04,0.0,1028.30,0.0,10.00,M,CLR,M,M
92,CKB,2014-01-01 03:53,24.98,71.47,5.8,1027.20,0.0,10.00,M,FEW,M,M
93,MRB,2014-01-01 03:53,24.08,64.95,0.0,1026.40,0.0,10.00,M,CLR,M,M
94,CRW,2014-01-01 03:54,24.98,87.96,0.0,1027.60,0.0,10.00,M,CLR,M,M
95,W99,2014-01-01 03:55,35.60,49.39,8.1,M,0.0,10.00,16.1,CLR,M,M
96,W22,2014-01-01 03:55,24.80,79.62,6.9,M,0.0,10.00,M,CLR,M,M
97,3I2,2014-01-01 03:55,28.40,79.92,0.0,M,0.0,10.00,M,CLR,M,M
98,I16,2014-01-01 03:55,24.80,99.25,M,M,0.0,10.00,M,CLR,M,M
99,LWB,2014-01-01 03:55,23.18,72.39,4.6,M,0.0,10.00,M,CLR,M,M
100,3I2,2014-01-01 04:15,28.40,79.92,0.0,M,0.0,10.00,M,CLR,M,M
101,LWB,2014-01-01 04:15,23.54,71.30,4.6,M,0.0,10.00,M,CLR,M,M
102,I16,2014-01-01 04:15,24.80,99.25,M,M,0.0,10.00,M,CLR,M,M
103,W22,2014-01-01 04:15,24.80,79.62,5.8,M,0.0,10.00,M,CLR,M,M
104,W99,2014-01-01 04:15,35.96,48.69,10.4,M,0.0,10.00,16.1,CLR,M,M
105,W99,2014-01-01 04:35,36.50,48.40,13.8,M,0.0,10.00,M,CLR,M,M
106,W22,2014-01-01 04:35,26.60,73.89,5.8,M,0.0,10.00,M,CLR,M,M
107,LWB,2014-01-01 04:35,22.82,72.92,5.8,M,0.0,10.00,M,CLR,M,M
108,I16,2014-01-01 04:35,24.62,98.51,M,M,0.0,10.00,M,CLR,M,M
109,3I2,2014-01-01 04:35,28.40,79.92,0.0,M,0.0,10.00,M,CLR,M,M
110,EKN,2014-01-01 04:51,19.04,80.38,0.0,1028.10,0.0,10.00,M,CLR,M,M
111,BKW,2014-01-01 04:51,24.98,68.20,4.6,1028.20,0.0,10.00,M,CLR,M,M
112,HTS,2014-01-01 04:51,26.06,77.32,0.0,1026.80,0.0,10.00,M,CLR,M,M
113,BLF,2014-01-01 04:52,28.94,60.69,6.9,1026.60,0.0,10.00,M,CLR,M,M
114,MGW,2014-01-01 04:53,28.04,65.47,4.6,1027.00,0.0,10.00,M,OVC,M,M
115,CKB,2014-01-01 04:53,24.08,74.20,3.5,1027.00,0.0,10.00,M,CLR,M,M
116,MRB,2014-01-01 04:53,24.08,64.95,0.0,1026.80,0.0,10.00,M,CLR,M,M
117,HLG,2014-01-01 04:53,24.98,68.20,8.1,1026.80,0.0,10.00,M,SCT,M,M
118,PKB,2014-01-01 04:53,26.96,68.44,5.8,1027.80,0.0,10.00,M,CLR,M,M
119,CRW,2014-01-01 04:54,24.08,91.32,0.0,1027.10,0.0,10.00,M,CLR,M,M
120,3I2,2014-01-01 04:55,28.40,79.92,0.0,M,0.0,10.00,M,CLR,M,M
121,W99,2014-01-01 04:55,35.78,50.18,0.0,M,0.0,10.00,M,CLR,M,M
122,LWB,2014-01-01 04:55,22.64,72.33,4.6,M,0.0,10.00,M,CLR,M,M
123,W22,2014-01-01 04:55,26.60,73.89,0.0,M,0.0,10.00,M,CLR,M,M
124,I16,2014-01-01 04:55,24.44,99.25,M,M,0.0,10.00,M,CLR,M,M
125,LWB,2014-01-01 05:15,24.08,69.17,3.5,M,0.0,10.00,M,CLR,M,M
126,I16,2014-01-01 05:15,24.44,99.25,M,M,0.0,10.00,M,CLR,M,M
127,W99,2014-01-01 05:15,32.72,60.76,0.0,M,0.0,10.00,M,CLR,M,M
128,W22,2014-01-01 05:15,24.80,79.62,0.0,M,0.0,10.00,M,CLR,M,M
129,3I2,2014-01-01 05:15,26.60,86.07,0.0,M,0.0,10.00,M,CLR,M,M
130,I16,2014-01-01 05:35,23.90,100.00,M,M,0.0,10.00,M,CLR,M,M
131,W99,2014-01-01 05:35,35.42,51.30,0.0,M,0.0,10.00,M,CLR,M,M
132,LWB,2014-01-01 05:35,19.94,80.46,0.0,M,0.0,10.00,M,CLR,M,M
133,3I2,2014-01-01 05:35,28.40,79.92,0.0,M,0.0,10.00,M,CLR,M,M
134,W22,2014-01-01 05:35,23.00,85.85,4.6,M,0.0,10.00,M,CLR,M,M
135,BKW,2014-01-01 05:51,26.06,65.21,5.8,1028.30,0.0,10.00,M,CLR,M,M
136,EKN,2014-01-01 05:51,17.96,80.29,0.0,1028.70,0.0,10.00,M,CLR,M,M
137,HTS,2014-01-01 05:51,26.06,74.41,3.5,1026.60,0.0,10.00,M,CLR,M,M
138,BLF,2014-01-01 05:52,30.02,55.42,6.9,1026.50,0.0,10.00,M,CLR,M,M
139,MGW,2014-01-01 05:53,26.96,65.84,3.5,1027.40,0.0,10.00,M,BKN,M,M
140,MRB,2014-01-01 05:53,24.08,68.09,3.5,1026.50,0.0,10.00,M,BKN,M,M
141,PKB,2014-01-01 05:53,26.96,65.84,0.0,1028.00,0.0,10.00,M,CLR,M,M
