,station,valid, tmpf ,  relh ,  sped ,  mslp ,  p01i ,  vsby ,  gust_mph ,  skyc1 ,  skyc2 ,  skyc3
0,FWZ,2014-01-01 00:15,26.60,100.00,0.0,M,0.0,4.00,M,OVC,M,M
1,FBR,2014-01-01 00:15,32.54,83.91,21.9,M,0.0,10.00,27.6,SCT,M,M
2,W43,2014-01-01 00:15,35.60,93.08,9.2,M,0.0,5.00,M,BKN,BKN,OVC
3,SAA,2014-01-01 00:15,33.80,74.63,16.1,M,0.0,10.00,20.7,OVC,M,M
4,COD,2014-01-01 00:15,39.20,51.89,4.6,M,0.0,10.00,M,BKN,M,M
5,82V,2014-01-01 00:15,41.00,48.39,13.8,M,0.0,10.00,20.7,SCT,M,M
6,DUB,2014-01-01 00:15,32.00,63.99,19.6,M,0.0,10.00,28.8,SCT,BKN,OVC
7,PNA,2014-01-01 00:15,26.60,100.00,0.0,M,0.0,7.00,M,SCT,BKN,OVC
8,DWX,2014-01-01 00:15,35.24,62.51,0.0,M,0.0,10.00,M,OVC,M,M
9,ECS,2014-01-01 00:15,32.00,86.39,3.5,M,0.0,10.00,M,CLR,M,M
10,AFO,2014-01-01 00:15,32.00,80.22,0.0,M,0.0,10.00,M,OVC,M,M
11,COD,2014-01-01 00:35,39.20,55.95,8.1,M,0.0,10.00,M,FEW,FEW,OVC
12,DUB,2014-01-01 00:35,32.00,69.04,19.6,M,0.0,10.00,34.5,SCT,BKN,OVC
13,FBR,2014-01-01 00:35,32.36,82.66,18.4,M,0.0,10.00,23.0,CLR,M,M
14,SAA,2014-01-01 00:35,33.80,74.63,15.0,M,0.0,10.00,18.4,OVC,M,M
15,AFO,2014-01-01 00:35,32.00,80.22,0.0,M,0.0,10.00,M,OVC,M,M
16,ECS,2014-01-01 00:35,32.00,80.22,0.0,M,0.0,10.00,M,CLR,M,M
17,TBX,2014-01-01 00:35,32.00,69.04,19.6,M,0.0,10.00,24.2,BKN,BKN,M
18,FWZ,2014-01-01 00:35,26.60,100.00,4.6,M,0.0,3.00,M,OVC,M,M
19,W43,2014-01-01 00:35,35.60,86.59,12.7,M,0.0,2.50,M,SCT,OVC,M
20,PNA,2014-01-01 00:35,26.60,92.80,0.0,M,0.0,7.00,M,SCT,OVC,M
21,DWX,2014-01-01 00:35,35.06,63.43,3.5,M,0.0,10.00,M,OVC,M,M
22,82V,2014-01-01 00:35,39.20,51.89,10.4,M,0.0,10.00,M,SCT,M,M
23,TOR,2014-01-01 00:53,44.06,45.01,13.8,1011.90,0.0,10.00,M,SCT,M,M
24,CPR,2014-01-01 00:53,35.06,69.40,24.2,1013.80,0.0,10.00,32.2,FEW,M,M
25,CYS,2014-01-01 00:53,41.00,44.51,25.3,1013.30,0.0,10.00,33.4,FEW,M,M
26,LND,2014-01-01 00:53,39.92,52.79,15.0,1014.50,0.0,10.00,M,M,M,M
27,EVW,2014-01-01 00:53,30.02,88.22,25.3,1021.20,0.0,10.00,M,BKN,M,M
28,GCC,2014-01-01 00:53,33.98,81.57,0.0,1013.30,0.0,10.00,M,BKN,OVC,M
29,GEY,2014-01-01 00:53,35.06,61.08,12.7,1016.80,0.0,10.00,M,OVC,M,M
30,DGW,2014-01-01 00:53,39.02,59.37,16.1,1011.90,0.0,10.00,24.2,CLR,M,M
31,BYG,2014-01-01 00:53,35.06,81.65,11.5,1012.30,0.0,10.00,M,BKN,OVC,M
32,RIW,2014-01-01 00:53,39.02,59.37,10.4,1013.80,0.0,10.00,M,OVC,M,M
33,RWL,2014-01-01 00:53,33.08,69.17,9.2,1017.50,0.0,10.00,M,SCT,BKN,M
34,BPI,2014-01-01 00:53,23.00,80.71,0.0,1023.10,0.0,10.00,M,FEW,OVC,M
35,SHR,2014-01-01 00:53,35.06,88.47,17.3,1014.80,0.01,9.00,M,FEW,OVC,M
36,WRL,2014-01-01 00:53,28.94,84.93,5.8,1016.70,0.0,10.00,M,BKN,M,M
37,LAR,2014-01-01 00:53,33.98,60.93,39.1,1013.30,0.0,10.00,M,CLR,M,M
38,JAC,2014-01-01 00:54,33.80,74.63,16.1,M,0.0,7.00,23.0,FEW,OVC,M
39,RKS,2014-01-01 00:54,33.08,71.82,25.3,1020.00,0.0,10.00,36.8,SCT,M,M
40,DWX,2014-01-01 00:55,34.70,64.35,0.0,M,0.0,10.00,M,BKN,BKN,OVC
41,82V,2014-01-01 00:55,42.80,45.14,17.3,M,0.0,10.00,23.0,CLR,M,M
42,DUB,2014-01-01 00:55,32.00,63.99,10.4,M,0.0,10.00,31.1,SCT,SCT,OVC
43,ECS,2014-01-01 00:55,32.00,80.22,0.0,M,0.0,10.00,M,CLR,M,M
44,AFO,2014-01-01 00:55,32.00,80.22,0.0,M,0.0,10.00,M,BKN,OVC,M
45,FBR,2014-01-01 00:55,32.36,82.05,19.6,M,0.0,10.00,25.3,SCT,M,M
46,FWZ,2014-01-01 00:55,26.60,100.00,0.0,M,0.0,3.00,M,SCT,SCT,SCT
47,SAA,2014-01-01 00:55,33.80,74.63,20.7,M,0.0,10.00,27.6,OVC,M,M
48,COD,2014-01-01 00:55,37.40,55.68,10.4,M,0.0,10.00,16.1,BKN,BKN,OVC
49,TBX,2014-01-01 00:55,33.80,64.23,17.3,M,0.0,10.00,29.9,BKN,M,M
50,PNA,2014-01-01 00:55,26.60,92.80,0.0,M,0.0,10.00,M,SCT,OVC,M
51,W43,2014-01-01 00:55,33.80,93.03,0.0,M,0.0,1.50,M,OVC,M,M
52,P60,2014-01-01 00:56,21.92,88.47,10.4,1019.40,0.05,M,17.3,M,M,M
53,DUB,2014-01-01 01:10,32.00,63.99,19.6,M,0.0,10.00,29.9,OVC,M,M
54,FWZ,2014-01-01 01:15,26.60,100.00,4.6,M,0.0,3.00,M,SCT,SCT,SCT
55,JAC,2014-01-01 01:15,30.20,92.92,13.8,M,0.0,2.50,M,BKN,OVC,M
56,82V,2014-01-01 01:15,42.80,45.14,20.7,M,0.0,10.00,28.8,CLR,M,M
57,DWX,2014-01-01 01:15,34.16,65.75,5.8,M,0.0,10.00,M,SCT,BKN,OVC
58,PNA,2014-01-01 01:15,26.60,92.80,0.0,M,0.0,10.00,M,SCT,BKN,OVC
59,TBX,2014-01-01 01:15,33.80,64.23,21.9,M,0.0,10.00,27.6,OVC,M,M
60,SAA,2014-01-01 01:15,33.80,74.63,11.5,M,0.0,10.00,24.2,OVC,M,M
61,ECS,2014-01-01 01:15,30.20,86.28,0.0,M,0.0,10.00,M,CLR,M,M
62,COD,2014-01-01 01:15,35.60,59.79,9.2,M,0.0,10.00,M,SCT,BKN,OVC
63,AFO,2014-01-01 01:15,30.20,86.28,3.5,M,0.0,10.00,M,OVC,M,M
64,FBR,2014-01-01 01:15,32.00,84.49,17.3,M,0.0,10.00,27.6,BKN,M,M
65,W43,2014-01-01 01:15,33.80,93.03,0.0,M,0.0,1.00,M,OVC,M,M
66,BYG,2014-01-01 01:17,33.98,85.24,11.5,M,0.0,10.00,24.2,OVC,M,M
67,SHR,2014-01-01 01:29,33.08,91.66,11.5,M,0.05,2.50,M,BKN,OVC,M
68,BYG,2014-01-01 01:31,33.98,88.42,15.0,M,0.0,10.00,27.6,BKN,BKN,OVC
69,DWX,2014-01-01 01:35,35.42,60.67,10.4,M,0.0,10.00,M,BKN,OVC,M
70,PNA,2014-01-01 01:35,26.60,92.80,0.0,M,0.0,10.00,M,BKN,OVC,M
71,DUB,2014-01-01 01:35,32.00,63.99,9.2,M,0.0,10.00,16.1,BKN,BKN,BKN
72,FWZ,2014-01-01 01:35,26.60,100.00,8.1,M,0.0,3.00,M,M,M,M
73,W43,2014-01-01 01:35,33.80,93.03,3.5,M,0.0,1.25,M,OVC,M,M
74,82V,2014-01-01 01:35,42.80,45.14,16.1,M,0.0,10.00,26.5,CLR,M,M
75,TBX,2014-01-01 01:35,35.60,55.41,25.3,M,0.0,10.00,29.9,SCT,BKN,BKN
76,SAA,2014-01-01 01:35,33.80,74.63,12.7,M,0.0,10.00,16.1,OVC,M,M
77,COD,2014-01-01 01:35,33.80,64.23,4.6,M,0.0,10.00,M,OVC,M,M
78,ECS,2014-01-01 01:35,30.20,86.28,0.0,M,0.0,10.00,M,CLR,M,M
79,AFO,2014-01-01 01:35,33.80,74.63,M,M,0.0,10.00,M,BKN,M,M
80,FBR,2014-01-01 01:35,32.00,85.12,18.4,M,0.0,10.00,27.6,BKN,M,M
81,SHR,2014-01-01 01:38,33.08,91.66,8.1,M,0.06,2.50,M,FEW,OVC,M
82,GCC,2014-01-01 01:40,33.80,86.49,6.9,M,0.0,5.00,M,SCT,BKN,OVC
83,SHR,2014-01-01 01:46,33.08,91.66,10.4,M,0.07,1.75,M,FEW,OVC,M
84,JAC,2014-01-01 01:51,32.00,86.39,16.1,M,0.0,5.00,21.9,BKN,OVC,M
85,BYG,2014-01-01 01:51,33.80,86.49,18.4,M,0.0,5.00,26.5,SCT,BKN,OVC
